month,scenario,line_id,line_item,section,amount_usd,year,month_num
2024-07,Actual,R2,Token pack revenue,Revenue,58466.84,2024,7
2024-08,Actual,R2,Token pack revenue,Revenue,65286.98,2024,8
2024-09,Actual,R2,Token pack revenue,Revenue,64009.01,2024,9
2024-10,Actual,R2,Token pack revenue,Revenue,84064.11,2024,10
2024-11,Actual,R2,Token pack revenue,Revenue,133659.91,2024,11
2024-12,Actual,R2,Token pack revenue,Revenue,151369.14,2024,12
2025-01,Actual,R2,Token pack revenue,Revenue,139866.91,2025,1
2025-02,Actual,R2,Token pack revenue,Revenue,170635.14,2025,2
2025-03,Actual,R2,Token pack revenue,Revenue,171360.57,2025,3
2025-04,Actual,R2,Token pack revenue,Revenue,193027.8,2025,4
2025-05,Actual,R2,Token pack revenue,Revenue,209774.39,2025,5
2025-06,Actual,R2,Token pack revenue,Revenue,230308.09,2025,6
2025-07,Actual,R2,Token pack revenue,Revenue,251246.58,2025,7
2025-08,Actual,R2,Token pack revenue,Revenue,273118.68,2025,8
2025-09,Actual,R2,Token pack revenue,Revenue,296939.59,2025,9
2025-10,Actual,R2,Token pack revenue,Revenue,314919.37,2025,10
2025-11,Actual,R2,Token pack revenue,Revenue,381304.46,2025,11
2025-12,Actual,R2,Token pack revenue,Revenue,430391.29,2025,12
2026-01,Actual,R2,Token pack revenue,Revenue,407467.29,2026,1
2026-02,Actual,R2,Token pack revenue,Revenue,492845.28,2026,2
2026-03,Actual,R2,Token pack revenue,Revenue,562042.35,2026,3
2026-04,Actual,R2,Token pack revenue,Revenue,571353.83,2026,4
2026-05,Actual,R2,Token pack revenue,Revenue,618818.79,2026,5
2026-06,Actual,R2,Token pack revenue,Revenue,647690.56,2026,6
2026-07,Actual,R2,Token pack revenue,Revenue,711542.48,2026,7
2026-08,Actual,R2,Token pack revenue,Revenue,749729.32,2026,8
2024-01,Actual,R3,Refunds & chargebacks,Revenue,-2207.43,2024,1
2024-02,Actual,R3,Refunds & chargebacks,Revenue,-3312.83,2024,2
2024-03,Actual,R3,Refunds & chargebacks,Revenue,-3735.76,2024,3
2024-04,Actual,R3,Refunds & chargebacks,Revenue,-3476.7,2024,4
2024-05,Actual,R3,Refunds & chargebacks,Revenue,-4917.53,2024,5
2024-06,Actual,R3,Refunds & chargebacks,Revenue,-4543.59,2024,6
2024-07,Actual,R3,Refunds & chargebacks,Revenue,-5647.12,2024,7
2024-08,Actual,R3,Refunds & chargebacks,Revenue,-4959.54,2024,8
2024-09,Actual,R3,Refunds & chargebacks,Revenue,-6390.15,2024,9
2024-10,Actual,R3,Refunds & chargebacks,Revenue,-5818.3,2024,10
2024-11,Actual,R3,Refunds & chargebacks,Revenue,-6918.35,2024,11
2024-12,Actual,R3,Refunds & chargebacks,Revenue,-7351.71,2024,12
2025-01,Actual,R3,Refunds & chargebacks,Revenue,-7813.28,2025,1
2025-02,Actual,R3,Refunds & chargebacks,Revenue,-8016.18,2025,2
2025-03,Actual,R3,Refunds & chargebacks,Revenue,-10418.87,2025,3
2025-04,Actual,R3,Refunds & chargebacks,Revenue,-9221.97,2025,4
2025-05,Actual,R3,Refunds & chargebacks,Revenue,-8108.9,2025,5
2025-06,Actual,R3,Refunds & chargebacks,Revenue,-8277.46,2025,6
2025-07,Actual,R3,Refunds & chargebacks,Revenue,-8446.11,2025,7
2025-08,Actual,R3,Refunds & chargebacks,Revenue,-9810.58,2025,8
2025-09,Actual,R3,Refunds & chargebacks,Revenue,-10702.52,2025,9
2025-10,Actual,R3,Refunds & chargebacks,Revenue,-11136.66,2025,10
2025-11,Actual,R3,Refunds & chargebacks,Revenue,-12833.66,2025,11
2025-12,Actual,R3,Refunds & chargebacks,Revenue,-13078.71,2025,12
2026-01,Actual,R3,Refunds & chargebacks,Revenue,-13266.85,2026,1
2026-02,Actual,R3,Refunds & chargebacks,Revenue,-14093.17,2026,2
2026-03,Actual,R3,Refunds & chargebacks,Revenue,-15729.39,2026,3
2026-04,Actual,R3,Refunds & chargebacks,Revenue,-15810.21,2026,4
2026-05,Actual,R3,Refunds & chargebacks,Revenue,-16515.71,2026,5
2026-06,Actual,R3,Refunds & chargebacks,Revenue,-18879.33,2026,6
2026-07,Actual,R3,Refunds & chargebacks,Revenue,-18000.5,2026,7
2026-08,Actual,R3,Refunds & chargebacks,Revenue,-20196.42,2026,8
2024-01,Actual,C1,GPU inference,COGS,-54366.43,2024,1
2024-02,Actual,C1,GPU inference,COGS,-57193.83,2024,2
2024-03,Actual,C1,GPU inference,COGS,-64811.23,2024,3
2024-04,Actual,C1,GPU inference,COGS,-64176.92,2024,4
2024-05,Actual,C1,GPU inference,COGS,-70256.74,2024,5
2024-06,Actual,C1,GPU inference,COGS,-73760.57,2024,6
2024-07,Actual,C1,GPU inference,COGS,-83389.79,2024,7
2024-08,Actual,C1,GPU inference,COGS,-86190.38,2024,8
2024-09,Actual,C1,GPU inference,COGS,-87365.99,2024,9
2024-10,Actual,C1,GPU inference,COGS,-96022.44,2024,10
2024-11,Actual,C1,GPU inference,COGS,-118830.37,2024,11
2024-12,Actual,C1,GPU inference,COGS,-144299.96,2024,12
2025-01,Actual,C1,GPU inference,COGS,-148799.17,2025,1
2025-02,Actual,C1,GPU inference,COGS,-148868.65,2025,2
2025-03,Actual,C1,GPU inference,COGS,-164723.06,2025,3
2025-04,Actual,C1,GPU inference,COGS,-160255.19,2025,4
2025-05,Actual,C1,GPU inference,COGS,-169962.1,2025,5
2025-06,Actual,C1,GPU inference,COGS,-152181.63,2025,6
2025-07,Actual,C1,GPU inference,COGS,-168284.57,2025,7
2025-08,Actual,C1,GPU inference,COGS,-179982.51,2025,8
2025-09,Actual,C1,GPU inference,COGS,-189855.04,2025,9
2025-10,Actual,C1,GPU inference,COGS,-203168.03,2025,10
2025-11,Actual,C1,GPU inference,COGS,-184375.96,2025,11
2025-12,Actual,C1,GPU inference,COGS,-174868.86,2025,12
2026-01,Actual,C1,GPU inference,COGS,-179969.32,2026,1
2026-02,Actual,C1,GPU inference,COGS,-161773.65,2026,2
2026-03,Actual,C1,GPU inference,COGS,-175545.97,2026,3
2026-04,Actual,C1,GPU inference,COGS,-178664.34,2026,4
2026-05,Actual,C1,GPU inference,COGS,-191861.05,2026,5
2026-06,Actual,C1,GPU inference,COGS,-194143.95,2026,6
2026-07,Actual,C1,GPU inference,COGS,-212049.67,2026,7
2026-08,Actual,C1,GPU inference,COGS,-224000.59,2026,8
2024-01,Actual,C2,"Hosting, storage & CDN",COGS,-15757.11,2024,1
2024-02,Actual,C2,"Hosting, storage & CDN",COGS,-17124.85,2024,2
2024-03,Actual,C2,"Hosting, storage & CDN",COGS,-18540.46,2024,3
2024-04,Actual,C2,"Hosting, storage & CDN",COGS,-19827.66,2024,4
2024-05,Actual,C2,"Hosting, storage & CDN",COGS,-21347.84,2024,5
2024-06,Actual,C2,"Hosting, storage & CDN",COGS,-22555.5,2024,6
2024-07,Actual,C2,"Hosting, storage & CDN",COGS,-24239.97,2024,7
2024-08,Actual,C2,"Hosting, storage & CDN",COGS,-25693.42,2024,8
2024-09,Actual,C2,"Hosting, storage & CDN",COGS,-26808.25,2024,9
2024-10,Actual,C2,"Hosting, storage & CDN",COGS,-28720.17,2024,10
2024-11,Actual,C2,"Hosting, storage & CDN",COGS,-31815.24,2024,11
2024-12,Actual,C2,"Hosting, storage & CDN",COGS,-33620.73,2024,12
2025-01,Actual,C2,"Hosting, storage & CDN",COGS,-34421.63,2025,1
2025-02,Actual,C2,"Hosting, storage & CDN",COGS,-36587.14,2025,2
2025-03,Actual,C2,"Hosting, storage & CDN",COGS,-38033.09,2025,3
2025-04,Actual,C2,"Hosting, storage & CDN",COGS,-40024.16,2025,4
2025-05,Actual,C2,"Hosting, storage & CDN",COGS,-42088.67,2025,5
2025-06,Actual,C2,"Hosting, storage & CDN",COGS,-43550.67,2025,6
2025-07,Actual,C2,"Hosting, storage & CDN",COGS,-45438.47,2025,7
2025-08,Actual,C2,"Hosting, storage & CDN",COGS,-47511.74,2025,8
2025-09,Actual,C2,"Hosting, storage & CDN",COGS,-49665.52,2025,9
2025-10,Actual,C2,"Hosting, storage & CDN",COGS,-51895.68,2025,10
2025-11,Actual,C2,"Hosting, storage & CDN",COGS,-56350.45,2025,11
2025-12,Actual,C2,"Hosting, storage & CDN",COGS,-59658.71,2025,12
2026-01,Actual,C2,"Hosting, storage & CDN",COGS,-60835.5,2026,1
2026-02,Actual,C2,"Hosting, storage & CDN",COGS,-65261.13,2026,2
2026-03,Actual,C2,"Hosting, storage & CDN",COGS,-69041.49,2026,3
2026-04,Actual,C2,"Hosting, storage & CDN",COGS,-71011.15,2026,4
2026-05,Actual,C2,"Hosting, storage & CDN",COGS,-74038.0,2026,5
2026-06,Actual,C2,"Hosting, storage & CDN",COGS,-76721.37,2026,6
2026-07,Actual,C2,"Hosting, storage & CDN",COGS,-81155.48,2026,7
2026-08,Actual,C2,"Hosting, storage & CDN",COGS,-85093.84,2026,8
2024-01,Actual,C3,Payment processing fees,COGS,-14648.14,2024,1
2024-02,Actual,C3,Payment processing fees,COGS,-16509.06,2024,2
2024-03,Actual,C3,Payment processing fees,COGS,-17111.79,2024,3
2024-04,Actual,C3,Payment processing fees,COGS,-18961.35,2024,4
2024-05,Actual,C3,Payment processing fees,COGS,-21419.0,2024,5
2024-06,Actual,C3,Payment processing fees,COGS,-22079.61,2024,6
2024-07,Actual,C3,Payment processing fees,COGS,-26239.16,2024,7
2024-08,Actual,C3,Payment processing fees,COGS,-26806.0,2024,8
2024-09,Actual,C3,Payment processing fees,COGS,-27489.6,2024,9
2024-10,Actual,C3,Payment processing fees,COGS,-32439.91,2024,10
2024-11,Actual,C3,Payment processing fees,COGS,-42202.91,2024,11
2024-12,Actual,C3,Payment processing fees,COGS,-41583.6,2024,12
2025-01,Actual,C3,Payment processing fees,COGS,-41983.23,2025,1
2025-02,Actual,C3,Payment processing fees,COGS,-47002.9,2025,2
2025-03,Actual,C3,Payment processing fees,COGS,-47723.26,2025,3
2025-04,Actual,C3,Payment processing fees,COGS,-52631.22,2025,4
2025-05,Actual,C3,Payment processing fees,COGS,-54699.34,2025,5
2025-06,Actual,C3,Payment processing fees,COGS,-57171.12,2025,6
2025-07,Actual,C3,Payment processing fees,COGS,-62896.55,2025,7
2025-08,Actual,C3,Payment processing fees,COGS,-66347.88,2025,8
2025-09,Actual,C3,Payment processing fees,COGS,-68573.8,2025,9
2025-10,Actual,C3,Payment processing fees,COGS,-74177.43,2025,10
2025-11,Actual,C3,Payment processing fees,COGS,-93735.41,2025,11
2025-12,Actual,C3,Payment processing fees,COGS,-90914.13,2025,12
2026-01,Actual,C3,Payment processing fees,COGS,-91842.34,2026,1
2026-02,Actual,C3,Payment processing fees,COGS,-97820.8,2026,2
2026-03,Actual,C3,Payment processing fees,COGS,-96162.69,2026,3
2026-04,Actual,C3,Payment processing fees,COGS,-98356.94,2026,4
2026-05,Actual,C3,Payment processing fees,COGS,-100958.29,2026,5
2026-06,Actual,C3,Payment processing fees,COGS,-105652.93,2026,6
2026-07,Actual,C3,Payment processing fees,COGS,-120011.0,2026,7
2026-08,Actual,C3,Payment processing fees,COGS,-130094.27,2026,8
2024-01,Actual,C4,Chargeback fees,COGS,-0.0,2024,1
2024-02,Actual,C4,Chargeback fees,COGS,-1625.0,2024,2
2024-03,Actual,C4,Chargeback fees,COGS,-2000.0,2024,3
2024-04,Actual,C4,Chargeback fees,COGS,-1850.0,2024,4
2024-05,Actual,C4,Chargeback fees,COGS,-2225.0,2024,5
2024-06,Actual,C4,Chargeback fees,COGS,-2925.0,2024,6
2024-07,Actual,C4,Chargeback fees,COGS,-3150.0,2024,7
2024-08,Actual,C4,Chargeback fees,COGS,-3025.0,2024,8
2024-09,Actual,C4,Chargeback fees,COGS,-3425.0,2024,9
2024-10,Actual,C4,Chargeback fees,COGS,-3275.0,2024,10
2024-11,Actual,C4,Chargeback fees,COGS,-3475.0,2024,11
2024-12,Actual,C4,Chargeback fees,COGS,-4525.0,2024,12
2025-01,Actual,C4,Chargeback fees,COGS,-4475.0,2025,1
2025-02,Actual,C4,Chargeback fees,COGS,-4200.0,2025,2
2025-03,Actual,C4,Chargeback fees,COGS,-4850.0,2025,3
2025-04,Actual,C4,Chargeback fees,COGS,-5150.0,2025,4
2025-05,Actual,C4,Chargeback fees,COGS,-2275.0,2025,5
2025-06,Actual,C4,Chargeback fees,COGS,-2300.0,2025,6
2025-07,Actual,C4,Chargeback fees,COGS,-2725.0,2025,7
2025-08,Actual,C4,Chargeback fees,COGS,-2875.0,2025,8
2025-09,Actual,C4,Chargeback fees,COGS,-2625.0,2025,9
2025-10,Actual,C4,Chargeback fees,COGS,-3025.0,2025,10
2025-11,Actual,C4,Chargeback fees,COGS,-2950.0,2025,11
2025-12,Actual,C4,Chargeback fees,COGS,-3375.0,2025,12
2026-01,Actual,C4,Chargeback fees,COGS,-3875.0,2026,1
2026-02,Actual,C4,Chargeback fees,COGS,-3450.0,2026,2
2026-03,Actual,C4,Chargeback fees,COGS,-2795.0,2026,3
2026-04,Actual,C4,Chargeback fees,COGS,-3145.0,2026,4
2026-05,Actual,C4,Chargeback fees,COGS,-3405.0,2026,5
2026-06,Actual,C4,Chargeback fees,COGS,-3090.0,2026,6
2026-07,Actual,C4,Chargeback fees,COGS,-2795.0,2026,7
2026-08,Actual,C4,Chargeback fees,COGS,-3195.0,2026,8
2024-01,Actual,C5,Content & creator costs,COGS,-874.22,2024,1
2024-02,Actual,C5,Content & creator costs,COGS,-995.87,2024,2
2024-03,Actual,C5,Content & creator costs,COGS,-2154.2,2024,3
2024-04,Actual,C5,Content & creator costs,COGS,-2639.29,2024,4
2024-05,Actual,C5,Content & creator costs,COGS,-3246.19,2024,5
2024-06,Actual,C5,Content & creator costs,COGS,-3308.81,2024,6
2024-07,Actual,C5,Content & creator costs,COGS,-3937.93,2024,7
2024-08,Actual,C5,Content & creator costs,COGS,-4399.98,2024,8
2024-09,Actual,C5,Content & creator costs,COGS,-4449.29,2024,9
2024-10,Actual,C5,Content & creator costs,COGS,-5557.1,2024,10
2024-11,Actual,C5,Content & creator costs,COGS,-8005.95,2024,11
2024-12,Actual,C5,Content & creator costs,COGS,-8749.54,2024,12
2025-01,Actual,C5,Content & creator costs,COGS,-8238.31,2025,1
2025-02,Actual,C5,Content & creator costs,COGS,-9781.69,2025,2
2025-03,Actual,C5,Content & creator costs,COGS,-9911.32,2025,3
2025-04,Actual,C5,Content & creator costs,COGS,-11034.27,2025,4
2025-05,Actual,C5,Content & creator costs,COGS,-11953.69,2025,5
2025-06,Actual,C5,Content & creator costs,COGS,-13040.53,2025,6
2025-07,Actual,C5,Content & creator costs,COGS,-14186.3,2025,7
2025-08,Actual,C5,Content & creator costs,COGS,-15412.61,2025,8
2025-09,Actual,C5,Content & creator costs,COGS,-46762.39,2025,9
2025-10,Actual,C5,Content & creator costs,COGS,-52025.76,2025,10
2025-11,Actual,C5,Content & creator costs,COGS,-59640.28,2025,11
2025-12,Actual,C5,Content & creator costs,COGS,-66448.83,2025,12
2026-01,Actual,C5,Content & creator costs,COGS,-69851.9,2026,1
2026-02,Actual,C5,Content & creator costs,COGS,-78311.98,2026,2
2026-03,Actual,C5,Content & creator costs,COGS,-116054.35,2026,3
2026-04,Actual,C5,Content & creator costs,COGS,-120177.59,2026,4
2026-05,Actual,C5,Content & creator costs,COGS,-125876.57,2026,5
2026-06,Actual,C5,Content & creator costs,COGS,-129917.43,2026,6
2026-07,Actual,C5,Content & creator costs,COGS,-136902.83,2026,7
2026-08,Actual,C5,Content & creator costs,COGS,-142591.2,2026,8
2024-01,Actual,C6,Third-party AI APIs & licences,COGS,-5502.85,2024,1
2024-02,Actual,C6,Third-party AI APIs & licences,COGS,-5817.68,2024,2
2024-03,Actual,C6,Third-party AI APIs & licences,COGS,-6151.67,2024,3
2024-04,Actual,C6,Third-party AI APIs & licences,COGS,-6434.29,2024,4
2024-05,Actual,C6,Third-party AI APIs & licences,COGS,-6810.1,2024,5
2024-06,Actual,C6,Third-party AI APIs & licences,COGS,-7060.91,2024,6
2024-07,Actual,C6,Third-party AI APIs & licences,COGS,-7502.44,2024,7
2024-08,Actual,C6,Third-party AI APIs & licences,COGS,-7851.56,2024,8
2024-09,Actual,C6,Third-party AI APIs & licences,COGS,-8065.24,2024,9
2024-10,Actual,C6,Third-party AI APIs & licences,COGS,-8597.75,2024,10
2024-11,Actual,C6,Third-party AI APIs & licences,COGS,-9603.52,2024,11
2024-12,Actual,C6,Third-party AI APIs & licences,COGS,-10093.45,2024,12
2025-01,Actual,C6,Third-party AI APIs & licences,COGS,-10181.55,2025,1
2025-02,Actual,C6,Third-party AI APIs & licences,COGS,-10815.5,2025,2
2025-03,Actual,C6,Third-party AI APIs & licences,COGS,-11161.62,2025,3
2025-04,Actual,C6,Third-party AI APIs & licences,COGS,-11725.79,2025,4
2025-05,Actual,C6,Third-party AI APIs & licences,COGS,-12319.34,2025,5
2025-06,Actual,C6,Third-party AI APIs & licences,COGS,-12671.88,2025,6
2025-07,Actual,C6,Third-party AI APIs & licences,COGS,-13194.74,2025,7
2025-08,Actual,C6,Third-party AI APIs & licences,COGS,-13791.79,2025,8
2025-09,Actual,C6,Third-party AI APIs & licences,COGS,-14421.05,2025,9
2025-10,Actual,C6,Third-party AI APIs & licences,COGS,-15080.85,2025,10
2025-11,Actual,C6,Third-party AI APIs & licences,COGS,-16630.5,2025,11
2025-12,Actual,C6,Third-party AI APIs & licences,COGS,-17721.55,2025,12
2026-01,Actual,C6,Third-party AI APIs & licences,COGS,-17960.01,2026,1
2026-02,Actual,C6,Third-party AI APIs & licences,COGS,-19498.0,2026,2
2026-03,Actual,C6,Third-party AI APIs & licences,COGS,-20777.89,2026,3
2026-04,Actual,C6,Third-party AI APIs & licences,COGS,-21333.49,2026,4
2026-05,Actual,C6,Third-party AI APIs & licences,COGS,-22311.97,2026,5
2026-06,Actual,C6,Third-party AI APIs & licences,COGS,-23153.06,2026,6
2026-07,Actual,C6,Third-party AI APIs & licences,COGS,-24694.45,2026,7
2026-08,Actual,C6,Third-party AI APIs & licences,COGS,-26037.54,2026,8
2024-01,Actual,O1,Performance marketing (media),Opex - S&M,-47083.39,2024,1
2024-02,Actual,O1,Performance marketing (media),Opex - S&M,-50356.01,2024,2
2024-03,Actual,O1,Performance marketing (media),Opex - S&M,-48825.91,2024,3
2024-04,Actual,O1,Performance marketing (media),Opex - S&M,-49478.94,2024,4
2024-05,Actual,O1,Performance marketing (media),Opex - S&M,-53789.06,2024,5
2024-06,Actual,O1,Performance marketing (media),Opex - S&M,-56118.61,2024,6
2024-07,Actual,O1,Performance marketing (media),Opex - S&M,-63134.69,2024,7
2024-08,Actual,O1,Performance marketing (media),Opex - S&M,-61427.85,2024,8
2024-09,Actual,O1,Performance marketing (media),Opex - S&M,-64617.24,2024,9
2024-10,Actual,O1,Performance marketing (media),Opex - S&M,-71090.25,2024,10
2024-11,Actual,O1,Performance marketing (media),Opex - S&M,-86615.73,2024,11
2024-12,Actual,O1,Performance marketing (media),Opex - S&M,-83165.52,2024,12
2025-01,Actual,O1,Performance marketing (media),Opex - S&M,-82480.23,2025,1
2025-02,Actual,O1,Performance marketing (media),Opex - S&M,-83316.6,2025,2
2025-03,Actual,O1,Performance marketing (media),Opex - S&M,-87143.7,2025,3
2025-04,Actual,O1,Performance marketing (media),Opex - S&M,-93551.52,2025,4
2025-05,Actual,O1,Performance marketing (media),Opex - S&M,-92499.51,2025,5
2025-06,Actual,O1,Performance marketing (media),Opex - S&M,-93661.52,2025,6
2025-07,Actual,O1,Performance marketing (media),Opex - S&M,-109083.24,2025,7
2025-08,Actual,O1,Performance marketing (media),Opex - S&M,-112692.84,2025,8
2025-09,Actual,O1,Performance marketing (media),Opex - S&M,-111812.5,2025,9
2025-10,Actual,O1,Performance marketing (media),Opex - S&M,-119129.08,2025,10
2025-11,Actual,O1,Performance marketing (media),Opex - S&M,-142328.97,2025,11
2025-12,Actual,O1,Performance marketing (media),Opex - S&M,-129345.5,2025,12
2026-01,Actual,O1,Performance marketing (media),Opex - S&M,-152654.8,2026,1
2026-02,Actual,O1,Performance marketing (media),Opex - S&M,-156832.55,2026,2
2026-03,Actual,O1,Performance marketing (media),Opex - S&M,-143155.16,2026,3
2026-04,Actual,O1,Performance marketing (media),Opex - S&M,-111410.66,2026,4
2026-05,Actual,O1,Performance marketing (media),Opex - S&M,-104264.06,2026,5
2026-06,Actual,O1,Performance marketing (media),Opex - S&M,-108005.32,2026,6
2026-07,Actual,O1,Performance marketing (media),Opex - S&M,-127993.85,2026,7
2026-08,Actual,O1,Performance marketing (media),Opex - S&M,-137708.0,2026,8
2024-01,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-32728.86,2024,1
2024-02,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-35002.06,2024,2
2024-03,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-35007.99,2024,3
2024-04,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-35233.49,2024,4
2024-05,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-39918.1,2024,5
2024-06,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-39896.39,2024,6
2024-07,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-45417.31,2024,7
2024-08,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-45332.87,2024,8
2024-09,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-46451.6,2024,9
2024-10,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-52382.75,2024,10
2024-11,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-63301.31,2024,11
2024-12,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-62723.6,2024,12
2025-01,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-64334.1,2025,1
2025-02,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-64243.52,2025,2
2025-03,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-69117.08,2025,3
2025-04,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-75525.54,2025,4
2025-05,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-80014.08,2025,5
2025-06,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-77032.84,2025,6
2025-07,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-90317.63,2025,7
2025-08,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-97095.08,2025,8
2025-09,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-95597.74,2025,9
2025-10,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-103172.68,2025,10
2025-11,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-135943.33,2025,11
2025-12,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-126187.35,2025,12
2026-01,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-134160.8,2026,1
2026-02,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-137639.46,2026,2
2026-03,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-135584.18,2026,3
2026-04,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-141362.78,2026,4
2026-05,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-140663.36,2026,5
2026-06,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-145552.54,2026,6
2026-07,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-172388.1,2026,7
2026-08,Actual,O2,Affiliate & creator partnerships,Opex - S&M,-184384.14,2026,8
2024-01,Actual,O3,"SEO, community & CRM",Opex - S&M,-18556.89,2024,1
2024-02,Actual,O3,"SEO, community & CRM",Opex - S&M,-18379.85,2024,2
2024-03,Actual,O3,"SEO, community & CRM",Opex - S&M,-20090.67,2024,3
2024-04,Actual,O3,"SEO, community & CRM",Opex - S&M,-20277.02,2024,4
2024-05,Actual,O3,"SEO, community & CRM",Opex - S&M,-21680.77,2024,5
2024-06,Actual,O3,"SEO, community & CRM",Opex - S&M,-21678.56,2024,6
2024-07,Actual,O3,"SEO, community & CRM",Opex - S&M,-23246.86,2024,7
2024-08,Actual,O3,"SEO, community & CRM",Opex - S&M,-24482.35,2024,8
2024-09,Actual,O3,"SEO, community & CRM",Opex - S&M,-24533.67,2024,9
2024-10,Actual,O3,"SEO, community & CRM",Opex - S&M,-25137.51,2024,10
2024-11,Actual,O3,"SEO, community & CRM",Opex - S&M,-25705.0,2024,11
2024-12,Actual,O3,"SEO, community & CRM",Opex - S&M,-27928.12,2024,12
2025-01,Actual,O3,"SEO, community & CRM",Opex - S&M,-28263.77,2025,1
2025-02,Actual,O3,"SEO, community & CRM",Opex - S&M,-36285.81,2025,2
2025-03,Actual,O3,"SEO, community & CRM",Opex - S&M,-40318.89,2025,3
