date,campaign_id,channel_id,spend_usd,impressions,clicks,free_signups,new_paid_subscribers,reactivated_subscribers,first_payment_net_revenue_usd
2024-01-04,CMP003,CH01,110.0,,1244.0,153,5,0,163.72
2024-01-04,CMP006,CH02,175.08,560664.0,3364.0,364,7,0,228.93
2024-01-04,CMP007,CH02,86.74,377250.0,2264.0,204,2,0,77.26
2024-01-04,CMP008,CH02,386.99,1895627.0,11374.0,1125,26,0,629.35
2024-01-04,CMP010,CH02,20.79,94793.0,569.0,58,0,0,0.0
2024-01-04,CMP012,CH03,171.79,240115.0,2161.0,208,12,0,596.62
2024-01-04,CMP016,CH03,27.6,25268.0,227.0,27,1,0,76.13
2024-01-04,CMP017,CH03,298.78,651435.0,5863.0,568,17,0,599.74
2024-01-04,CMP018,CH04,0.0,37416.0,449.0,74,3,0,51.68
2024-01-04,CMP022,CH05,473.99,324551.0,11359.0,896,25,0,1043.98
2024-01-04,CMP025,CH06,0.0,,2811.0,651,11,0,338.17
2024-01-04,CMP026,CH07,137.52,,1667.0,323,18,0,641.56
2024-01-04,CMP028,CH08,313.93,1696374.0,30535.0,1397,22,0,556.33
2024-01-04,CMP029,CH08,6.05,66810.0,1203.0,58,1,0,68.46
2024-01-04,CMP030,CH08,8.88,44708.0,805.0,44,0,0,0.0
2024-01-04,CMP031,CH09,267.72,1044275.0,5221.0,493,7,0,159.8
2024-01-05,CMP001,CH01,660.0,,9048.0,1360,30,0,990.1
2024-01-05,CMP002,CH01,154.0,,1432.0,222,7,0,268.47
2024-01-05,CMP003,CH01,66.0,,1038.0,156,3,0,142.05
2024-01-05,CMP006,CH02,177.15,605468.0,3633.0,287,7,0,244.95
2024-01-05,CMP007,CH02,84.16,419056.0,2514.0,192,4,0,154.77
2024-01-05,CMP008,CH02,330.86,2080288.0,12482.0,1022,18,0,543.31
2024-01-05,CMP010,CH02,18.5,73219.0,439.0,41,0,0,0.0
2024-01-05,CMP012,CH03,154.39,204834.0,1844.0,167,5,0,172.39
2024-01-05,CMP016,CH03,23.83,26282.0,237.0,26,1,0,76.13
2024-01-05,CMP017,CH03,222.09,636928.0,5732.0,532,13,0,562.49
2024-01-05,CMP018,CH04,0.0,33657.0,404.0,59,2,0,135.62
2024-01-05,CMP022,CH05,471.92,317369.0,11108.0,859,28,0,942.74
2024-01-05,CMP025,CH06,0.0,,2383.0,588,23,0,685.91
2024-01-05,CMP026,CH07,146.69,,1734.0,285,11,0,254.27
2024-01-05,CMP028,CH08,416.05,1287437.0,23174.0,1278,16,0,612.99
2024-01-05,CMP029,CH08,7.44,53346.0,960.0,43,2,0,130.42
2024-01-05,CMP030,CH08,9.54,45944.0,827.0,39,0,0,0.0
2024-01-05,CMP031,CH09,256.19,1075781.0,5379.0,464,12,0,289.7
2024-01-06,CMP001,CH01,792.0,,11582.0,1524,36,0,1367.75
2024-01-06,CMP002,CH01,176.0,,1688.0,252,8,0,224.41
2024-01-06,CMP003,CH01,22.0,,1126.0,153,1,0,27.25
2024-01-06,CMP006,CH02,176.52,714089.0,4285.0,357,9,0,229.02
2024-01-06,CMP007,CH02,72.31,354746.0,2128.0,211,4,0,169.8
2024-01-06,CMP008,CH02,452.37,2070746.0,12424.0,1114,11,0,446.06
2024-01-06,CMP010,CH02,24.01,68052.0,408.0,36,1,0,13.76
2024-01-06,CMP012,CH03,127.43,212806.0,1915.0,213,5,0,108.57
2024-01-06,CMP016,CH03,21.16,31139.0,280.0,26,0,0,0.0
2024-01-06,CMP017,CH03,516.04,679183.0,6113.0,586,12,0,408.76
2024-01-06,CMP018,CH04,0.0,36784.0,441.0,76,3,0,88.97
2024-01-06,CMP022,CH05,447.34,300806.0,10528.0,925,17,0,642.15
2024-01-06,CMP025,CH06,0.0,,3239.0,668,22,0,843.43
2024-01-06,CMP026,CH07,136.58,,1884.0,330,15,0,551.75
2024-01-06,CMP028,CH08,386.55,1508080.0,27145.0,1433,16,0,563.88
2024-01-06,CMP029,CH08,8.26,69524.0,1251.0,59,0,0,0.0
2024-01-06,CMP030,CH08,7.25,57757.0,1040.0,36,0,0,0.0
2024-01-06,CMP031,CH09,355.04,1126869.0,5634.0,508,17,0,409.5
2024-01-07,CMP001,CH01,814.0,,8628.0,1232,37,0,1076.98
2024-01-07,CMP002,CH01,176.0,,1864.0,241,8,0,225.17
2024-01-07,CMP003,CH01,154.0,,816.0,116,7,0,112.33
2024-01-07,CMP006,CH02,122.58,448642.0,2692.0,255,5,0,60.51
2024-01-07,CMP007,CH02,74.78,291796.0,1751.0,166,5,0,162.69
2024-01-07,CMP008,CH02,314.68,1905926.0,11436.0,923,18,0,526.9
2024-01-07,CMP010,CH02,18.42,74078.0,444.0,37,0,0,0.0
2024-01-07,CMP012,CH03,127.36,197272.0,1775.0,183,2,0,40.53
2024-01-07,CMP016,CH03,15.72,12377.0,111.0,13,2,0,89.89
2024-01-07,CMP017,CH03,277.44,512886.0,4616.0,505,7,0,264.33
2024-01-07,CMP018,CH04,0.0,30796.0,370.0,52,1,0,12.25
2024-01-07,CMP022,CH05,461.89,254317.0,8901.0,728,24,0,714.8
2024-01-07,CMP025,CH06,0.0,,3180.0,555,25,0,758.11
2024-01-07,CMP026,CH07,157.29,,1545.0,270,11,0,272.03
2024-01-07,CMP028,CH08,327.37,1156750.0,20822.0,1074,16,0,461.82
2024-01-07,CMP029,CH08,4.9,31639.0,570.0,24,0,0,0.0
2024-01-07,CMP030,CH08,7.6,38504.0,693.0,33,0,0,0.0
2024-01-07,CMP031,CH09,257.84,934603.0,4673.0,450,5,0,73.8
2024-01-08,CMP001,CH01,572.0,,7635.0,1085,26,0,930.97
2024-01-08,CMP002,CH01,154.0,,1283.0,188,7,0,140.58
2024-01-08,CMP003,CH01,66.0,,715.0,102,3,0,142.62
2024-01-08,CMP006,CH02,109.93,414953.0,2490.0,230,4,0,81.06
2024-01-08,CMP007,CH02,52.02,195919.0,1176.0,138,2,0,129.62
2024-01-08,CMP008,CH02,255.3,1512516.0,9075.0,832,10,0,260.96
2024-01-08,CMP010,CH02,15.64,57730.0,346.0,30,1,0,76.13
2024-01-08,CMP012,CH03,144.98,155573.0,1400.0,163,1,0,67.81
2024-01-08,CMP016,CH03,20.54,19730.0,178.0,22,0,0,0.0
2024-01-08,CMP017,CH03,236.62,392931.0,3536.0,393,9,0,324.44
2024-01-08,CMP018,CH04,0.0,35190.0,422.0,57,3,0,55.91
2024-01-08,CMP022,CH05,391.25,226461.0,7926.0,597,20,0,526.48
2024-01-08,CMP025,CH06,0.0,,2143.0,431,11,0,288.02
2024-01-08,CMP026,CH07,133.34,,1343.0,214,11,0,272.03
2024-01-08,CMP028,CH08,294.7,1067920.0,19223.0,983,12,0,247.59
2024-01-08,CMP029,CH08,4.57,37036.0,667.0,31,1,0,11.2
2024-01-08,CMP030,CH08,7.61,29258.0,527.0,28,0,0,0.0
2024-01-08,CMP031,CH09,257.56,665328.0,3327.0,340,4,0,48.34
2024-01-09,CMP001,CH01,682.0,,9954.0,1146,31,0,942.82
2024-01-09,CMP002,CH01,66.0,,1532.0,224,3,0,52.78
2024-01-09,CMP003,CH01,66.0,,753.0,107,3,0,50.87
2024-01-09,CMP006,CH02,80.21,478587.0,2872.0,236,7,0,260.07
2024-01-09,CMP007,CH02,61.11,293068.0,1758.0,155,2,0,38.81
2024-01-09,CMP008,CH02,293.96,1564384.0,9386.0,807,19,0,651.39
2024-01-09,CMP010,CH02,16.3,62537.0,375.0,32,1,0,13.76
2024-01-09,CMP012,CH03,128.43,144970.0,1305.0,150,3,0,36.01
2024-01-09,CMP016,CH03,18.44,29467.0,265.0,29,1,0,13.76
2024-01-09,CMP017,CH03,267.47,421918.0,3797.0,408,9,0,205.79
2024-01-09,CMP018,CH04,0.0,31154.0,374.0,57,4,0,154.83
2024-01-09,CMP022,CH05,461.58,187366.0,6558.0,565,18,0,305.99
2024-01-09,CMP025,CH06,0.0,,2759.0,484,22,0,639.8
2024-01-09,CMP026,CH07,154.3,,1287.0,230,12,0,356.65
2024-01-09,CMP028,CH08,232.6,1431468.0,25766.0,1018,13,0,322.34
2024-01-09,CMP029,CH08,5.12,34653.0,624.0,29,0,0,0.0
2024-01-09,CMP030,CH08,6.43,24471.0,440.0,22,0,0,0.0
2024-01-09,CMP031,CH09,286.38,605949.0,3030.0,343,6,0,265.46
2024-01-10,CMP001,CH01,638.0,,7293.0,1071,29,0,655.79
2024-01-10,CMP002,CH01,110.0,,1669.0,207,5,0,130.34
2024-01-10,CMP003,CH01,44.0,,772.0,102,2,0,23.82
2024-01-10,CMP006,CH02,110.84,391939.0,2352.0,252,8,0,169.61
2024-01-10,CMP007,CH02,60.0,229993.0,1380.0,138,5,0,180.41
2024-01-10,CMP008,CH02,193.45,1396650.0,8380.0,782,16,0,499.29
2024-01-10,CMP010,CH02,14.1,83899.0,503.0,42,1,0,13.76
2024-01-10,CMP012,CH03,116.1,145471.0,1309.0,151,5,0,132.85
2024-01-10,CMP016,CH03,15.81,17482.0,157.0,16,1,0,13.76
2024-01-10,CMP017,CH03,257.17,451716.0,4065.0,405,13,0,235.18
2024-01-10,CMP018,CH04,0.0,16777.0,201.0,32,2,0,24.61
2024-01-10,CMP022,CH05,433.76,238980.0,8364.0,632,13,0,312.51
2024-01-10,CMP025,CH06,0.0,,2332.0,465,24,0,707.13
2024-01-10,CMP026,CH07,127.47,,1242.0,216,9,0,180.57
2024-01-10,CMP028,CH08,210.03,1016863.0,18304.0,970,16,0,467.83
2024-01-10,CMP029,CH08,4.39,21721.0,391.0,22,1,0,11.2
2024-01-10,CMP030,CH08,5.23,25426.0,458.0,24,0,0,0.0
2024-01-10,CMP031,CH09,305.67,719073.0,3595.0,363,13,0,250.82
2024-01-11,CMP001,CH01,748.0,,8578.0,1181,34,0,960.51
2024-01-11,CMP002,CH01,198.0,,1245.0,194,9,0,325.02
2024-01-11,CMP003,CH01,66.0,,859.0,112,3,0,89.42
2024-01-11,CMP006,CH02,112.61,503084.0,3019.0,266,8,0,280.73
2024-01-11,CMP007,CH02,81.36,306147.0,1837.0,152,1,0,27.25
2024-01-11,CMP008,CH02,287.35,1501050.0,9006.0,878,19,0,584.75
2024-01-11,CMP010,CH02,14.94,70094.0,421.0,43,1,0,13.76
2024-01-11,CMP012,CH03,110.52,161097.0,1450.0,170,8,0,296.75
2024-01-11,CMP016,CH03,15.53,26462.0,238.0,29,2,0,27.52
2024-01-11,CMP017,CH03,220.1,446981.0,4023.0,450,9,0,257.06
2024-01-11,CMP018,CH04,0.0,29785.0,357.0,51,3,0,36.42
2024-01-11,CMP022,CH05,379.01,250554.0,8769.0,683,20,0,397.59
2024-01-11,CMP025,CH06,0.0,,2530.0,518,19,0,546.33
2024-01-11,CMP026,CH07,134.11,,1438.0,267,14,0,526.28
2024-01-11,CMP028,CH08,214.09,1090286.0,19625.0,1047,10,0,319.14
2024-01-11,CMP029,CH08,5.84,43237.0,778.0,37,0,0,0.0
2024-01-11,CMP030,CH08,7.27,29263.0,527.0,27,1,0,25.4
2024-01-11,CMP031,CH09,277.35,727468.0,3637.0,369,3,0,38.27
2024-01-12,CMP001,CH01,550.0,,9447.0,1293,25,0,787.84
2024-01-12,CMP002,CH01,220.0,,1490.0,215,10,0,376.81
2024-01-12,CMP003,CH01,176.0,,811.0,119,8,0,268.52
2024-01-12,CMP006,CH02,85.1,629290.0,3776.0,292,4,0,120.59
2024-01-12,CMP007,CH02,69.99,250685.0,1504.0,161,2,0,74.65
2024-01-12,CMP008,CH02,310.81,1572002.0,9432.0,897,13,0,406.07
2024-01-12,CMP010,CH02,16.53,46825.0,281.0,31,3,0,103.65
2024-01-12,CMP012,CH03,134.73,163468.0,1471.0,161,3,0,36.01
2024-01-12,CMP016,CH03,25.3,30104.0,271.0,28,0,0,0.0
2024-01-12,CMP017,CH03,235.08,510811.0,4597.0,475,10,0,206.7
2024-01-12,CMP018,CH04,0.0,23793.0,286.0,49,5,0,114.57
2024-01-12,CMP022,CH05,433.04,249768.0,8742.0,703,19,0,519.6
2024-01-12,CMP025,CH06,0.0,,2717.0,559,25,0,680.77
2024-01-12,CMP026,CH07,149.05,,1349.0,262,8,0,128.6
2024-01-12,CMP028,CH08,316.75,1324651.0,23844.0,1163,24,0,582.23
2024-01-12,CMP029,CH08,7.92,37544.0,676.0,36,0,0,0.0
2024-01-12,CMP030,CH08,7.95,44685.0,804.0,40,0,0,0.0
2024-01-12,CMP031,CH09,231.05,728377.0,3642.0,369,7,0,136.09
2024-01-13,CMP001,CH01,990.0,,6735.0,1193,45,0,1096.15
2024-01-13,CMP002,CH01,66.0,,1468.0,210,3,0,162.14
2024-01-13,CMP003,CH01,66.0,,837.0,114,3,0,65.09
2024-01-13,CMP006,CH02,116.59,415013.0,2490.0,243,11,0,245.92
2024-01-13,CMP007,CH02,59.29,336801.0,2021.0,158,2,0,23.82
2024-01-13,CMP008,CH02,360.14,1745253.0,10472.0,1019,14,0,345.91
2024-01-13,CMP010,CH02,15.29,111351.0,668.0,46,1,0,13.76
2024-01-13,CMP012,CH03,141.03,180801.0,1627.0,181,4,0,104.58
2024-01-13,CMP016,CH03,21.5,32980.0,297.0,30,1,0,76.13
2024-01-13,CMP017,CH03,274.16,483635.0,4353.0,490,15,0,362.84
2024-01-13,CMP018,CH04,0.0,26003.0,312.0,51,4,0,102.32
2024-01-13,CMP022,CH05,404.56,206226.0,7218.0,751,7,0,194.42
2024-01-13,CMP025,CH06,0.0,,2584.0,542,20,0,501.13
2024-01-13,CMP026,CH07,154.96,,941.0,259,11,0,362.3
2024-01-13,CMP028,CH08,300.54,1080806.0,19455.0,1164,11,0,298.28
2024-01-13,CMP029,CH08,5.22,51925.0,935.0,47,0,0,0.0
2024-01-13,CMP030,CH08,7.56,34788.0,626.0,29,0,0,0.0
2024-01-13,CMP031,CH09,260.26,865911.0,4330.0,406,12,0,332.15
2024-01-14,CMP001,CH01,814.0,,8936.0,1261,37,0,867.56
2024-01-14,CMP002,CH01,88.0,,1523.0,228,4,0,65.04
2024-01-14,CMP003,CH01,22.0,,963.0,109,1,0,27.48
2024-01-14,CMP006,CH02,128.72,648950.0,3894.0,316,3,0,92.32
2024-01-14,CMP007,CH02,76.08,343928.0,2064.0,156,2,0,23.72
2024-01-14,CMP008,CH02,335.31,1707417.0,10245.0,944,19,0,327.6
2024-01-14,CMP010,CH02,12.66,71919.0,432.0,42,1,0,13.76
2024-01-14,CMP012,CH03,126.44,168384.0,1515.0,172,6,0,89.55
2024-01-14,CMP016,CH03,21.76,25908.0,233.0,26,0,0,0.0
2024-01-14,CMP017,CH03,313.65,496261.0,4466.0,500,10,0,262.56
2024-01-14,CMP018,CH04,0.0,29620.0,355.0,56,4,0,122.22
2024-01-14,CMP022,CH05,508.44,280217.0,9808.0,743,19,0,490.24
2024-01-14,CMP025,CH06,0.0,,2851.0,580,27,0,550.36
2024-01-14,CMP026,CH07,146.77,,1308.0,277,13,0,226.28
2024-01-14,CMP028,CH08,273.71,1303400.0,23461.0,1181,19,0,481.29
2024-01-14,CMP029,CH08,5.94,47671.0,858.0,45,0,0,0.0
2024-01-14,CMP030,CH08,6.53,35007.0,630.0,32,0,0,0.0
2024-01-14,CMP031,CH09,287.46,859032.0,4295.0,420,13,0,411.73
2024-01-15,CMP001,CH01,616.0,,8121.0,1096,28,0,828.18
2024-01-15,CMP002,CH01,110.0,,1699.0,196,5,0,147.35
2024-01-15,CMP003,CH01,44.0,,746.0,98,2,0,38.71
2024-01-15,CMP006,CH02,136.01,398628.0,2392.0,238,2,0,24.51
2024-01-15,CMP007,CH02,56.14,266219.0,1597.0,147,4,0,62.71
2024-01-15,CMP008,CH02,236.52,1446666.0,8680.0,866,27,0,794.12
2024-01-15,CMP010,CH02,14.11,73791.0,443.0,39,1,0,13.76
2024-01-15,CMP012,CH03,109.87,148672.0,1338.0,158,4,0,176.15
2024-01-15,CMP016,CH03,16.71,19448.0,175.0,19,2,0,45.5
2024-01-15,CMP017,CH03,230.68,482957.0,4347.0,408,13,0,384.61
2024-01-15,CMP018,CH04,1525.43,25416.0,305.0,49,0,0,0.0
2024-01-15,CMP022,CH05,423.33,293274.0,10265.0,686,13,0,539.12
2024-01-15,CMP025,CH06,0.0,,2577.0,503,17,0,499.3
2024-01-15,CMP026,CH07,138.47,,1081.0,213,6,0,135.74
2024-01-15,CMP028,CH08,276.03,1092829.0,19671.0,1029,10,0,151.93
2024-01-15,CMP029,CH08,5.49,40013.0,720.0,41,1,0,12.37
2024-01-15,CMP030,CH08,7.98,48192.0,867.0,38,0,0,0.0
2024-01-15,CMP031,CH09,329.92,843488.0,4217.0,339,9,0,286.13
2024-01-16,CMP001,CH01,616.0,,6434.0,1050,28,0,857.55
2024-01-16,CMP002,CH01,66.0,,1313.0,167,3,0,36.76
2024-01-16,CMP003,CH01,66.0,,642.0,100,3,0,103.28
2024-01-16,CMP006,CH02,103.82,433831.0,2603.0,252,8,0,146.09
2024-01-16,CMP007,CH02,41.33,316669.0,1900.0,144,4,0,61.54
2024-01-16,CMP008,CH02,268.56,1450664.0,8704.0,777,15,0,360.13
2024-01-16,CMP010,CH02,16.27,61906.0,371.0,36,1,0,13.76
2024-01-16,CMP012,CH03,107.07,119927.0,1079.0,129,6,0,174.63
2024-01-16,CMP016,CH03,17.8,25818.0,232.0,24,0,0,0.0
2024-01-16,CMP017,CH03,195.29,453730.0,4084.0,406,8,0,126.94
2024-01-16,CMP018,CH04,0.0,22894.0,275.0,44,1,0,67.81
2024-01-16,CMP022,CH05,446.27,191650.0,6708.0,604,17,0,367.85
2024-01-16,CMP025,CH06,0.0,,2263.0,483,15,0,385.61
2024-01-16,CMP026,CH07,173.55,,1350.0,253,13,0,281.19
2024-01-16,CMP028,CH08,251.59,990447.0,17828.0,967,9,0,139.19
2024-01-16,CMP029,CH08,4.06,60728.0,1093.0,58,0,0,0.0
2024-01-16,CMP030,CH08,5.95,30761.0,554.0,25,1,0,65.35
2024-01-16,CMP031,CH09,242.37,736027.0,3680.0,342,7,0,226.04
2024-01-17,CMP001,CH01,616.0,,8810.0,1090,28,0,853.15
2024-01-17,CMP002,CH01,44.0,,1460.0,199,2,0,24.51
2024-01-17,CMP003,CH01,66.0,,1052.0,123,3,0,35.14
2024-01-17,CMP006,CH02,117.5,463764.0,2783.0,273,2,0,23.75
2024-01-17,CMP007,CH02,56.77,262887.0,1577.0,132,1,0,11.81
2024-01-17,CMP008,CH02,199.24,1486352.0,8918.0,893,13,0,315.17
2024-01-17,CMP010,CH02,19.19,77612.0,466.0,41,0,0,0.0
2024-01-17,CMP012,CH03,101.61,169350.0,1524.0,179,2,0,40.53
2024-01-17,CMP016,CH03,21.4,27692.0,249.0,26,1,0,13.76
2024-01-17,CMP017,CH03,260.73,381403.0,3433.0,419,6,0,104.5
2024-01-17,CMP018,CH04,0.0,22030.0,264.0,51,0,0,0.0
2024-01-17,CMP022,CH05,482.13,224573.0,7860.0,664,18,0,518.91
2024-01-17,CMP025,CH06,0.0,,2349.0,488,15,0,392.34
2024-01-17,CMP026,CH07,142.76,,1322.0,251,8,0,206.01
2024-01-17,CMP028,CH08,271.16,1046032.0,18829.0,1037,19,0,664.42
2024-01-17,CMP029,CH08,4.68,26168.0,471.0,27,0,0,0.0
2024-01-17,CMP030,CH08,6.63,27048.0,487.0,25,0,0,0.0
2024-01-17,CMP031,CH09,285.99,692865.0,3464.0,355,11,0,247.79
2024-01-18,CMP001,CH01,594.0,,7516.0,1062,27,0,757.96
2024-01-18,CMP002,CH01,220.0,,1356.0,194,10,0,262.2
2024-01-18,CMP003,CH01,44.0,,759.0,104,2,0,96.15
2024-01-18,CMP006,CH02,91.23,467031.0,2802.0,244,11,0,325.25
2024-01-18,CMP007,CH02,57.86,232908.0,1397.0,130,6,0,155.41
2024-01-18,CMP008,CH02,274.95,1281694.0,7690.0,863,12,0,463.89
2024-01-18,CMP010,CH02,16.89,59777.0,359.0,31,0,0,0.0
2024-01-18,CMP012,CH03,141.79,122908.0,1106.0,127,6,0,88.79
2024-01-18,CMP016,CH03,14.13,11248.0,101.0,11,0,0,0.0
2024-01-18,CMP017,CH03,237.7,397828.0,3580.0,429,11,0,271.17
2024-01-18,CMP018,CH04,0.0,18832.0,226.0,40,1,0,65.9
2024-01-18,CMP022,CH05,483.14,208272.0,7290.0,655,12,0,286.26
2024-01-18,CMP025,CH06,0.0,,1924.0,421,16,0,429.7
2024-01-18,CMP026,CH07,161.26,,1549.0,262,16,0,292.88
2024-01-18,CMP028,CH08,241.52,1083408.0,19501.0,966,15,0,323.59
2024-01-18,CMP029,CH08,6.08,36696.0,661.0,30,1,0,28.54
2024-01-18,CMP030,CH08,7.24,49156.0,885.0,39,0,0,0.0
2024-01-18,CMP031,CH09,300.03,727805.0,3639.0,344,9,0,210.55
2024-01-19,CMP001,CH01,594.0,,7548.0,1173,27,0,941.19
2024-01-19,CMP002,CH01,132.0,,1528.0,232,6,0,105.57
2024-01-19,CMP003,CH01,220.0,,916.0,116,10,0,274.66
2024-01-19,CMP006,CH02,115.55,471710.0,2830.0,277,11,0,163.8
2024-01-19,CMP007,CH02,74.63,273419.0,1641.0,145,1,0,27.25
2024-01-19,CMP008,CH02,242.83,1895339.0,11372.0,970,23,0,579.96
2024-01-19,CMP010,CH02,16.4,53397.0,320.0,30,1,0,31.74
2024-01-19,CMP012,CH03,113.35,143620.0,1293.0,153,1,0,12.25
2024-01-19,CMP016,CH03,18.02,26537.0,239.0,27,0,0,0.0
2024-01-19,CMP017,CH03,280.05,482444.0,4342.0,486,7,0,206.52
2024-01-19,CMP018,CH04,0.0,20946.0,251.0,49,3,0,70.31
2024-01-19,CMP022,CH05,514.0,263554.0,9224.0,761,18,0,306.13
2024-01-19,CMP025,CH06,0.0,,2505.0,526,27,0,768.53
2024-01-19,CMP026,CH07,148.16,,1400.0,257,16,0,460.73
2024-01-19,CMP028,CH08,235.93,1514529.0,27262.0,1208,20,0,423.09
2024-01-19,CMP029,CH08,5.59,52819.0,951.0,50,1,0,68.46
2024-01-19,CMP030,CH08,6.59,28311.0,510.0,27,0,0,0.0
2024-01-19,CMP031,CH09,368.67,801908.0,4010.0,414,11,0,267.08
2024-01-20,CMP001,CH01,1056.0,,8265.0,1207,48,0,1391.59
2024-01-20,CMP002,CH01,132.0,,1836.0,213,6,0,183.88
2024-01-20,CMP003,CH01,110.0,,830.0,110,5,0,74.62
2024-01-20,CMP006,CH02,101.79,511794.0,3071.0,282,7,0,132.09
2024-01-20,CMP007,CH02,69.98,359224.0,2155.0,197,4,0,63.78
2024-01-20,CMP008,CH02,257.64,2001825.0,12011.0,1014,11,0,422.83
2024-01-20,CMP010,CH02,17.78,65028.0,390.0,34,1,0,13.76
2024-01-20,CMP012,CH03,142.4,191090.0,1720.0,178,7,0,153.16
2024-01-20,CMP016,CH03,19.04,14770.0,133.0,15,2,0,107.88
2024-01-20,CMP017,CH03,227.91,476885.0,4292.0,515,8,0,209.75
2024-01-20,CMP018,CH04,0.0,32672.0,392.0,62,0,0,0.0
2024-01-20,CMP022,CH05,525.85,273800.0,9583.0,723,30,0,1087.51
2024-01-20,CMP025,CH06,0.0,,2605.0,527,22,0,490.88
2024-01-20,CMP026,CH07,138.13,,1601.0,261,10,0,238.57
