cohort_month,cohort_size,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31
2025-03,9185,0.9654,0.6974,0.6186,0.4929,0.4745,0.4579,0.4289,0.4256,0.4344,0.4225,0.4245,0.4273,0.2727,0.2771,0.2789,0.2739,0.27,0.2747,,,,,,,,,,,,,,
2025-04,9929,0.968,0.7476,0.6806,0.5591,0.5407,0.5332,0.5106,0.5189,0.5138,0.5052,0.5053,0.5036,0.29,0.2955,0.3019,0.3006,0.3021,,,,,,,,,,,,,,,
2025-05,10165,0.9684,0.7369,0.6618,0.5453,0.5304,0.5265,0.5106,0.5057,0.5018,0.4943,0.4972,0.4991,0.3087,0.3099,0.3102,0.3116,,,,,,,,,,,,,,,,
2025-06,10187,0.9687,0.7582,0.6992,0.5929,0.5824,0.5858,0.5591,0.5587,0.559,0.5475,0.5459,0.5471,0.3102,0.3156,0.3259,,,,,,,,,,,,,,,,,
2025-07,11915,0.9684,0.7801,0.724,0.6201,0.6273,0.6175,0.5864,0.5867,0.5834,0.5757,0.574,0.5738,0.3331,0.346,,,,,,,,,,,,,,,,,,
2025-08,12531,0.9661,0.7901,0.7333,0.6403,0.63,0.6242,0.5965,0.5922,0.5913,0.5775,0.5757,0.5771,0.3495,,,,,,,,,,,,,,,,,,,
2025-09,12143,0.9646,0.7863,0.7366,0.641,0.6332,0.6275,0.5978,0.5936,0.5911,0.5794,0.5812,0.5845,,,,,,,,,,,,,,,,,,,,
2025-10,13284,0.9631,0.7854,0.7275,0.6279,0.6241,0.6155,0.589,0.5821,0.5787,0.569,0.574,,,,,,,,,,,,,,,,,,,,,
2025-11,16480,0.9657,0.7947,0.7385,0.6467,0.638,0.6286,0.6001,0.5958,0.5933,0.588,,,,,,,,,,,,,,,,,,,,,,
2025-12,15390,0.966,0.7891,0.7418,0.6478,0.6387,0.6305,0.6005,0.5977,0.5996,,,,,,,,,,,,,,,,,,,,,,,
2026-01,15804,0.9652,0.7918,0.7365,0.6413,0.6289,0.6219,0.5969,0.5988,,,,,,,,,,,,,,,,,,,,,,,,
2026-02,15968,0.9661,0.8023,0.7495,0.6508,0.6391,0.6335,0.608,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03,15714,0.9667,0.795,0.7351,0.6387,0.627,0.6205,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04,16169,0.9673,0.8023,0.7469,0.6539,0.6522,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05,15758,0.966,0.7967,0.7363,0.6439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06,16455,0.9646,0.7976,0.7418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07,19615,0.9662,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08,21041,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
