month,processor_id,payment_method_id,payment_type,attempts,declined_first_attempt,recovered_by_retry,failed_final,approved,approval_rate,transactions,amount_gross_usd,processing_fees_usd
2024-02,ACQ_A,PM02,Refund,0,0,0,0,0,,14,-605.79,0.0
2024-02,ACQ_A,PM02,Renewal,428,51,17,34,394,0.9206,394,6472.81,493.9
2024-02,ACQ_A,PM02,Token pack,91,7,0,7,84,0.9231,84,3696.19,232.69
2024-02,ACQ_A,PM03,Chargeback,0,0,0,0,0,,1,-16.51,25.0
2024-02,ACQ_A,PM03,Initial (new + win-back),53,7,0,7,46,0.8679,46,1663.33,107.58
2024-02,ACQ_A,PM03,Refund,0,0,0,0,0,,5,-165.17,0.0
2024-02,ACQ_A,PM03,Renewal,53,6,2,4,49,0.9245,49,726.63,57.11
2024-02,ACQ_A,PM03,Token pack,8,1,0,1,7,0.875,7,225.72,14.86
2024-02,ACQ_B,PM01,Chargeback,0,0,0,0,0,,30,-844.92,750.0
2024-02,ACQ_B,PM01,Initial (new + win-back),2427,367,0,367,2060,0.8488,2060,65305.77,4536.35
2024-02,ACQ_B,PM01,Refund,0,0,0,0,0,,76,-2461.0,0.0
2024-02,ACQ_B,PM01,Renewal,1285,192,65,127,1158,0.9012,1158,17130.27,1375.22
2024-02,ACQ_B,PM01,Token pack,286,30,0,30,256,0.8951,256,9627.44,654.45
2024-02,ACQ_B,PM02,Chargeback,0,0,0,0,0,,10,-205.77,250.0
2024-02,ACQ_B,PM02,Initial (new + win-back),1261,205,0,205,1056,0.8374,1056,31909.65,2231.38
2024-02,ACQ_B,PM02,Refund,0,0,0,0,0,,48,-1464.09,0.0
2024-02,ACQ_B,PM02,Renewal,675,88,19,69,606,0.8978,606,9326.82,741.41
2024-02,ACQ_B,PM02,Token pack,152,14,0,14,138,0.9079,138,4358.62,302.92
2024-02,ACQ_B,PM03,Chargeback,0,0,0,0,0,,1,-12.99,25.0
2024-02,ACQ_B,PM03,Initial (new + win-back),125,20,0,20,105,0.84,105,3216.63,224.5
2024-02,ACQ_B,PM03,Refund,0,0,0,0,0,,3,-109.86,0.0
2024-02,ACQ_B,PM03,Renewal,58,6,3,3,55,0.9483,55,816.33,65.48
2024-02,ACQ_B,PM03,Token pack,20,2,0,2,18,0.9,18,909.82,59.99
2024-02,CRYPTO_GW,PM04,Initial (new + win-back),207,7,0,7,200,0.9662,200,7935.68,119.04
2024-02,CRYPTO_GW,PM04,Refund,0,0,0,0,0,,9,-272.46,0.0
2024-02,CRYPTO_GW,PM04,Renewal,103,0,0,0,103,1.0,103,1594.21,23.91
2024-02,CRYPTO_GW,PM04,Token pack,23,1,0,1,22,0.9565,22,718.58,10.78
2024-02,CRYPTO_GW,PM05,Initial (new + win-back),135,5,0,5,130,0.963,130,4707.61,70.61
2024-02,CRYPTO_GW,PM05,Refund,0,0,0,0,0,,2,-107.53,0.0
2024-02,CRYPTO_GW,PM05,Renewal,70,0,0,0,70,1.0,70,1016.46,15.25
2024-02,CRYPTO_GW,PM05,Token pack,25,1,0,1,24,0.96,24,1046.44,15.7
2024-02,CRYPTO_GW,PM06,Initial (new + win-back),189,8,0,8,181,0.9577,181,6422.4,96.34
2024-02,CRYPTO_GW,PM06,Refund,0,0,0,0,0,,5,-264.28,0.0
2024-02,CRYPTO_GW,PM06,Renewal,80,0,0,0,80,1.0,80,1258.26,18.87
2024-02,CRYPTO_GW,PM06,Token pack,24,1,0,1,23,0.9583,23,900.31,13.5
2024-02,CRYPTO_GW,PM07,Initial (new + win-back),55,2,0,2,53,0.9636,53,2294.17,34.41
2024-02,CRYPTO_GW,PM07,Refund,0,0,0,0,0,,5,-124.87,0.0
2024-02,CRYPTO_GW,PM07,Renewal,43,0,0,0,43,1.0,43,716.78,10.75
2024-02,CRYPTO_GW,PM07,Token pack,8,0,0,0,8,1.0,8,251.24,3.77
2024-03,ACQ_A,PM01,Chargeback,0,0,0,0,0,,21,-599.11,525.0
2024-03,ACQ_A,PM01,Initial (new + win-back),1238,182,0,182,1056,0.853,1056,33879.31,2232.96
2024-03,ACQ_A,PM01,Refund,0,0,0,0,0,,52,-1550.64,0.0
2024-03,ACQ_A,PM01,Renewal,971,105,28,77,894,0.9207,894,14985.27,1137.09
2024-03,ACQ_A,PM01,Token pack,184,16,0,16,168,0.913,168,6709.03,427.8
2024-03,ACQ_A,PM02,Chargeback,0,0,0,0,0,,8,-212.0,200.0
2024-03,ACQ_A,PM02,Initial (new + win-back),665,96,0,96,569,0.8556,569,17387.55,1155.47
2024-03,ACQ_A,PM02,Refund,0,0,0,0,0,,26,-583.06,0.0
2024-03,ACQ_A,PM02,Renewal,508,57,22,35,473,0.9311,473,7892.95,599.66
2024-03,ACQ_A,PM02,Token pack,104,9,0,9,95,0.9135,95,4791.16,296.76
2024-03,ACQ_A,PM03,Initial (new + win-back),55,7,0,7,48,0.8727,48,1637.79,106.88
2024-03,ACQ_A,PM03,Refund,0,0,0,0,0,,3,-247.63,0.0
2024-03,ACQ_A,PM03,Renewal,54,8,3,5,49,0.9074,49,835.91,63.12
2024-03,ACQ_A,PM03,Token pack,7,1,0,1,6,0.8571,6,99.6,7.58
2024-03,ACQ_B,PM01,Chargeback,0,0,0,0,0,,29,-646.23,725.0
2024-03,ACQ_B,PM01,Initial (new + win-back),2500,438,0,438,2062,0.8248,2062,61465.62,4306.54
2024-03,ACQ_B,PM01,Refund,0,0,0,0,0,,88,-3153.14,0.0
2024-03,ACQ_B,PM01,Renewal,1570,212,58,154,1416,0.9019,1416,21551.43,1717.89
2024-03,ACQ_B,PM01,Token pack,362,35,0,35,327,0.9033,327,13286.73,895.3
2024-03,ACQ_B,PM02,Chargeback,0,0,0,0,0,,22,-454.5,550.0
2024-03,ACQ_B,PM02,Initial (new + win-back),1257,196,0,196,1061,0.8441,1061,30433.35,2144.3
2024-03,ACQ_B,PM02,Refund,0,0,0,0,0,,37,-1213.32,0.0
2024-03,ACQ_B,PM02,Renewal,841,118,42,76,765,0.9096,765,11554.08,922.74
2024-03,ACQ_B,PM02,Token pack,161,17,0,17,144,0.8944,144,5683.56,384.21
2024-03,ACQ_B,PM03,Initial (new + win-back),109,16,0,16,93,0.8532,93,2454.87,175.19
2024-03,ACQ_B,PM03,Refund,0,0,0,0,0,,2,-42.96,0.0
2024-03,ACQ_B,PM03,Renewal,80,8,2,6,74,0.925,74,1139.01,90.54
2024-03,ACQ_B,PM03,Token pack,13,1,0,1,12,0.9231,12,409.88,28.19
2024-03,CRYPTO_GW,PM04,Initial (new + win-back),202,9,0,9,193,0.9554,193,6631.96,99.48
2024-03,CRYPTO_GW,PM04,Refund,0,0,0,0,0,,8,-399.17,0.0
2024-03,CRYPTO_GW,PM04,Renewal,117,0,0,0,117,1.0,117,1725.9,25.89
2024-03,CRYPTO_GW,PM04,Token pack,19,0,0,0,19,1.0,19,767.8,11.52
2024-03,CRYPTO_GW,PM05,Initial (new + win-back),107,5,0,5,102,0.9533,102,3585.93,53.79
2024-03,CRYPTO_GW,PM05,Refund,0,0,0,0,0,,3,-100.12,0.0
2024-03,CRYPTO_GW,PM05,Renewal,88,0,0,0,88,1.0,88,1301.07,19.52
2024-03,CRYPTO_GW,PM05,Token pack,23,1,0,1,22,0.9565,22,1008.91,15.13
2024-03,CRYPTO_GW,PM06,Initial (new + win-back),202,8,0,8,194,0.9604,194,7419.02,111.29
2024-03,CRYPTO_GW,PM06,Refund,0,0,0,0,0,,4,-187.85,0.0
2024-03,CRYPTO_GW,PM06,Renewal,103,0,0,0,103,1.0,103,1626.77,24.4
2024-03,CRYPTO_GW,PM06,Token pack,29,1,0,1,28,0.9655,28,1091.89,16.38
2024-03,CRYPTO_GW,PM07,Initial (new + win-back),55,2,0,2,53,0.9636,53,1774.99,26.62
2024-03,CRYPTO_GW,PM07,Refund,0,0,0,0,0,,5,-216.35,0.0
2024-03,CRYPTO_GW,PM07,Renewal,44,0,0,0,44,1.0,44,670.73,10.06
2024-03,CRYPTO_GW,PM07,Token pack,7,0,0,0,7,1.0,7,365.53,5.48
2024-04,ACQ_A,PM01,Chargeback,0,0,0,0,0,,16,-438.07,400.0
2024-04,ACQ_A,PM01,Initial (new + win-back),1351,189,0,189,1162,0.8601,1162,36941.11,2438.46
2024-04,ACQ_A,PM01,Refund,0,0,0,0,0,,54,-1713.19,0.0
2024-04,ACQ_A,PM01,Renewal,1114,133,37,96,1018,0.9138,1018,17969.01,1344.6
2024-04,ACQ_A,PM01,Token pack,250,19,0,19,231,0.924,231,9618.32,609.86
2024-04,ACQ_A,PM02,Chargeback,0,0,0,0,0,,11,-285.74,275.0
2024-04,ACQ_A,PM02,Initial (new + win-back),674,81,0,81,593,0.8798,593,19203.02,1263.72
2024-04,ACQ_A,PM02,Refund,0,0,0,0,0,,27,-955.92,0.0
2024-04,ACQ_A,PM02,Renewal,632,79,22,57,575,0.9098,575,10210.11,762.81
2024-04,ACQ_A,PM02,Token pack,153,12,0,12,141,0.9216,141,5757.37,366.01
2024-04,ACQ_A,PM03,Chargeback,0,0,0,0,0,,1,-14.12,25.0
2024-04,ACQ_A,PM03,Initial (new + win-back),64,10,0,10,54,0.8438,54,1562.21,104.82
2024-04,ACQ_A,PM03,Refund,0,0,0,0,0,,3,-59.98,0.0
2024-04,ACQ_A,PM03,Renewal,61,9,3,6,55,0.9016,55,899.21,68.71
2024-04,ACQ_A,PM03,Token pack,12,1,0,1,11,0.9167,11,266.19,18.49
2024-04,ACQ_B,PM01,Chargeback,0,0,0,0,0,,24,-598.26,600.0
2024-04,ACQ_B,PM01,Initial (new + win-back),2443,363,0,363,2080,0.8514,2080,60073.98,4228.44
2024-04,ACQ_B,PM01,Refund,0,0,0,0,0,,79,-2310.19,0.0
2024-04,ACQ_B,PM01,Renewal,1955,288,96,192,1763,0.9018,1763,27702.78,2191.07
2024-04,ACQ_B,PM01,Token pack,394,39,0,39,355,0.901,355,13591.45,921.99
2024-04,ACQ_B,PM02,Chargeback,0,0,0,0,0,,21,-735.96,525.0
2024-04,ACQ_B,PM02,Initial (new + win-back),1237,212,0,212,1025,0.8286,1025,30401.79,2131.61
2024-04,ACQ_B,PM02,Refund,0,0,0,0,0,,48,-1527.9,0.0
2024-04,ACQ_B,PM02,Renewal,1052,163,50,113,939,0.8926,939,14670.21,1161.91
2024-04,ACQ_B,PM02,Token pack,182,17,0,17,165,0.9066,165,6328.35,429.2
2024-04,ACQ_B,PM03,Chargeback,0,0,0,0,0,,1,-12.99,25.0
2024-04,ACQ_B,PM03,Initial (new + win-back),136,21,0,21,115,0.8456,115,3919.53,269.67
2024-04,ACQ_B,PM03,Refund,0,0,0,0,0,,4,-245.61,0.0
2024-04,ACQ_B,PM03,Renewal,101,13,6,7,94,0.9307,94,1390.86,111.65
2024-04,ACQ_B,PM03,Token pack,20,2,0,2,18,0.9,18,809.82,53.99
2024-04,CRYPTO_GW,PM04,Initial (new + win-back),201,8,0,8,193,0.9602,193,7078.9,106.18
2024-04,CRYPTO_GW,PM04,Refund,0,0,0,0,0,,7,-311.91,0.0
2024-04,CRYPTO_GW,PM04,Renewal,147,0,0,0,147,1.0,147,2442.38,36.64
2024-04,CRYPTO_GW,PM04,Token pack,31,1,0,1,30,0.9677,30,874.31,13.11
2024-04,CRYPTO_GW,PM05,Initial (new + win-back),116,4,0,4,112,0.9655,112,3801.09,57.02
2024-04,CRYPTO_GW,PM05,Refund,0,0,0,0,0,,3,-117.93,0.0
2024-04,CRYPTO_GW,PM05,Renewal,96,0,0,0,96,1.0,96,1837.16,27.56
2024-04,CRYPTO_GW,PM05,Token pack,28,1,0,1,27,0.9643,27,1358.66,20.38
2024-04,CRYPTO_GW,PM06,Initial (new + win-back),213,9,0,9,204,0.9577,204,7384.94,110.77
2024-04,CRYPTO_GW,PM06,Refund,0,0,0,0,0,,12,-492.81,0.0
2024-04,CRYPTO_GW,PM06,Renewal,144,0,0,0,144,1.0,144,2457.8,36.87
2024-04,CRYPTO_GW,PM06,Token pack,39,1,0,1,38,0.9744,38,1683.71,25.26
2024-04,CRYPTO_GW,PM07,Initial (new + win-back),64,2,0,2,62,0.9688,62,2182.95,32.74
2024-04,CRYPTO_GW,PM07,Refund,0,0,0,0,0,,1,-12.99,0.0
2024-04,CRYPTO_GW,PM07,Renewal,47,0,0,0,47,1.0,47,916.99,13.75
2024-04,CRYPTO_GW,PM07,Token pack,8,0,0,0,8,1.0,8,271.94,4.08
2024-05,ACQ_A,PM01,Chargeback,0,0,0,0,0,,20,-496.94,500.0
2024-05,ACQ_A,PM01,Initial (new + win-back),1442,201,0,201,1241,0.8606,1241,40214.95,2646.17
2024-05,ACQ_A,PM01,Refund,0,0,0,0,0,,55,-1828.93,0.0
2024-05,ACQ_A,PM01,Renewal,1288,149,45,104,1184,0.9193,1184,20826.37,1559.85
2024-05,ACQ_A,PM01,Token pack,267,21,0,21,246,0.9213,246,11619.47,725.17
2024-05,ACQ_A,PM02,Chargeback,0,0,0,0,0,,8,-215.61,200.0
2024-05,ACQ_A,PM02,Initial (new + win-back),754,107,0,107,647,0.8581,647,20088.4,1331.31
2024-05,ACQ_A,PM02,Refund,0,0,0,0,0,,38,-1214.29,0.0
2024-05,ACQ_A,PM02,Renewal,673,52,21,31,642,0.9539,642,11115.92,836.08
2024-05,ACQ_A,PM02,Token pack,131,10,0,10,121,0.9237,121,5014.78,318.16
2024-05,ACQ_A,PM03,Chargeback,0,0,0,0,0,,1,-13.93,25.0
2024-05,ACQ_A,PM03,Initial (new + win-back),73,10,0,10,63,0.863,63,2156.25,140.64
2024-05,ACQ_A,PM03,Refund,0,0,0,0,0,,2,-28.08,0.0
2024-05,ACQ_A,PM03,Renewal,62,8,1,7,55,0.8871,55,893.35,68.38
2024-05,ACQ_A,PM03,Token pack,10,1,0,1,9,0.9,9,158.48,11.87
2024-05,ACQ_B,PM01,Chargeback,0,0,0,0,0,,39,-844.05,975.0
2024-05,ACQ_B,PM01,Initial (new + win-back),2843,475,0,475,2368,0.8329,2368,69504.66,4880.68
2024-05,ACQ_B,PM01,Refund,0,0,0,0,0,,97,-3803.22,0.0
2024-05,ACQ_B,PM01,Renewal,2183,328,101,227,1956,0.896,1956,30781.77,2433.71
2024-05,ACQ_B,PM01,Token pack,477,45,0,45,432,0.9057,432,20245.68,1344.34
2024-05,ACQ_B,PM02,Chargeback,0,0,0,0,0,,20,-563.28,500.0
2024-05,ACQ_B,PM02,Initial (new + win-back),1357,220,0,220,1137,0.8379,1137,34676.13,2421.67
2024-05,ACQ_B,PM02,Refund,0,0,0,0,0,,56,-1932.7,0.0
2024-05,ACQ_B,PM02,Renewal,1120,158,59,99,1021,0.9116,1021,16290.33,1283.72
2024-05,ACQ_B,PM02,Token pack,191,18,0,18,173,0.9058,173,7738.27,516.2
2024-05,ACQ_B,PM03,Chargeback,0,0,0,0,0,,1,-12.99,25.0
2024-05,ACQ_B,PM03,Initial (new + win-back),115,19,0,19,96,0.8348,96,2898.12,202.69
2024-05,ACQ_B,PM03,Refund,0,0,0,0,0,,6,-153.81,0.0
2024-05,ACQ_B,PM03,Renewal,119,17,7,10,109,0.916,109,1576.68,127.3
2024-05,ACQ_B,PM03,Token pack,17,2,0,2,15,0.8824,15,529.85,36.29
2024-05,CRYPTO_GW,PM04,Initial (new + win-back),218,9,0,9,209,0.9587,209,7504.5,112.57
2024-05,CRYPTO_GW,PM04,Refund,0,0,0,0,0,,7,-169.23,0.0
2024-05,CRYPTO_GW,PM04,Renewal,154,0,0,0,154,1.0,154,2505.47,37.58
2024-05,CRYPTO_GW,PM04,Token pack,44,1,0,1,43,0.9773,43,2248.65,33.73
2024-05,CRYPTO_GW,PM05,Initial (new + win-back),141,6,0,6,135,0.9574,135,4915.04,73.73
2024-05,CRYPTO_GW,PM05,Refund,0,0,0,0,0,,8,-246.21,0.0
2024-05,CRYPTO_GW,PM05,Renewal,97,0,0,0,97,1.0,97,1825.09,27.38
2024-05,CRYPTO_GW,PM05,Token pack,34,1,0,1,33,0.9706,33,1326.26,19.89
2024-05,CRYPTO_GW,PM06,Initial (new + win-back),221,9,0,9,212,0.9593,212,7337.85,110.07
2024-05,CRYPTO_GW,PM06,Refund,0,0,0,0,0,,13,-390.0,0.0
2024-05,CRYPTO_GW,PM06,Renewal,153,0,0,0,153,1.0,153,2611.44,39.17
2024-05,CRYPTO_GW,PM06,Token pack,29,1,0,1,28,0.9655,28,1927.55,28.91
2024-05,CRYPTO_GW,PM07,Initial (new + win-back),61,2,0,2,59,0.9672,59,2175.92,32.64
2024-05,CRYPTO_GW,PM07,Refund,0,0,0,0,0,,2,-91.74,0.0
2024-05,CRYPTO_GW,PM07,Renewal,45,0,0,0,45,1.0,45,846.27,12.69
2024-05,CRYPTO_GW,PM07,Token pack,9,0,0,0,9,1.0,9,427.55,6.41
2024-06,ACQ_A,PM01,Chargeback,0,0,0,0,0,,25,-478.84,625.0
2024-06,ACQ_A,PM01,Initial (new + win-back),1447,209,0,209,1238,0.8556,1238,39629.41,2612.92
2024-06,ACQ_A,PM01,Refund,0,0,0,0,0,,47,-1788.12,0.0
2024-06,ACQ_A,PM01,Renewal,1420,194,70,124,1296,0.9127,1296,22559.07,1694.35
2024-06,ACQ_A,PM01,Token pack,316,28,0,28,288,0.9114,288,12795.65,804.56
2024-06,ACQ_A,PM02,Chargeback,0,0,0,0,0,,11,-238.86,275.0
2024-06,ACQ_A,PM02,Initial (new + win-back),750,114,0,114,636,0.848,636,20246.22,1336.14
2024-06,ACQ_A,PM02,Refund,0,0,0,0,0,,35,-1020.72,0.0
2024-06,ACQ_A,PM02,Renewal,781,77,28,49,732,0.9373,732,12721.01,955.86
2024-06,ACQ_A,PM02,Token pack,182,17,0,17,165,0.9066,165,7999.33,497.71
2024-06,ACQ_A,PM03,Chargeback,0,0,0,0,0,,1,-14.04,25.0
2024-06,ACQ_A,PM03,Initial (new + win-back),74,10,0,10,64,0.8649,64,1881.33,125.87
2024-06,ACQ_A,PM03,Refund,0,0,0,0,0,,2,-46.22,0.0
2024-06,ACQ_A,PM03,Renewal,64,8,2,6,58,0.9062,58,996.57,75.11
2024-06,ACQ_A,PM03,Token pack,18,1,0,1,17,0.9444,17,1181.46,70.93
2024-06,ACQ_B,PM01,Chargeback,0,0,0,0,0,,52,-987.99,1300.0
2024-06,ACQ_B,PM01,Initial (new + win-back),2686,424,0,424,2262,0.8421,2262,64613.46,4555.41
2024-06,ACQ_B,PM01,Refund,0,0,0,0,0,,77,-1813.95,0.0
2024-06,ACQ_B,PM01,Renewal,2423,349,117,232,2191,0.9043,2191,34192.08,2708.82
2024-06,ACQ_B,PM01,Token pack,488,45,0,45,443,0.9078,443,17110.57,1159.53
2024-06,ACQ_B,PM02,Chargeback,0,0,0,0,0,,26,-842.82,650.0
2024-06,ACQ_B,PM02,Initial (new + win-back),1423,221,0,221,1202,0.8447,1202,35452.56,2487.75
2024-06,ACQ_B,PM02,Refund,0,0,0,0,0,,46,-1607.08,0.0
2024-06,ACQ_B,PM02,Renewal,1240,193,54,139,1101,0.8879,1101,17508.36,1380.8
2024-06,ACQ_B,PM02,Token pack,221,22,0,22,199,0.9005,199,7553.01,512.88
2024-06,ACQ_B,PM03,Chargeback,0,0,0,0,0,,2,-25.98,50.0
2024-06,ACQ_B,PM03,Initial (new + win-back),142,22,0,22,120,0.8451,120,3723.99,259.44
2024-06,ACQ_B,PM03,Refund,0,0,0,0,0,,4,-68.94,0.0
2024-06,ACQ_B,PM03,Renewal,131,21,6,15,116,0.8855,116,1667.61,134.86
2024-06,ACQ_B,PM03,Token pack,27,3,0,3,24,0.8889,24,1759.76,112.79
2024-06,CRYPTO_GW,PM04,Initial (new + win-back),247,10,0,10,237,0.9595,237,8476.4,127.15
2024-06,CRYPTO_GW,PM04,Refund,0,0,0,0,0,,11,-455.31,0.0
2024-06,CRYPTO_GW,PM04,Renewal,174,0,0,0,174,1.0,174,2826.54,42.4
2024-06,CRYPTO_GW,PM04,Token pack,49,1,0,1,48,0.9796,48,1755.48,26.33
2024-06,CRYPTO_GW,PM05,Initial (new + win-back),132,5,0,5,127,0.9621,127,5175.2,77.63
2024-06,CRYPTO_GW,PM05,Refund,0,0,0,0,0,,10,-408.61,0.0
2024-06,CRYPTO_GW,PM05,Renewal,102,0,0,0,102,1.0,102,1767.33,26.51
2024-06,CRYPTO_GW,PM05,Token pack,31,1,0,1,30,0.9677,30,988.11,14.82
2024-06,CRYPTO_GW,PM06,Initial (new + win-back),254,11,0,11,243,0.9567,243,9498.9,142.48
2024-06,CRYPTO_GW,PM06,Refund,0,0,0,0,0,,10,-493.21,0.0
2024-06,CRYPTO_GW,PM06,Renewal,174,0,0,0,174,1.0,174,2860.74,42.91
2024-06,CRYPTO_GW,PM06,Token pack,44,1,0,1,43,0.9773,43,1721.63,25.82
2024-06,CRYPTO_GW,PM07,Initial (new + win-back),72,3,0,3,69,0.9583,69,3011.13,45.17
2024-06,CRYPTO_GW,PM07,Refund,0,0,0,0,0,,3,-120.3,0.0
2024-06,CRYPTO_GW,PM07,Renewal,44,0,0,0,44,1.0,44,771.13,11.57
2024-06,CRYPTO_GW,PM07,Token pack,16,0,0,0,16,1.0,16,738.95,11.08
2024-07,ACQ_A,PM01,Chargeback,0,0,0,0,0,,24,-561.18,600.0
2024-07,ACQ_A,PM01,Initial (new + win-back),1619,212,0,212,1407,0.8691,1407,47765.28,3119.54
2024-07,ACQ_A,PM01,Refund,0,0,0,0,0,,62,-1924.16,0.0
2024-07,ACQ_A,PM01,Renewal,1584,199,62,137,1447,0.9135,1447,26439.07,1960.6
2024-07,ACQ_A,PM01,Token pack,344,27,0,27,317,0.9215,317,15560.71,966.79
2024-07,ACQ_A,PM02,Chargeback,0,0,0,0,0,,15,-251.27,375.0
2024-07,ACQ_A,PM02,Initial (new + win-back),893,131,0,131,762,0.8533,762,25872.72,1689.7
2024-07,ACQ_A,PM02,Refund,0,0,0,0,0,,43,-1325.44,0.0
2024-07,ACQ_A,PM02,Renewal,879,102,32,70,809,0.9204,809,14802.0,1097.26
2024-07,ACQ_A,PM02,Token pack,175,15,0,15,160,0.9143,160,8326.77,513.97
2024-07,ACQ_A,PM03,Initial (new + win-back),92,13,0,13,79,0.8587,79,2702.07,176.26
2024-07,ACQ_A,PM03,Refund,0,0,0,0,0,,4,-58.95,0.0
2024-07,ACQ_A,PM03,Renewal,73,8,2,6,67,0.9178,67,1146.64,86.51
2024-07,ACQ_A,PM03,Token pack,29,2,0,2,27,0.931,27,1252.15,78.32
2024-07,ACQ_B,PM01,Chargeback,0,0,0,0,0,,51,-1269.45,1275.0
2024-07,ACQ_B,PM01,Initial (new + win-back),3226,584,0,584,2642,0.819,2642,80278.44,5609.31
2024-07,ACQ_B,PM01,Refund,0,0,0,0,0,,114,-3536.81,0.0
2024-07,ACQ_B,PM01,Renewal,2679,378,117,261,2418,0.9026,2418,38689.62,3046.78
2024-07,ACQ_B,PM01,Token pack,563,53,0,53,510,0.9059,510,21939.9,1469.39
2024-07,ACQ_B,PM02,Chargeback,0,0,0,0,0,,33,-800.07,825.0
