month,active_subscribers_eom,new_subscribers,reactivated_subscribers,churned_subscribers,voluntary_churn_subs,involuntary_churn_subs,monthly_churn_rate,mrr_eom_usd,net_new_mrr_usd,arr_eom_usd,subscription_revenue_usd,token_revenue_usd,refunds_chargebacks_usd,net_revenue_usd,token_share_of_revenue,subscription_billings_usd,deferred_revenue_eom_usd,gross_profit_usd,gross_margin,total_opex_usd,ebitda_usd,ebitda_margin,acquisition_spend_usd,blended_cac_usd,paid_cac_usd,arpu_usd,token_buyers,token_attach_rate,token_arppu_usd,annual_plan_share_of_actives,free_signups,signup_to_paid_cvr,m1_retention_prior_cohort,gpu_cost_usd,gpu_cost_per_active_sub_usd,gpu_cost_pct_revenue,free_tier_compute_cost_usd,chat_messages_m,images_generated_k,videos_generated_k,support_tickets,tickets_per_1k_subs,sla_met_rate,avg_csat,renewal_approval_rate,card_chargeback_ratio,headcount_eom,annualised_revenue_per_fte_usd
2024-11,40084.0,9175.0,952.0,5555.0,4233.0,832.0,0.1564,335301.95,33750.14,4023623.4,340218.0345,133659.9124,-6918.3526,466959.5943,0.2821,468320.32,797787.74,253026.6135,0.5419,439568.189,-186541.5756,-0.3995,175622.04,19.1414,24.4324,12.3541,2483.0,0.0657,53.83,0.4919,326162.0,0.0281,0.6979,118830.37,3.1438,0.2545,63045.49,79.5369,1170.632,68.233,2277.0,60.2413,0.6847,3.7228,0.9183,0.0069,29.0,193224.6597
2024-12,43285.0,8832.0,643.0,6274.0,4820.0,912.0,0.1565,358349.51,23047.5,4300194.12,363770.4745,151369.1448,-7351.7129,507787.9064,0.2938,439446.72,864675.73,264915.6246,0.5217,441189.5119,-176273.8874,-0.3471,173817.24,19.6804,24.1578,12.1817,2672.0,0.0641,56.6501,0.4989,310593.0,0.0284,0.7057,144299.96,3.4617,0.2842,73486.81,91.9164,1154.891,122.044,2549.0,61.1498,0.696,3.7163,0.9172,0.0088,29.0,210119.1337
2025-01,45971.0,8876.0,724.0,6914.0,5338.0,997.0,0.1597,376724.99,18375.75,4520699.88,383075.8165,139866.912,-7813.2829,515129.4456,0.2675,451780.25,924771.37,267030.5614,0.5184,458082.1248,-191051.5634,-0.3709,175078.1,19.7249,25.0237,11.5427,2716.0,0.0609,51.4974,0.5042,307593.0,0.0289,0.6907,148799.17,3.3342,0.2889,71589.34,91.8871,1132.977,147.141,2698.0,60.4553,0.7576,3.7726,0.9156,0.0084,30.0,206051.7782
2025-02,48878.0,8873.0,1229.0,7195.0,5558.0,1057.0,0.1565,399888.78,23163.71,4798665.36,405339.3736,170635.1408,-8016.1765,567958.3379,0.2963,494843.18,1004062.05,310702.4661,0.5471,471247.0877,-160544.6216,-0.2827,173773.43,19.5845,24.8418,11.9761,3184.0,0.0671,53.5914,0.5109,303421.0,0.0292,0.6915,148868.65,3.1391,0.2621,67044.15,86.7871,1266.976,164.708,2627.0,55.3933,0.7503,3.735,0.9171,0.0073,30.0,227183.3352
2025-03,51757.0,9185.0,955.0,7261.0,5475.0,1145.0,0.1486,431991.64,32102.88,5183899.68,435860.3366,171360.5728,-10418.8728,596802.0366,0.2822,503718.76,1063692.96,320399.679,0.5369,517483.4606,-197083.7817,-0.3302,185667.17,20.2142,25.5161,11.8607,3240.0,0.0644,52.8891,0.5181,316341.0,0.029,0.6987,164723.06,3.2737,0.276,75764.42,99.5469,1310.121,170.317,2914.0,57.9123,0.9019,3.9128,0.914,0.0082,35.0,204617.8411
2025-04,55407.0,9929.0,1148.0,7427.0,5656.0,1172.0,0.1435,459290.75,27299.16,5511489.0,460010.3152,193027.805,-9221.9746,643816.1455,0.2956,554929.21,1149418.14,362995.5102,0.5638,530513.0835,-167517.5733,-0.2602,198096.59,19.9513,25.7465,12.0155,3486.0,0.0651,55.3723,0.5376,335912.0,0.0296,0.6974,160255.19,2.9908,0.2489,74462.84,99.3172,1419.924,184.587,3004.0,56.0636,0.8808,3.8787,0.9162,0.0082,35.0,220736.9642
2025-05,59079.0,10165.0,1160.0,7653.0,5983.0,1170.0,0.1381,490407.05,31116.31,5884884.6,491612.7831,209774.3871,-8108.9023,693278.2679,0.2991,566836.81,1215931.74,399980.1288,0.5769,548064.1165,-148083.9877,-0.2136,202909.39,19.9616,25.4182,12.1111,3646.0,0.0637,57.5355,0.5488,336902.0,0.0302,0.7476,169962.1,2.9691,0.2452,80727.93,108.3966,1526.886,198.494,3251.0,56.793,0.8847,3.8752,0.9186,0.0035,36.0,231092.756
2025-06,62740.0,10187.0,1155.0,7681.0,5897.0,1282.0,0.13,500897.95,10490.86,6010775.4,500626.1721,230308.0866,-8277.4586,722656.8001,0.3151,576014.57,1282802.33,441740.9656,0.6113,551695.4994,-109954.5337,-0.1522,201248.08,19.7554,25.7147,11.8644,3968.0,0.0651,58.0414,0.5797,339182.0,0.03,0.7369,152181.63,2.4985,0.2106,65971.9,107.7233,1640.68,213.289,3172.0,52.0773,0.912,3.9219,0.9151,0.0034,36.0,240885.6
2025-07,68110.0,11915.0,1499.0,8044.0,6164.0,1303.0,0.1282,523493.39,22595.39,6281920.68,523428.0376,251246.5764,-8446.1139,766228.5001,0.3243,648771.45,1397581.77,459502.8638,0.5997,589053.6523,-129550.7885,-0.1691,231669.72,19.4435,25.6464,11.7116,4299.0,0.0657,58.443,0.6033,391433.0,0.0304,0.7582,168284.57,2.5722,0.2196,72622.79,121.4489,1772.777,230.46,3828.0,58.5097,0.8506,3.9036,0.9126,0.0038,36.0,255409.5
2025-08,74310.0,12531.0,1518.0,7849.0,5954.0,1248.0,0.1152,551275.12,27781.78,6615301.44,552674.7963,273118.6843,-9810.5833,815982.8973,0.3307,672982.54,1507118.8,490061.3641,0.6006,625774.3952,-135713.031,-0.1663,242229.66,19.3304,26.0638,11.4588,4794.0,0.0673,56.9709,0.6208,401795.0,0.0312,0.7801,179982.51,2.5275,0.2206,73614.86,128.9407,1923.421,250.04,4122.0,57.8851,0.8278,3.8936,0.9188,0.0037,38.0,257678.8097
2025-09,80576.0,12143.0,1997.0,7874.0,5914.0,1333.0,0.106,581517.38,30242.36,6978208.56,582183.4659,296939.5899,-10702.5195,868420.5363,0.3378,681017.88,1594403.7,496517.737,0.5717,623511.0681,-126993.3311,-0.1462,239296.99,19.7066,26.5434,11.2137,5167.0,0.0667,57.4685,0.6366,393530.0,0.0309,0.7901,189855.04,2.4515,0.2186,76602.34,133.7757,2093.462,272.15,4299.0,55.5118,0.8967,3.8847,0.9159,0.0033,38.0,274238.0641
2025-10,87657.0,13284.0,2271.0,8474.0,6418.0,1354.0,0.1052,616974.01,35456.56,7403688.12,619621.8401,314919.3664,-11136.6563,923404.5502,0.337,743729.34,1705747.24,524031.786,0.5675,656717.291,-132685.505,-0.1437,256016.55,19.2725,26.3079,10.9777,5518.0,0.0656,57.0713,0.6452,420298.0,0.0316,0.7863,203168.03,2.4153,0.22,78280.33,142.6348,2255.294,293.189,4761.0,56.6001,0.8912,3.9249,0.9197,0.0036,39.0,284124.477
2025-11,98845.0,16480.0,4295.0,9587.0,7227.0,1607.0,0.1094,680031.75,63057.74,8160381.0,684071.0256,381304.4555,-12833.6628,1052541.8183,0.3579,967877.99,1973531.29,638859.2123,0.607,724397.5539,-85538.3416,-0.0813,312232.09,18.9461,27.1963,11.2872,6823.0,0.0732,55.8852,0.65,491707.0,0.0335,0.7854,184375.96,1.9772,0.1752,57534.67,131.6677,2594.883,337.336,5349.0,57.3613,0.8418,3.8592,0.9133,0.0029,39.0,323859.021
2025-12,106890.0,15390.0,2670.0,10015.0,7532.0,1693.0,0.1013,722883.58,42851.96,8674602.96,726149.8106,430391.2922,-13078.7127,1143462.3901,0.3721,872952.38,2105938.91,730475.3052,0.6388,714472.6568,16002.6484,0.014,290920.05,18.9032,27.251,11.1159,7549.0,0.0734,57.013,0.659,460417.0,0.0334,0.7947,174868.86,1.6999,0.1529,51023.16,141.0742,2885.647,375.138,5698.0,55.3916,0.8636,3.8686,0.9139,0.0033,41.0,334671.919
2026-01,115221.0,15804.0,3165.0,10638.0,7991.0,1820.0,0.0995,765327.23,42443.59,9183926.76,769133.4367,407467.2869,-13266.8531,1163333.8706,0.3463,912395.86,2234099.71,738999.8066,0.6352,760877.5197,-21877.713,-0.0188,322680.82,20.4177,29.8021,10.4752,7256.0,0.0653,56.1559,0.6676,460417.0,0.0343,0.7891,179969.32,1.6205,0.1547,49131.23,145.839,2951.39,383.683,5928.0,53.3787,0.9313,3.9364,0.9116,0.0037,41.0,340487.9621
2026-02,123833.0,15968.0,3566.0,10922.0,8559.0,1547.0,0.0948,809155.83,43828.55,9709869.96,812747.9323,492845.2778,-14093.1725,1291500.0376,0.3775,989561.52,2395501.13,865384.4772,0.6701,774923.0326,90461.4446,0.07,327043.77,20.4812,30.2488,10.8051,8735.0,0.0731,56.4219,0.677,467538.0,0.0342,0.7918,161773.65,1.3534,0.1253,41400.63,138.6375,3327.792,432.616,6060.0,50.6998,0.8863,3.8687,0.9308,0.0033,42.0,369000.0107
2026-03,131704.0,15714.0,2615.0,10458.0,8357.0,1316.0,0.0845,845067.33,35911.36,10140807.96,851844.1932,562042.351,-15729.3913,1398157.1529,0.3975,941633.01,2471726.33,917779.7619,0.6564,780462.9255,137316.8364,0.0982,315598.33,20.0839,29.375,10.9429,9937.0,0.0778,56.5606,0.6826,449015.0,0.035,0.8023,175545.97,1.3739,0.1256,45028.79,158.6083,3405.44,442.704,6599.0,51.6481,0.9209,3.9099,0.9429,0.0027,45.0,372841.9074
2026-04,139354.0,16169.0,2832.0,11351.0,9401.0,1133.0,0.0862,880796.19,35728.89,10569554.28,888913.9093,571353.8294,-15810.2133,1444457.5254,0.3913,1006842.36,2574439.0,951769.0187,0.6589,773941.5084,177827.5103,0.1231,289642.06,17.9134,27.0115,10.6579,10338.0,0.0763,55.2673,0.6883,456072.0,0.0355,0.795,178664.34,1.3183,0.1237,42808.08,158.9354,3542.011,460.464,7173.0,52.9259,0.912,3.9118,0.9541,0.003,47.0,368797.6661
2026-05,146173.0,15758.0,2628.0,11567.0,9565.0,1172.0,0.083,916740.33,35944.16,11000883.96,923694.8199,618818.7923,-16515.7132,1525997.899,0.4012,1001805.76,2638329.33,1007547.0082,0.6603,773541.7313,234005.2769,0.1533,283671.01,18.0017,26.6544,10.689,10816.0,0.0758,57.2133,0.6941,447235.0,0.0352,0.8023,191861.05,1.3439,0.1257,45783.71,171.3817,3782.046,491.659,7143.0,50.0338,0.9362,3.9368,0.955,0.0031,47.0,389616.4849
2026-06,153245.0,16455.0,2823.0,12206.0,10073.0,1258.0,0.0835,960969.1,44228.75,11531629.2,967277.294,647690.5627,-18879.3317,1596088.525,0.4011,1046677.15,2703247.25,1063409.7835,0.6663,794598.9942,268810.7893,0.1684,291671.59,17.7254,26.7212,10.6613,11582.0,0.0774,55.9222,0.6959,462724.0,0.0356,0.7967,194143.95,1.2968,0.1216,43532.0,169.6028,3943.706,512.679,7433.0,49.6497,0.9478,3.9221,0.9541,0.0027,48.0,399022.1313
2026-07,163096.0,19615.0,3576.0,13340.0,11081.0,1299.0,0.0871,1025252.46,64283.29,12303029.52,1030995.6258,711542.482,-18000.5019,1724537.6059,0.4083,1228240.46,2881788.19,1146929.1712,0.6651,853690.6671,293238.5041,0.17,339838.59,17.3254,26.8486,10.903,12512.0,0.0791,56.8688,0.695,547915.0,0.0358,0.7976,212049.67,1.3406,0.123,49266.23,187.5236,4237.811,550.916,8558.0,54.1062,0.8996,3.9164,0.9556,0.0022,48.0,431134.4015
2026-08,175203.0,21041.0,5100.0,14034.0,11654.0,1406.0,0.086,1099624.24,74371.93,13195490.88,1106928.4978,749729.3187,-20196.424,1836461.3926,0.4038,1353348.06,3110663.35,1225448.9558,0.6673,885655.22,339793.7358,0.185,362722.54,17.2388,26.8522,10.857,13290.0,0.0786,56.413,0.6941,591879.0,0.0355,0.804,224000.59,1.3243,0.122,49554.3,197.0416,4508.742,586.135,9276.0,54.8391,0.8884,3.8706,0.955,0.0023,48.0,459115.3481
