experiment_id,date,variant,metric,value
EXP01,2024-03-10,Treatment,m1_retained_subs,305.0
EXP01,2024-03-11,Control,paywall_viewers,5176.0
EXP01,2024-03-11,Control,paid_conversions,385.0
EXP01,2024-03-11,Control,m1_retained_subs,288.0
EXP01,2024-03-11,Treatment,paywall_viewers,5332.0
EXP01,2024-03-11,Treatment,paid_conversions,478.0
EXP01,2024-03-11,Treatment,m1_retained_subs,314.0
EXP01,2024-03-12,Control,paywall_viewers,5128.0
EXP01,2024-03-12,Control,paid_conversions,374.0
EXP01,2024-03-12,Control,m1_retained_subs,270.0
EXP01,2024-03-12,Treatment,paywall_viewers,5335.0
EXP01,2024-03-12,Treatment,paid_conversions,425.0
EXP01,2024-03-12,Treatment,m1_retained_subs,303.0
EXP01,2024-03-13,Control,paywall_viewers,5160.0
EXP01,2024-03-13,Control,paid_conversions,415.0
EXP01,2024-03-13,Control,m1_retained_subs,306.0
EXP01,2024-03-13,Treatment,paywall_viewers,5166.0
EXP01,2024-03-13,Treatment,paid_conversions,401.0
EXP01,2024-03-13,Treatment,m1_retained_subs,267.0
EXP01,2024-03-14,Control,paywall_viewers,5087.0
EXP01,2024-03-14,Control,paid_conversions,404.0
EXP01,2024-03-14,Control,m1_retained_subs,283.0
EXP01,2024-03-14,Treatment,paywall_viewers,5328.0
EXP01,2024-03-14,Treatment,paid_conversions,415.0
EXP01,2024-03-14,Treatment,m1_retained_subs,289.0
EXP01,2024-03-15,Control,paywall_viewers,5291.0
EXP01,2024-03-15,Control,paid_conversions,414.0
EXP01,2024-03-15,Control,m1_retained_subs,289.0
EXP01,2024-03-15,Treatment,paywall_viewers,5121.0
EXP01,2024-03-15,Treatment,paid_conversions,457.0
EXP01,2024-03-15,Treatment,m1_retained_subs,325.0
EXP01,2024-03-16,Control,paywall_viewers,5265.0
EXP01,2024-03-16,Control,paid_conversions,383.0
EXP01,2024-03-16,Control,m1_retained_subs,275.0
EXP01,2024-03-16,Treatment,paywall_viewers,5206.0
EXP01,2024-03-16,Treatment,paid_conversions,395.0
EXP01,2024-03-16,Treatment,m1_retained_subs,259.0
EXP01,2024-03-17,Control,paywall_viewers,5128.0
EXP01,2024-03-17,Control,paid_conversions,418.0
EXP01,2024-03-17,Control,m1_retained_subs,302.0
EXP01,2024-03-17,Treatment,paywall_viewers,5144.0
EXP01,2024-03-17,Treatment,paid_conversions,428.0
EXP01,2024-03-17,Treatment,m1_retained_subs,285.0
EXP01,2024-03-18,Control,paywall_viewers,5103.0
EXP01,2024-03-18,Control,paid_conversions,390.0
EXP01,2024-03-18,Control,m1_retained_subs,260.0
EXP01,2024-03-18,Treatment,paywall_viewers,5225.0
EXP01,2024-03-18,Treatment,paid_conversions,478.0
EXP01,2024-03-18,Treatment,m1_retained_subs,312.0
EXP01,2024-03-19,Control,paywall_viewers,5143.0
EXP01,2024-03-19,Control,paid_conversions,404.0
EXP01,2024-03-19,Control,m1_retained_subs,286.0
EXP01,2024-03-19,Treatment,paywall_viewers,5118.0
EXP01,2024-03-19,Treatment,paid_conversions,440.0
EXP01,2024-03-19,Treatment,m1_retained_subs,297.0
EXP01,2024-03-20,Control,paywall_viewers,5312.0
EXP01,2024-03-20,Control,paid_conversions,388.0
EXP01,2024-03-20,Control,m1_retained_subs,272.0
EXP01,2024-03-20,Treatment,paywall_viewers,5232.0
EXP01,2024-03-20,Treatment,paid_conversions,417.0
EXP01,2024-03-20,Treatment,m1_retained_subs,283.0
EXP01,2024-03-21,Control,paywall_viewers,5172.0
EXP01,2024-03-21,Control,paid_conversions,411.0
EXP01,2024-03-21,Control,m1_retained_subs,302.0
EXP01,2024-03-21,Treatment,paywall_viewers,5292.0
EXP01,2024-03-21,Treatment,paid_conversions,421.0
EXP01,2024-03-21,Treatment,m1_retained_subs,297.0
EXP01,2024-03-22,Control,paywall_viewers,5172.0
EXP01,2024-03-22,Control,paid_conversions,404.0
EXP01,2024-03-22,Control,m1_retained_subs,272.0
EXP01,2024-03-22,Treatment,paywall_viewers,5180.0
EXP01,2024-03-22,Treatment,paid_conversions,452.0
EXP01,2024-03-22,Treatment,m1_retained_subs,317.0
EXP01,2024-03-23,Control,paywall_viewers,5113.0
EXP01,2024-03-23,Control,paid_conversions,368.0
EXP01,2024-03-23,Control,m1_retained_subs,275.0
EXP01,2024-03-23,Treatment,paywall_viewers,5182.0
EXP01,2024-03-23,Treatment,paid_conversions,470.0
EXP01,2024-03-23,Treatment,m1_retained_subs,322.0
EXP01,2024-03-24,Control,paywall_viewers,5305.0
EXP01,2024-03-24,Control,paid_conversions,421.0
EXP01,2024-03-24,Control,m1_retained_subs,301.0
EXP01,2024-03-24,Treatment,paywall_viewers,5133.0
EXP01,2024-03-24,Treatment,paid_conversions,472.0
EXP01,2024-03-24,Treatment,m1_retained_subs,318.0
EXP01,2024-03-25,Control,paywall_viewers,5263.0
EXP01,2024-03-25,Control,paid_conversions,381.0
EXP01,2024-03-25,Control,m1_retained_subs,266.0
EXP01,2024-03-25,Treatment,paywall_viewers,5306.0
EXP01,2024-03-25,Treatment,paid_conversions,412.0
EXP01,2024-03-25,Treatment,m1_retained_subs,288.0
EXP01,2024-03-26,Control,paywall_viewers,5170.0
EXP01,2024-03-26,Control,paid_conversions,387.0
EXP01,2024-03-26,Control,m1_retained_subs,270.0
EXP01,2024-03-26,Treatment,paywall_viewers,5199.0
EXP01,2024-03-26,Treatment,paid_conversions,419.0
EXP01,2024-03-26,Treatment,m1_retained_subs,290.0
EXP01,2024-03-27,Control,paywall_viewers,5173.0
EXP01,2024-03-27,Control,paid_conversions,400.0
EXP01,2024-03-27,Control,m1_retained_subs,293.0
EXP01,2024-03-27,Treatment,paywall_viewers,5251.0
EXP01,2024-03-27,Treatment,paid_conversions,443.0
EXP01,2024-03-27,Treatment,m1_retained_subs,311.0
EXP01,2024-03-28,Control,paywall_viewers,5156.0
EXP01,2024-03-28,Control,paid_conversions,412.0
EXP01,2024-03-28,Control,m1_retained_subs,290.0
EXP01,2024-03-28,Treatment,paywall_viewers,5204.0
EXP01,2024-03-28,Treatment,paid_conversions,460.0
EXP01,2024-03-28,Treatment,m1_retained_subs,313.0
EXP01,2024-03-29,Control,paywall_viewers,5114.0
EXP01,2024-03-29,Control,paid_conversions,408.0
EXP01,2024-03-29,Control,m1_retained_subs,278.0
EXP01,2024-03-29,Treatment,paywall_viewers,5219.0
EXP01,2024-03-29,Treatment,paid_conversions,440.0
EXP01,2024-03-29,Treatment,m1_retained_subs,313.0
EXP01,2024-03-30,Control,paywall_viewers,5152.0
EXP01,2024-03-30,Control,paid_conversions,381.0
EXP01,2024-03-30,Control,m1_retained_subs,264.0
EXP01,2024-03-30,Treatment,paywall_viewers,5193.0
EXP01,2024-03-30,Treatment,paid_conversions,451.0
EXP01,2024-03-30,Treatment,m1_retained_subs,285.0
EXP01,2024-03-31,Control,paywall_viewers,5270.0
EXP01,2024-03-31,Control,paid_conversions,422.0
EXP01,2024-03-31,Control,m1_retained_subs,279.0
EXP01,2024-03-31,Treatment,paywall_viewers,5231.0
EXP01,2024-03-31,Treatment,paid_conversions,458.0
EXP01,2024-03-31,Treatment,m1_retained_subs,316.0
EXP02,2024-09-02,Control,token_store_visitors,2336.0
EXP02,2024-09-02,Control,token_buyers,463.0
EXP02,2024-09-02,Control,token_revenue_usd,11189.04
EXP02,2024-09-02,Treatment,token_store_visitors,2403.0
EXP02,2024-09-02,Treatment,token_buyers,496.0
EXP02,2024-09-02,Treatment,token_revenue_usd,13385.98
EXP02,2024-09-03,Control,token_store_visitors,2361.0
EXP02,2024-09-03,Control,token_buyers,494.0
EXP02,2024-09-03,Control,token_revenue_usd,11944.06
EXP02,2024-09-03,Treatment,token_store_visitors,2444.0
EXP02,2024-09-03,Treatment,token_buyers,489.0
EXP02,2024-09-03,Treatment,token_revenue_usd,12796.94
EXP02,2024-09-04,Control,token_store_visitors,2432.0
EXP02,2024-09-04,Control,token_buyers,537.0
EXP02,2024-09-04,Control,token_revenue_usd,12067.95
EXP02,2024-09-04,Treatment,token_store_visitors,2421.0
EXP02,2024-09-04,Treatment,token_buyers,522.0
EXP02,2024-09-04,Treatment,token_revenue_usd,14150.02
EXP02,2024-09-05,Control,token_store_visitors,2339.0
EXP02,2024-09-05,Control,token_buyers,468.0
EXP02,2024-09-05,Control,token_revenue_usd,11452.45
EXP02,2024-09-05,Treatment,token_store_visitors,2357.0
EXP02,2024-09-05,Treatment,token_buyers,454.0
EXP02,2024-09-05,Treatment,token_revenue_usd,12724.39
EXP02,2024-09-06,Control,token_store_visitors,2359.0
EXP02,2024-09-06,Control,token_buyers,491.0
EXP02,2024-09-06,Control,token_revenue_usd,11424.97
EXP02,2024-09-06,Treatment,token_store_visitors,2317.0
EXP02,2024-09-06,Treatment,token_buyers,480.0
EXP02,2024-09-06,Treatment,token_revenue_usd,13672.08
EXP02,2024-09-07,Control,token_store_visitors,2385.0
EXP02,2024-09-07,Control,token_buyers,495.0
EXP02,2024-09-07,Control,token_revenue_usd,11396.95
EXP02,2024-09-07,Treatment,token_store_visitors,2323.0
EXP02,2024-09-07,Treatment,token_buyers,488.0
EXP02,2024-09-07,Treatment,token_revenue_usd,12920.35
EXP02,2024-09-08,Control,token_store_visitors,2370.0
EXP02,2024-09-08,Control,token_buyers,529.0
EXP02,2024-09-08,Control,token_revenue_usd,12268.71
EXP02,2024-09-08,Treatment,token_store_visitors,2497.0
EXP02,2024-09-08,Treatment,token_buyers,502.0
EXP02,2024-09-08,Treatment,token_revenue_usd,14183.04
EXP02,2024-09-09,Control,token_store_visitors,2359.0
EXP02,2024-09-09,Control,token_buyers,457.0
EXP02,2024-09-09,Control,token_revenue_usd,10228.42
EXP02,2024-09-09,Treatment,token_store_visitors,2376.0
EXP02,2024-09-09,Treatment,token_buyers,486.0
EXP02,2024-09-09,Treatment,token_revenue_usd,13187.31
EXP02,2024-09-10,Control,token_store_visitors,2453.0
EXP02,2024-09-10,Control,token_buyers,514.0
EXP02,2024-09-10,Control,token_revenue_usd,12117.48
EXP02,2024-09-10,Treatment,token_store_visitors,2402.0
EXP02,2024-09-10,Treatment,token_buyers,475.0
EXP02,2024-09-10,Treatment,token_revenue_usd,12996.4
EXP02,2024-09-11,Control,token_store_visitors,2349.0
EXP02,2024-09-11,Control,token_buyers,506.0
EXP02,2024-09-11,Control,token_revenue_usd,12133.14
EXP02,2024-09-11,Treatment,token_store_visitors,2388.0
EXP02,2024-09-11,Treatment,token_buyers,496.0
EXP02,2024-09-11,Treatment,token_revenue_usd,12466.43
EXP02,2024-09-12,Control,token_store_visitors,2515.0
EXP02,2024-09-12,Control,token_buyers,526.0
EXP02,2024-09-12,Control,token_revenue_usd,11185.58
EXP02,2024-09-12,Treatment,token_store_visitors,2304.0
EXP02,2024-09-12,Treatment,token_buyers,486.0
EXP02,2024-09-12,Treatment,token_revenue_usd,13008.69
EXP02,2024-09-13,Control,token_store_visitors,2534.0
EXP02,2024-09-13,Control,token_buyers,518.0
EXP02,2024-09-13,Control,token_revenue_usd,11641.7
EXP02,2024-09-13,Treatment,token_store_visitors,2511.0
EXP02,2024-09-13,Treatment,token_buyers,526.0
EXP02,2024-09-13,Treatment,token_revenue_usd,13473.5
EXP02,2024-09-14,Control,token_store_visitors,2361.0
EXP02,2024-09-14,Control,token_buyers,524.0
EXP02,2024-09-14,Control,token_revenue_usd,11778.4
EXP02,2024-09-14,Treatment,token_store_visitors,2347.0
EXP02,2024-09-14,Treatment,token_buyers,472.0
EXP02,2024-09-14,Treatment,token_revenue_usd,12484.08
EXP02,2024-09-15,Control,token_store_visitors,2479.0
EXP02,2024-09-15,Control,token_buyers,546.0
EXP02,2024-09-15,Control,token_revenue_usd,12134.65
EXP02,2024-09-15,Treatment,token_store_visitors,2432.0
EXP02,2024-09-15,Treatment,token_buyers,496.0
EXP02,2024-09-15,Treatment,token_revenue_usd,13685.71
EXP02,2024-09-16,Control,token_store_visitors,2407.0
EXP02,2024-09-16,Control,token_buyers,492.0
EXP02,2024-09-16,Control,token_revenue_usd,11268.04
EXP02,2024-09-16,Treatment,token_store_visitors,2425.0
EXP02,2024-09-16,Treatment,token_buyers,472.0
EXP02,2024-09-16,Treatment,token_revenue_usd,12172.25
EXP02,2024-09-17,Control,token_store_visitors,2354.0
EXP02,2024-09-17,Control,token_buyers,489.0
EXP02,2024-09-17,Control,token_revenue_usd,11460.95
EXP02,2024-09-17,Treatment,token_store_visitors,2465.0
EXP02,2024-09-17,Treatment,token_buyers,501.0
EXP02,2024-09-17,Treatment,token_revenue_usd,12861.65
EXP02,2024-09-18,Control,token_store_visitors,2491.0
EXP02,2024-09-18,Control,token_buyers,529.0
EXP02,2024-09-18,Control,token_revenue_usd,12251.07
EXP02,2024-09-18,Treatment,token_store_visitors,2339.0
EXP02,2024-09-18,Treatment,token_buyers,474.0
EXP02,2024-09-18,Treatment,token_revenue_usd,13025.47
EXP02,2024-09-19,Control,token_store_visitors,2392.0
EXP02,2024-09-19,Control,token_buyers,462.0
EXP02,2024-09-19,Control,token_revenue_usd,10940.46
EXP02,2024-09-19,Treatment,token_store_visitors,2327.0
EXP02,2024-09-19,Treatment,token_buyers,485.0
EXP02,2024-09-19,Treatment,token_revenue_usd,13282.86
EXP02,2024-09-20,Control,token_store_visitors,2446.0
EXP02,2024-09-20,Control,token_buyers,547.0
EXP02,2024-09-20,Control,token_revenue_usd,12978.07
EXP02,2024-09-20,Treatment,token_store_visitors,2443.0
EXP02,2024-09-20,Treatment,token_buyers,482.0
EXP02,2024-09-20,Treatment,token_revenue_usd,12024.07
EXP02,2024-09-21,Control,token_store_visitors,2387.0
EXP02,2024-09-21,Control,token_buyers,494.0
EXP02,2024-09-21,Control,token_revenue_usd,11583.51
EXP02,2024-09-21,Treatment,token_store_visitors,2351.0
EXP02,2024-09-21,Treatment,token_buyers,450.0
EXP02,2024-09-21,Treatment,token_revenue_usd,11076.34
EXP02,2024-09-22,Control,token_store_visitors,2435.0
EXP02,2024-09-22,Control,token_buyers,502.0
EXP02,2024-09-22,Control,token_revenue_usd,11713.6
EXP02,2024-09-22,Treatment,token_store_visitors,2334.0
EXP02,2024-09-22,Treatment,token_buyers,447.0
EXP02,2024-09-22,Treatment,token_revenue_usd,11765.68
EXP02,2024-09-23,Control,token_store_visitors,2332.0
EXP02,2024-09-23,Control,token_buyers,515.0
EXP02,2024-09-23,Control,token_revenue_usd,12886.17
EXP02,2024-09-23,Treatment,token_store_visitors,2416.0
EXP02,2024-09-23,Treatment,token_buyers,489.0
EXP02,2024-09-23,Treatment,token_revenue_usd,13274.62
EXP02,2024-09-24,Control,token_store_visitors,2386.0
EXP02,2024-09-24,Control,token_buyers,500.0
EXP02,2024-09-24,Control,token_revenue_usd,11659.94
EXP02,2024-09-24,Treatment,token_store_visitors,2447.0
EXP02,2024-09-24,Treatment,token_buyers,481.0
EXP02,2024-09-24,Treatment,token_revenue_usd,11891.15
EXP02,2024-09-25,Control,token_store_visitors,2345.0
EXP02,2024-09-25,Control,token_buyers,471.0
EXP02,2024-09-25,Control,token_revenue_usd,11501.89
EXP02,2024-09-25,Treatment,token_store_visitors,2427.0
EXP02,2024-09-25,Treatment,token_buyers,514.0
EXP02,2024-09-25,Treatment,token_revenue_usd,14762.06
EXP02,2024-09-26,Control,token_store_visitors,2449.0
EXP02,2024-09-26,Control,token_buyers,524.0
EXP02,2024-09-26,Control,token_revenue_usd,12757.03
EXP02,2024-09-26,Treatment,token_store_visitors,2408.0
EXP02,2024-09-26,Treatment,token_buyers,495.0
EXP02,2024-09-26,Treatment,token_revenue_usd,13403.57
EXP02,2024-09-27,Control,token_store_visitors,2279.0
EXP02,2024-09-27,Control,token_buyers,497.0
EXP02,2024-09-27,Control,token_revenue_usd,11803.61
EXP02,2024-09-27,Treatment,token_store_visitors,2460.0
EXP02,2024-09-27,Treatment,token_buyers,483.0
EXP02,2024-09-27,Treatment,token_revenue_usd,12734.55
EXP02,2024-09-28,Control,token_store_visitors,2420.0
EXP02,2024-09-28,Control,token_buyers,520.0
EXP02,2024-09-28,Control,token_revenue_usd,11969.9
EXP02,2024-09-28,Treatment,token_store_visitors,2439.0
EXP02,2024-09-28,Treatment,token_buyers,499.0
EXP02,2024-09-28,Treatment,token_revenue_usd,14184.68
EXP02,2024-09-29,Control,token_store_visitors,2447.0
EXP02,2024-09-29,Control,token_buyers,502.0
EXP02,2024-09-29,Control,token_revenue_usd,10913.6
EXP02,2024-09-29,Treatment,token_store_visitors,2451.0
EXP02,2024-09-29,Treatment,token_buyers,482.0
EXP02,2024-09-29,Treatment,token_revenue_usd,14005.08
EXP03,2025-01-13,Control,paywall_viewers,7481.0
EXP03,2025-01-13,Control,paid_conversions,577.0
EXP03,2025-01-13,Control,first_payment_net_usd,10665.74
EXP03,2025-01-13,Treatment,paywall_viewers,7490.0
EXP03,2025-01-13,Treatment,paid_conversions,636.0
EXP03,2025-01-13,Treatment,first_payment_net_usd,12300.17
EXP03,2025-01-14,Control,paywall_viewers,7320.0
EXP03,2025-01-14,Control,paid_conversions,619.0
EXP03,2025-01-14,Control,first_payment_net_usd,10712.75
EXP03,2025-01-14,Treatment,paywall_viewers,7404.0
EXP03,2025-01-14,Treatment,paid_conversions,565.0
EXP03,2025-01-14,Treatment,first_payment_net_usd,10600.5
EXP03,2025-01-15,Control,paywall_viewers,7229.0
EXP03,2025-01-15,Control,paid_conversions,616.0
EXP03,2025-01-15,Control,first_payment_net_usd,10431.59
EXP03,2025-01-15,Treatment,paywall_viewers,7348.0
EXP03,2025-01-15,Treatment,paid_conversions,574.0
EXP03,2025-01-15,Treatment,first_payment_net_usd,10958.44
EXP03,2025-01-16,Control,paywall_viewers,7367.0
EXP03,2025-01-16,Control,paid_conversions,543.0
EXP03,2025-01-16,Control,first_payment_net_usd,9509.75
EXP03,2025-01-16,Treatment,paywall_viewers,7377.0
EXP03,2025-01-16,Treatment,paid_conversions,567.0
EXP03,2025-01-16,Treatment,first_payment_net_usd,10678.63
EXP03,2025-01-17,Control,paywall_viewers,7391.0
EXP03,2025-01-17,Control,paid_conversions,574.0
EXP03,2025-01-17,Control,first_payment_net_usd,10109.47
EXP03,2025-01-17,Treatment,paywall_viewers,7401.0
EXP03,2025-01-17,Treatment,paid_conversions,566.0
EXP03,2025-01-17,Treatment,first_payment_net_usd,10681.31
EXP03,2025-01-18,Control,paywall_viewers,7470.0
EXP03,2025-01-18,Control,paid_conversions,564.0
EXP03,2025-01-18,Control,first_payment_net_usd,10617.14
EXP03,2025-01-18,Treatment,paywall_viewers,7366.0
EXP03,2025-01-18,Treatment,paid_conversions,540.0
EXP03,2025-01-18,Treatment,first_payment_net_usd,9441.64
EXP03,2025-01-19,Control,paywall_viewers,7325.0
EXP03,2025-01-19,Control,paid_conversions,581.0
EXP03,2025-01-19,Control,first_payment_net_usd,10047.88
EXP03,2025-01-19,Treatment,paywall_viewers,7432.0
EXP03,2025-01-19,Treatment,paid_conversions,604.0
EXP03,2025-01-19,Treatment,first_payment_net_usd,11657.2
EXP03,2025-01-20,Control,paywall_viewers,7377.0
EXP03,2025-01-20,Control,paid_conversions,601.0
EXP03,2025-01-20,Control,first_payment_net_usd,10994.94
EXP03,2025-01-20,Treatment,paywall_viewers,7330.0
EXP03,2025-01-20,Treatment,paid_conversions,599.0
EXP03,2025-01-20,Treatment,first_payment_net_usd,11565.37
EXP03,2025-01-21,Control,paywall_viewers,7442.0
EXP03,2025-01-21,Control,paid_conversions,598.0
EXP03,2025-01-21,Control,first_payment_net_usd,10108.27
EXP03,2025-01-21,Treatment,paywall_viewers,7378.0
EXP03,2025-01-21,Treatment,paid_conversions,555.0
EXP03,2025-01-21,Treatment,first_payment_net_usd,10016.68
EXP03,2025-01-22,Control,paywall_viewers,7364.0
EXP03,2025-01-22,Control,paid_conversions,609.0
EXP03,2025-01-22,Control,first_payment_net_usd,10012.23
EXP03,2025-01-22,Treatment,paywall_viewers,7401.0
EXP03,2025-01-22,Treatment,paid_conversions,570.0
EXP03,2025-01-22,Treatment,first_payment_net_usd,10481.1
EXP03,2025-01-23,Control,paywall_viewers,7535.0
EXP03,2025-01-23,Control,paid_conversions,584.0
EXP03,2025-01-23,Control,first_payment_net_usd,10682.35
EXP03,2025-01-23,Treatment,paywall_viewers,7495.0
EXP03,2025-01-23,Treatment,paid_conversions,579.0
EXP03,2025-01-23,Treatment,first_payment_net_usd,10826.55
EXP03,2025-01-24,Control,paywall_viewers,7450.0
EXP03,2025-01-24,Control,paid_conversions,571.0
EXP03,2025-01-24,Control,first_payment_net_usd,10568.71
EXP03,2025-01-24,Treatment,paywall_viewers,7423.0
EXP03,2025-01-24,Treatment,paid_conversions,583.0
EXP03,2025-01-24,Treatment,first_payment_net_usd,11185.43
EXP03,2025-01-25,Control,paywall_viewers,7313.0
EXP03,2025-01-25,Control,paid_conversions,544.0
EXP03,2025-01-25,Control,first_payment_net_usd,9858.27
EXP03,2025-01-25,Treatment,paywall_viewers,7409.0
EXP03,2025-01-25,Treatment,paid_conversions,571.0
EXP03,2025-01-25,Treatment,first_payment_net_usd,10787.22
EXP03,2025-01-26,Control,paywall_viewers,7506.0
EXP03,2025-01-26,Control,paid_conversions,596.0
EXP03,2025-01-26,Control,first_payment_net_usd,11064.5
EXP03,2025-01-26,Treatment,paywall_viewers,7540.0
EXP03,2025-01-26,Treatment,paid_conversions,574.0
EXP03,2025-01-26,Treatment,first_payment_net_usd,11373.58
EXP03,2025-01-27,Control,paywall_viewers,7367.0
EXP03,2025-01-27,Control,paid_conversions,595.0
EXP03,2025-01-27,Control,first_payment_net_usd,10721.16
EXP03,2025-01-27,Treatment,paywall_viewers,7467.0
EXP03,2025-01-27,Treatment,paid_conversions,587.0
EXP03,2025-01-27,Treatment,first_payment_net_usd,10771.86
EXP03,2025-01-28,Control,paywall_viewers,7278.0
EXP03,2025-01-28,Control,paid_conversions,603.0
EXP03,2025-01-28,Control,first_payment_net_usd,10811.52
EXP03,2025-01-28,Treatment,paywall_viewers,7407.0
EXP03,2025-01-28,Treatment,paid_conversions,570.0
EXP03,2025-01-28,Treatment,first_payment_net_usd,10899.07
EXP03,2025-01-29,Control,paywall_viewers,7426.0
EXP03,2025-01-29,Control,paid_conversions,613.0
EXP03,2025-01-29,Control,first_payment_net_usd,11045.38
EXP03,2025-01-29,Treatment,paywall_viewers,7509.0
EXP03,2025-01-29,Treatment,paid_conversions,613.0
EXP03,2025-01-29,Treatment,first_payment_net_usd,11704.67
EXP03,2025-01-30,Control,paywall_viewers,7337.0
EXP03,2025-01-30,Control,paid_conversions,573.0
EXP03,2025-01-30,Control,first_payment_net_usd,10463.06
EXP03,2025-01-30,Treatment,paywall_viewers,7388.0
EXP03,2025-01-30,Treatment,paid_conversions,591.0
EXP03,2025-01-30,Treatment,first_payment_net_usd,11227.69
EXP03,2025-01-31,Control,paywall_viewers,7413.0
EXP03,2025-01-31,Control,paid_conversions,608.0
EXP03,2025-01-31,Control,first_payment_net_usd,10729.9
EXP03,2025-01-31,Treatment,paywall_viewers,7486.0
EXP03,2025-01-31,Treatment,paid_conversions,541.0
EXP03,2025-01-31,Treatment,first_payment_net_usd,10059.27
EXP03,2025-02-01,Control,paywall_viewers,7318.0
EXP03,2025-02-01,Control,paid_conversions,540.0
EXP03,2025-02-01,Control,first_payment_net_usd,9842.72
EXP03,2025-02-01,Treatment,paywall_viewers,7520.0
EXP03,2025-02-01,Treatment,paid_conversions,569.0
EXP03,2025-02-01,Treatment,first_payment_net_usd,11511.18
EXP03,2025-02-02,Control,paywall_viewers,7640.0
EXP03,2025-02-02,Control,paid_conversions,611.0
EXP03,2025-02-02,Control,first_payment_net_usd,10670.89
EXP03,2025-02-02,Treatment,paywall_viewers,7382.0
EXP03,2025-02-02,Treatment,paid_conversions,619.0
EXP03,2025-02-02,Treatment,first_payment_net_usd,11720.69
EXP03,2025-02-03,Control,paywall_viewers,7262.0
EXP03,2025-02-03,Control,paid_conversions,587.0
EXP03,2025-02-03,Control,first_payment_net_usd,10113.31
EXP03,2025-02-03,Treatment,paywall_viewers,7401.0
EXP03,2025-02-03,Treatment,paid_conversions,575.0
EXP03,2025-02-03,Treatment,first_payment_net_usd,10855.84
EXP03,2025-02-04,Control,paywall_viewers,7479.0
EXP03,2025-02-04,Control,paid_conversions,596.0
EXP03,2025-02-04,Control,first_payment_net_usd,10228.08
EXP03,2025-02-04,Treatment,paywall_viewers,7383.0
EXP03,2025-02-04,Treatment,paid_conversions,577.0
EXP03,2025-02-04,Treatment,first_payment_net_usd,10949.53
EXP03,2025-02-05,Control,paywall_viewers,7459.0
EXP03,2025-02-05,Control,paid_conversions,628.0
EXP03,2025-02-05,Control,first_payment_net_usd,10511.91
EXP03,2025-02-05,Treatment,paywall_viewers,7455.0
EXP03,2025-02-05,Treatment,paid_conversions,578.0
EXP03,2025-02-05,Treatment,first_payment_net_usd,11183.59
EXP03,2025-02-06,Control,paywall_viewers,7312.0
EXP03,2025-02-06,Control,paid_conversions,601.0
EXP03,2025-02-06,Control,first_payment_net_usd,11168.77
EXP03,2025-02-06,Treatment,paywall_viewers,7329.0
EXP03,2025-02-06,Treatment,paid_conversions,583.0
EXP03,2025-02-06,Treatment,first_payment_net_usd,11091.54
EXP03,2025-02-07,Control,paywall_viewers,7424.0
EXP03,2025-02-07,Control,paid_conversions,573.0
EXP03,2025-02-07,Control,first_payment_net_usd,10530.96
