date,country_code,device,sessions,age_checks_started,age_checks_passed,free_signups,activated_users,paywall_viewers,checkout_starts,new_paid_subscribers
2024-01-01,IN,Desktop web,1194,0,0,82,51,25,9,5
2024-01-01,IN,Tablet web,130,0,0,11,7,6,0,0
2024-01-01,ROW,Mobile web,14158,0,0,979,578,374,20,12
2024-01-01,ROW,Desktop web,4699,0,0,370,240,150,10,5
2024-01-01,ROW,Tablet web,773,0,0,54,36,23,0,0
2024-01-02,US,Mobile web,16725,0,0,1584,944,577,83,49
2024-01-02,US,Desktop web,4998,0,0,581,337,204,38,23
2024-01-02,US,Tablet web,635,0,0,65,36,30,5,3
2024-01-02,GB,Mobile web,3247,0,0,394,239,138,15,8
2024-01-02,GB,Desktop web,1139,0,0,137,82,46,2,1
2024-01-02,GB,Tablet web,108,0,0,12,10,7,0,0
2024-01-02,DE,Mobile web,3771,0,0,363,213,132,23,14
2024-01-02,DE,Desktop web,994,0,0,122,63,38,7,4
2024-01-02,DE,Tablet web,144,0,0,15,10,4,2,1
2024-01-02,FR,Mobile web,1893,0,0,196,128,65,6,3
2024-01-02,FR,Desktop web,626,0,0,70,40,24,2,1
2024-01-02,FR,Tablet web,103,0,0,11,4,3,0,0
2024-01-02,CA,Mobile web,2366,0,0,241,143,89,12,7
2024-01-02,CA,Desktop web,663,0,0,76,48,29,5,3
2024-01-02,CA,Tablet web,81,0,0,8,4,3,0,0
2024-01-02,AU,Mobile web,1526,0,0,153,92,52,5,3
2024-01-02,AU,Desktop web,546,0,0,64,37,21,8,5
2024-01-02,AU,Tablet web,29,0,0,3,2,2,0,0
2024-01-02,NL,Mobile web,1150,0,0,115,67,38,9,5
2024-01-02,NL,Desktop web,315,0,0,36,19,14,3,2
2024-01-02,NL,Tablet web,19,0,0,2,1,0,0,0
2024-01-02,CH,Mobile web,778,0,0,76,47,29,3,2
2024-01-02,CH,Desktop web,236,0,0,29,12,8,2,1
2024-01-02,CH,Tablet web,19,0,0,2,1,1,2,1
2024-01-02,SE,Mobile web,830,0,0,81,43,32,3,2
2024-01-02,SE,Desktop web,187,0,0,19,11,9,0,0
2024-01-02,SE,Tablet web,27,0,0,3,2,1,0,0
2024-01-02,ES,Mobile web,1820,0,0,167,101,59,9,5
2024-01-02,ES,Desktop web,621,0,0,57,33,23,2,1
2024-01-02,ES,Tablet web,63,0,0,6,3,1,2,1
2024-01-02,IT,Mobile web,1729,0,0,145,92,46,3,2
2024-01-02,IT,Desktop web,506,0,0,59,33,22,0,0
2024-01-02,IT,Tablet web,41,0,0,4,2,1,4,2
2024-01-02,PL,Mobile web,997,0,0,87,54,35,6,3
2024-01-02,PL,Desktop web,445,0,0,45,30,20,0,0
2024-01-02,PL,Tablet web,33,0,0,3,1,1,2,1
2024-01-02,JP,Mobile web,900,0,0,88,62,28,4,2
2024-01-02,JP,Desktop web,379,0,0,38,29,10,5,3
2024-01-02,JP,Tablet web,43,0,0,4,1,3,0,0
2024-01-02,BR,Mobile web,4156,0,0,301,197,115,11,6
2024-01-02,BR,Desktop web,1148,0,0,100,53,31,3,2
2024-01-02,BR,Tablet web,145,0,0,11,11,7,0,0
2024-01-02,MX,Mobile web,3130,0,0,226,128,86,4,2
2024-01-02,MX,Desktop web,1164,0,0,90,55,38,2,1
2024-01-02,MX,Tablet web,111,0,0,8,4,3,0,0
2024-01-02,IN,Mobile web,2860,0,0,196,113,72,2,1
2024-01-02,IN,Desktop web,918,0,0,76,36,29,5,3
2024-01-02,IN,Tablet web,77,0,0,6,2,3,0,0
2024-01-02,ROW,Mobile web,11742,0,0,884,526,328,22,13
2024-01-02,ROW,Desktop web,4169,0,0,327,207,132,3,2
2024-01-02,ROW,Tablet web,530,0,0,37,24,15,0,0
2024-01-03,US,Mobile web,17374,0,0,1768,1068,633,102,57
2024-01-03,US,Desktop web,5306,0,0,635,384,213,49,26
2024-01-03,US,Tablet web,614,0,0,71,51,25,2,1
2024-01-03,GB,Mobile web,3706,0,0,374,211,133,12,7
2024-01-03,GB,Desktop web,1299,0,0,155,99,60,3,2
2024-01-03,GB,Tablet web,139,0,0,15,9,5,0,0
2024-01-03,DE,Mobile web,3933,0,0,382,249,125,17,10
2024-01-03,DE,Desktop web,1260,0,0,140,88,57,5,3
2024-01-03,DE,Tablet web,105,0,0,12,5,6,0,0
2024-01-03,FR,Mobile web,1915,0,0,209,116,71,8,5
2024-01-03,FR,Desktop web,679,0,0,79,49,28,5,3
2024-01-03,FR,Tablet web,102,0,0,11,9,6,0,0
2024-01-03,CA,Mobile web,2060,0,0,212,117,85,15,9
2024-01-03,CA,Desktop web,864,0,0,84,47,22,15,8
2024-01-03,CA,Tablet web,48,0,0,5,5,0,0,0
2024-01-03,AU,Mobile web,2421,0,0,218,133,62,14,8
2024-01-03,AU,Desktop web,523,0,0,68,42,16,5,3
2024-01-03,AU,Tablet web,40,0,0,4,2,0,0,0
2024-01-03,NL,Mobile web,922,0,0,96,55,31,10,5
2024-01-03,NL,Desktop web,431,0,0,49,31,16,3,2
2024-01-03,NL,Tablet web,87,0,0,9,3,3,0,0
2024-01-03,CH,Mobile web,757,0,0,71,37,22,8,5
2024-01-03,CH,Desktop web,209,0,0,24,18,7,3,2
2024-01-03,CH,Tablet web,27,0,0,3,2,3,0,0
2024-01-03,SE,Mobile web,759,0,0,77,37,40,6,4
2024-01-03,SE,Desktop web,230,0,0,25,15,13,0,0
2024-01-03,SE,Tablet web,26,0,0,3,2,0,0,0
2024-01-03,ES,Mobile web,2281,0,0,190,125,82,9,5
2024-01-03,ES,Desktop web,694,0,0,74,47,31,5,3
2024-01-03,ES,Tablet web,40,0,0,4,2,2,0,0
2024-01-03,IT,Mobile web,2058,0,0,193,111,72,5,3
2024-01-03,IT,Desktop web,683,0,0,71,42,22,4,2
2024-01-03,IT,Tablet web,93,0,0,9,3,4,0,0
2024-01-03,PL,Mobile web,1252,0,0,112,48,37,5,3
2024-01-03,PL,Desktop web,393,0,0,38,23,21,0,0
2024-01-03,PL,Tablet web,22,0,0,2,1,1,0,0
2024-01-03,JP,Mobile web,1104,0,0,98,67,43,7,4
2024-01-03,JP,Desktop web,160,0,0,16,10,6,5,3
2024-01-03,JP,Tablet web,31,0,0,3,1,2,0,0
2024-01-03,BR,Mobile web,4548,0,0,344,207,128,11,6
2024-01-03,BR,Desktop web,1575,0,0,132,79,48,2,1
2024-01-03,BR,Tablet web,172,0,0,13,6,6,2,1
2024-01-03,MX,Mobile web,4182,0,0,308,191,116,7,4
2024-01-03,MX,Desktop web,1194,0,0,104,61,38,2,1
2024-01-03,MX,Tablet web,301,0,0,22,13,10,0,0
2024-01-03,IN,Mobile web,2683,0,0,210,110,70,5,3
2024-01-03,IN,Desktop web,1002,0,0,88,48,31,2,1
2024-01-03,IN,Tablet web,80,0,0,6,4,4,3,2
2024-01-03,ROW,Mobile web,15891,0,0,1056,634,381,24,14
2024-01-03,ROW,Desktop web,4177,0,0,382,236,148,12,7
2024-01-03,ROW,Tablet web,665,0,0,50,30,19,2,1
2024-01-04,US,Mobile web,18702,0,0,1866,1132,692,93,56
2024-01-04,US,Desktop web,5531,0,0,670,423,254,29,16
2024-01-04,US,Tablet web,754,0,0,80,42,29,3,2
2024-01-04,GB,Mobile web,4174,0,0,404,246,138,17,10
2024-01-04,GB,Desktop web,1498,0,0,155,98,57,8,5
2024-01-04,GB,Tablet web,130,0,0,15,6,4,0,0
2024-01-04,DE,Mobile web,3355,0,0,374,222,131,25,15
2024-01-04,DE,Desktop web,1386,0,0,145,91,46,20,12
2024-01-04,DE,Tablet web,140,0,0,15,9,7,0,0
2024-01-04,FR,Mobile web,1988,0,0,210,123,82,14,8
2024-01-04,FR,Desktop web,618,0,0,73,46,28,8,5
2024-01-04,FR,Tablet web,70,0,0,7,5,3,2,1
2024-01-04,CA,Mobile web,2456,0,0,231,131,86,12,8
2024-01-04,CA,Desktop web,600,0,0,74,46,33,2,1
2024-01-04,CA,Tablet web,50,0,0,6,3,2,2,1
2024-01-04,AU,Mobile web,2009,0,0,196,116,68,14,7
2024-01-04,AU,Desktop web,575,0,0,67,44,24,4,2
2024-01-04,AU,Tablet web,10,0,0,1,0,1,2,1
2024-01-04,NL,Mobile web,970,0,0,101,62,38,5,3
2024-01-04,NL,Desktop web,334,0,0,42,26,17,0,0
2024-01-04,NL,Tablet web,40,0,0,4,1,2,0,0
2024-01-04,CH,Mobile web,682,0,0,64,35,17,0,0
2024-01-04,CH,Desktop web,242,0,0,24,11,7,3,2
2024-01-04,CH,Tablet web,19,0,0,2,1,2,0,0
2024-01-04,SE,Mobile web,892,0,0,85,51,30,5,3
2024-01-04,SE,Desktop web,201,0,0,23,11,8,0,0
2024-01-04,SE,Tablet web,10,0,0,1,1,1,0,0
2024-01-04,ES,Mobile web,1910,0,0,186,103,58,2,1
2024-01-04,ES,Desktop web,564,0,0,61,41,22,2,1
2024-01-04,ES,Tablet web,82,0,0,8,5,4,0,0
2024-01-04,IT,Mobile web,2109,0,0,190,119,72,3,2
2024-01-04,IT,Desktop web,802,0,0,78,45,24,2,1
2024-01-04,IT,Tablet web,91,0,0,9,7,4,0,0
2024-01-04,PL,Mobile web,1733,0,0,158,94,52,0,0
2024-01-04,PL,Desktop web,364,0,0,44,25,13,2,1
2024-01-04,PL,Tablet web,42,0,0,4,4,2,0,0
2024-01-04,JP,Mobile web,1193,0,0,95,61,44,7,4
2024-01-04,JP,Desktop web,391,0,0,44,31,19,2,1
2024-01-04,JP,Tablet web,32,0,0,3,1,2,0,0
2024-01-04,BR,Mobile web,4991,0,0,354,203,134,7,4
2024-01-04,BR,Desktop web,1355,0,0,108,77,43,4,2
2024-01-04,BR,Tablet web,301,0,0,21,12,8,0,0
2024-01-04,MX,Mobile web,4257,0,0,297,184,111,5,3
2024-01-04,MX,Desktop web,1250,0,0,100,59,40,5,3
2024-01-04,MX,Tablet web,93,0,0,7,3,1,0,0
2024-01-04,IN,Mobile web,2848,0,0,210,137,91,3,2
2024-01-04,IN,Desktop web,926,0,0,76,50,29,3,2
2024-01-04,IN,Tablet web,83,0,0,7,5,0,0,0
2024-01-04,ROW,Mobile web,14906,0,0,1036,636,386,14,8
2024-01-04,ROW,Desktop web,4121,0,0,355,198,126,4,2
2024-01-04,ROW,Tablet web,639,0,0,53,31,25,0,0
2024-01-05,US,Mobile web,15375,0,0,1635,968,583,91,55
2024-01-05,US,Desktop web,4825,0,0,558,329,229,47,28
2024-01-05,US,Tablet web,700,0,0,72,43,20,0,0
2024-01-05,GB,Mobile web,3749,0,0,387,243,137,11,7
2024-01-05,GB,Desktop web,1055,0,0,122,80,48,12,7
2024-01-05,GB,Tablet web,147,0,0,16,10,6,2,1
2024-01-05,DE,Mobile web,3840,0,0,355,208,129,19,11
2024-01-05,DE,Desktop web,1022,0,0,125,73,46,9,5
2024-01-05,DE,Tablet web,153,0,0,16,12,3,2,1
2024-01-05,FR,Mobile web,1781,0,0,203,115,80,3,2
2024-01-05,FR,Desktop web,642,0,0,77,43,30,5,3
2024-01-05,FR,Tablet web,82,0,0,8,6,0,0,0
2024-01-05,CA,Mobile web,1921,0,0,190,118,66,7,4
2024-01-05,CA,Desktop web,728,0,0,79,45,36,0,0
2024-01-05,CA,Tablet web,102,0,0,11,6,5,2,1
2024-01-05,AU,Mobile web,2013,0,0,195,117,68,5,3
2024-01-05,AU,Desktop web,507,0,0,59,38,20,7,4
2024-01-05,AU,Tablet web,39,0,0,4,4,2,0,0
2024-01-05,NL,Mobile web,1097,0,0,101,63,34,3,2
2024-01-05,NL,Desktop web,309,0,0,37,23,16,2,1
2024-01-05,NL,Tablet web,10,0,0,1,1,1,0,0
2024-01-05,CH,Mobile web,677,0,0,72,41,24,0,0
2024-01-05,CH,Desktop web,213,0,0,24,12,7,4,2
2024-01-05,CH,Tablet web,30,0,0,3,1,1,0,0
2024-01-05,SE,Mobile web,732,0,0,75,40,30,7,4
2024-01-05,SE,Desktop web,229,0,0,25,13,8,2,1
2024-01-05,SE,Tablet web,28,0,0,3,1,0,0,0
2024-01-05,ES,Mobile web,1899,0,0,176,103,66,8,5
2024-01-05,ES,Desktop web,620,0,0,63,40,26,4,2
2024-01-05,ES,Tablet web,11,0,0,1,0,1,0,0
2024-01-05,IT,Mobile web,1640,0,0,159,93,55,7,4
2024-01-05,IT,Desktop web,751,0,0,75,47,37,3,2
2024-01-05,IT,Tablet web,72,0,0,7,2,3,2,1
2024-01-05,PL,Mobile web,1072,0,0,98,58,39,3,2
2024-01-05,PL,Desktop web,472,0,0,48,29,15,0,0
2024-01-05,PL,Tablet web,45,0,0,4,3,1,0,0
2024-01-05,JP,Mobile web,823,0,0,77,46,26,8,5
2024-01-05,JP,Desktop web,305,0,0,32,19,13,0,0
2024-01-05,JP,Tablet web,33,0,0,3,2,1,0,0
2024-01-05,BR,Mobile web,4006,0,0,295,171,105,2,1
2024-01-05,BR,Desktop web,1422,0,0,117,77,41,2,1
2024-01-05,BR,Tablet web,119,0,0,8,2,3,0,0
2024-01-05,MX,Mobile web,3131,0,0,235,151,90,7,4
2024-01-05,MX,Desktop web,1098,0,0,92,57,29,5,3
2024-01-05,MX,Tablet web,169,0,0,13,9,3,5,3
2024-01-05,IN,Mobile web,3264,0,0,224,136,88,0,0
2024-01-05,IN,Desktop web,737,0,0,68,39,33,3,2
2024-01-05,IN,Tablet web,134,0,0,10,5,7,0,0
2024-01-05,ROW,Mobile web,13680,0,0,983,610,363,9,5
2024-01-05,ROW,Desktop web,4047,0,0,341,210,136,0,0
2024-01-05,ROW,Tablet web,542,0,0,38,20,11,0,0
2024-01-06,US,Mobile web,18391,0,0,1873,1107,690,78,43
2024-01-06,US,Desktop web,6177,0,0,664,378,221,36,21
2024-01-06,US,Tablet web,703,0,0,75,43,29,2,1
2024-01-06,GB,Mobile web,4490,0,0,392,234,132,14,8
2024-01-06,GB,Desktop web,1210,0,0,149,90,56,5,3
2024-01-06,GB,Tablet web,162,0,0,17,11,7,0,0
2024-01-06,DE,Mobile web,4221,0,0,412,252,173,15,8
2024-01-06,DE,Desktop web,1193,0,0,145,81,44,5,3
2024-01-06,DE,Tablet web,87,0,0,9,6,5,2,1
2024-01-06,FR,Mobile web,2291,0,0,233,137,91,13,7
2024-01-06,FR,Desktop web,639,0,0,75,46,18,8,5
2024-01-06,FR,Tablet web,47,0,0,5,2,1,0,0
2024-01-06,CA,Mobile web,2106,0,0,232,144,74,15,8
2024-01-06,CA,Desktop web,797,0,0,89,55,28,2,1
2024-01-06,CA,Tablet web,82,0,0,8,5,3,2,1
2024-01-06,AU,Mobile web,1699,0,0,169,98,72,7,4
2024-01-06,AU,Desktop web,681,0,0,80,52,23,11,6
2024-01-06,AU,Tablet web,67,0,0,7,4,5,2,1
2024-01-06,NL,Mobile web,1112,0,0,108,65,39,8,5
2024-01-06,NL,Desktop web,336,0,0,38,20,13,0,0
2024-01-06,NL,Tablet web,29,0,0,3,1,2,0,0
2024-01-06,CH,Mobile web,881,0,0,88,48,40,0,0
2024-01-06,CH,Desktop web,195,0,0,23,12,2,0,0
2024-01-06,CH,Tablet web,38,0,0,4,3,1,0,0
2024-01-06,SE,Mobile web,710,0,0,67,40,19,2,1
2024-01-06,SE,Desktop web,323,0,0,38,30,15,0,0
2024-01-06,SE,Tablet web,20,0,0,2,1,1,0,0
2024-01-06,ES,Mobile web,2281,0,0,199,110,64,7,4
2024-01-06,ES,Desktop web,727,0,0,79,27,39,0,0
2024-01-06,ES,Tablet web,70,0,0,7,4,1,2,1
2024-01-06,IT,Mobile web,2376,0,0,204,121,79,2,1
2024-01-06,IT,Desktop web,736,0,0,74,40,24,5,3
2024-01-06,IT,Tablet web,91,0,0,9,4,3,0,0
2024-01-06,PL,Mobile web,1527,0,0,137,78,44,0,0
2024-01-06,PL,Desktop web,548,0,0,61,39,19,3,2
2024-01-06,PL,Tablet web,42,0,0,4,2,2,0,0
2024-01-06,JP,Mobile web,919,0,0,85,52,25,9,5
2024-01-06,JP,Desktop web,280,0,0,28,15,8,0,0
2024-01-06,JP,Tablet web,41,0,0,4,2,0,0,0
2024-01-06,BR,Mobile web,4914,0,0,367,202,141,7,4
2024-01-06,BR,Desktop web,1522,0,0,134,88,49,2,1
2024-01-06,BR,Tablet web,212,0,0,16,8,6,0,0
2024-01-06,MX,Mobile web,3626,0,0,273,155,105,4,2
2024-01-06,MX,Desktop web,1246,0,0,114,64,34,2,1
2024-01-06,MX,Tablet web,176,0,0,13,7,2,2,1
2024-01-06,IN,Mobile web,2607,0,0,211,133,70,5,3
2024-01-06,IN,Desktop web,757,0,0,58,35,23,5,3
2024-01-06,IN,Tablet web,167,0,0,15,9,4,0,0
2024-01-06,ROW,Mobile web,15472,0,0,986,597,365,22,13
2024-01-06,ROW,Desktop web,4480,0,0,386,214,137,9,6
2024-01-06,ROW,Tablet web,534,0,0,38,23,14,0,0
2024-01-07,US,Mobile web,11891,0,0,1501,905,550,75,42
2024-01-07,US,Desktop web,4762,0,0,542,319,192,30,17
2024-01-07,US,Tablet web,499,0,0,48,31,16,2,1
2024-01-07,GB,Mobile web,3453,0,0,347,212,129,18,10
2024-01-07,GB,Desktop web,811,0,0,98,63,40,5,3
2024-01-07,GB,Tablet web,78,0,0,8,3,4,2,1
2024-01-07,DE,Mobile web,3484,0,0,342,207,120,14,9
2024-01-07,DE,Desktop web,1100,0,0,119,60,37,5,3
2024-01-07,DE,Tablet web,136,0,0,14,10,4,0,0
2024-01-07,FR,Mobile web,1902,0,0,183,104,65,15,9
2024-01-07,FR,Desktop web,486,0,0,59,34,25,0,0
2024-01-07,FR,Tablet web,78,0,0,9,6,4,0,0
2024-01-07,CA,Mobile web,2029,0,0,196,127,71,13,8
2024-01-07,CA,Desktop web,528,0,0,62,41,26,5,3
2024-01-07,CA,Tablet web,75,0,0,8,4,3,0,0
2024-01-07,AU,Mobile web,1625,0,0,152,93,41,10,6
2024-01-07,AU,Desktop web,467,0,0,60,35,22,0,0
2024-01-07,AU,Tablet web,20,0,0,2,1,1,0,0
2024-01-07,NL,Mobile web,1096,0,0,100,59,45,3,2
2024-01-07,NL,Desktop web,346,0,0,39,22,10,5,3
2024-01-07,NL,Tablet web,19,0,0,2,2,2,0,0
2024-01-07,CH,Mobile web,674,0,0,64,37,27,4,2
2024-01-07,CH,Desktop web,224,0,0,25,19,7,0,0
2024-01-07,CH,Tablet web,66,0,0,7,4,1,2,1
2024-01-07,SE,Mobile web,669,0,0,61,34,17,5,3
2024-01-07,SE,Desktop web,195,0,0,21,14,11,2,1
2024-01-07,SE,Tablet web,21,0,0,2,0,1,2,1
2024-01-07,ES,Mobile web,1670,0,0,147,85,47,12,7
2024-01-07,ES,Desktop web,514,0,0,60,38,23,2,1
2024-01-07,ES,Tablet web,47,0,0,5,3,1,0,0
2024-01-07,IT,Mobile web,2094,0,0,187,114,73,11,7
2024-01-07,IT,Desktop web,405,0,0,40,19,16,4,2
2024-01-07,IT,Tablet web,56,0,0,5,2,2,0,0
2024-01-07,PL,Mobile web,1181,0,0,105,62,44,5,3
2024-01-07,PL,Desktop web,372,0,0,38,24,13,0,0
2024-01-07,PL,Tablet web,18,0,0,2,1,0,2,1
2024-01-07,JP,Mobile web,834,0,0,79,41,25,0,0
2024-01-07,JP,Desktop web,260,0,0,29,19,12,2,1
2024-01-07,JP,Tablet web,11,0,0,1,1,1,0,0
2024-01-07,BR,Mobile web,3483,0,0,246,137,72,7,4
2024-01-07,BR,Desktop web,1196,0,0,94,57,35,3,2
2024-01-07,BR,Tablet web,251,0,0,17,13,7,2,1
2024-01-07,MX,Mobile web,2669,0,0,211,137,67,2,1
2024-01-07,MX,Desktop web,1137,0,0,89,61,29,0,0
2024-01-07,MX,Tablet web,113,0,0,9,4,3,0,0
2024-01-07,IN,Mobile web,2481,0,0,171,98,64,4,2
2024-01-07,IN,Desktop web,852,0,0,73,36,28,0,0
2024-01-07,IN,Tablet web,82,0,0,6,5,1,0,0
2024-01-07,ROW,Mobile web,11400,0,0,828,508,282,15,9
2024-01-07,ROW,Desktop web,3558,0,0,305,191,102,10,6
2024-01-07,ROW,Tablet web,507,0,0,39,26,14,2,1
2024-01-08,US,Mobile web,12350,0,0,1282,785,470,59,37
2024-01-08,US,Desktop web,4218,0,0,504,294,189,33,18
2024-01-08,US,Tablet web,537,0,0,54,29,12,4,2
2024-01-08,GB,Mobile web,2682,0,0,281,172,105,14,8
2024-01-08,GB,Desktop web,973,0,0,107,57,45,3,2
2024-01-08,GB,Tablet web,132,0,0,14,5,4,2,1
2024-01-08,DE,Mobile web,2625,0,0,254,163,104,12,7
2024-01-08,DE,Desktop web,742,0,0,89,50,30,5,3
2024-01-08,DE,Tablet web,96,0,0,11,6,5,0,0
2024-01-08,FR,Mobile web,1682,0,0,165,96,64,3,2
2024-01-08,FR,Desktop web,676,0,0,78,54,21,5,3
2024-01-08,FR,Tablet web,72,0,0,8,5,3,0,0
2024-01-08,CA,Mobile web,1760,0,0,164,91,59,5,3
2024-01-08,CA,Desktop web,464,0,0,54,35,22,2,1
2024-01-08,CA,Tablet web,100,0,0,10,5,6,0,0
2024-01-08,AU,Mobile web,1176,0,0,118,70,51,5,3
2024-01-08,AU,Desktop web,553,0,0,62,36,22,3,2
2024-01-08,AU,Tablet web,57,0,0,6,3,2,0,0
2024-01-08,NL,Mobile web,733,0,0,78,44,29,7,4
2024-01-08,NL,Desktop web,219,0,0,24,14,12,0,0
2024-01-08,NL,Tablet web,19,0,0,2,1,1,0,0
2024-01-08,CH,Mobile web,499,0,0,50,36,21,4,2
2024-01-08,CH,Desktop web,164,0,0,18,10,5,2,1
2024-01-08,CH,Tablet web,28,0,0,3,0,2,0,0
2024-01-08,SE,Mobile web,423,0,0,46,31,18,2,1
2024-01-08,SE,Desktop web,138,0,0,15,7,2,0,0
2024-01-08,SE,Tablet web,37,0,0,4,2,1,0,0
2024-01-08,ES,Mobile web,1324,0,0,120,76,38,0,0
2024-01-08,ES,Desktop web,413,0,0,45,27,14,6,3
2024-01-08,ES,Tablet web,41,0,0,4,3,2,0,0
2024-01-08,IT,Mobile web,1149,0,0,114,64,37,2,1
2024-01-08,IT,Desktop web,506,0,0,50,29,17,2,1
2024-01-08,IT,Tablet web,87,0,0,8,5,2,0,0
2024-01-08,PL,Mobile web,1106,0,0,95,54,39,5,3
2024-01-08,PL,Desktop web,235,0,0,26,18,8,2,1
2024-01-08,PL,Tablet web,71,0,0,7,5,2,0,0
2024-01-08,JP,Mobile web,757,0,0,72,39,31,0,0
2024-01-08,JP,Desktop web,275,0,0,30,15,11,0,0
2024-01-08,JP,Tablet web,32,0,0,3,0,0,0,0
2024-01-08,BR,Mobile web,2981,0,0,217,124,78,3,2
2024-01-08,BR,Desktop web,923,0,0,79,45,25,2,1
2024-01-08,BR,Tablet web,84,0,0,6,3,0,0,0
2024-01-08,MX,Mobile web,2670,0,0,171,100,65,7,4
2024-01-08,MX,Desktop web,727,0,0,70,44,24,0,0
2024-01-08,MX,Tablet web,136,0,0,11,6,4,0,0
2024-01-08,IN,Mobile web,2021,0,0,142,80,51,0,0
2024-01-08,IN,Desktop web,646,0,0,52,26,17,0,0
2024-01-08,IN,Tablet web,110,0,0,9,4,4,0,0
2024-01-08,ROW,Mobile web,10721,0,0,758,465,259,7,4
2024-01-08,ROW,Desktop web,3108,0,0,249,143,92,9,5
2024-01-08,ROW,Tablet web,324,0,0,25,15,9,0,0
2024-01-09,US,Mobile web,13575,0,0,1315,810,453,69,37
2024-01-09,US,Desktop web,4324,0,0,457,277,174,28,17
2024-01-09,US,Tablet web,469,0,0,51,30,18,3,2
2024-01-09,GB,Mobile web,3093,0,0,275,164,93,23,14
2024-01-09,GB,Desktop web,833,0,0,100,64,29,8,5
2024-01-09,GB,Tablet web,130,0,0,13,12,4,0,0
2024-01-09,DE,Mobile web,3091,0,0,271,169,109,18,10
2024-01-09,DE,Desktop web,1033,0,0,108,65,51,3,2
2024-01-09,DE,Tablet web,106,0,0,11,8,5,2,1
2024-01-09,FR,Mobile web,1488,0,0,144,83,61,9,5
2024-01-09,FR,Desktop web,480,0,0,57,37,21,4,2
2024-01-09,FR,Tablet web,39,0,0,4,4,2,4,2
2024-01-09,CA,Mobile web,1931,0,0,195,111,73,18,9
2024-01-09,CA,Desktop web,575,0,0,69,46,25,2,1
2024-01-09,CA,Tablet web,61,0,0,7,5,6,0,0
2024-01-09,AU,Mobile web,1241,0,0,118,64,43,0,0
2024-01-09,AU,Desktop web,475,0,0,57,35,25,4,2
2024-01-09,AU,Tablet web,38,0,0,4,2,1,0,0
2024-01-09,NL,Mobile web,1026,0,0,96,60,32,6,4
2024-01-09,NL,Desktop web,304,0,0,33,22,13,6,3
