month,department,cost_group,headcount_eom,hires,exits,fully_loaded_cost_usd
2026-04,Data & Analytics,R&D,3,0,0,19111.82
2026-05,Data & Analytics,R&D,3,0,0,18841.14
2026-06,Data & Analytics,R&D,3,0,0,19243.72
2026-07,Data & Analytics,R&D,3,0,0,19009.16
2026-08,Data & Analytics,R&D,3,0,0,18753.62
2024-01,Growth & Marketing,Sales & Marketing,2,0,0,10798.22
2024-02,Growth & Marketing,Sales & Marketing,2,1,1,10788.39
2024-03,Growth & Marketing,Sales & Marketing,2,0,0,11101.5
2024-04,Growth & Marketing,Sales & Marketing,2,0,0,11044.64
2024-05,Growth & Marketing,Sales & Marketing,3,1,0,16500.57
2024-06,Growth & Marketing,Sales & Marketing,3,0,0,16811.84
2024-07,Growth & Marketing,Sales & Marketing,3,0,0,16634.29
2024-08,Growth & Marketing,Sales & Marketing,3,0,0,16726.18
2024-09,Growth & Marketing,Sales & Marketing,3,0,0,16266.3
2024-10,Growth & Marketing,Sales & Marketing,3,0,0,16572.84
2024-11,Growth & Marketing,Sales & Marketing,4,1,0,22262.54
2024-12,Growth & Marketing,Sales & Marketing,4,0,0,21854.43
2025-01,Growth & Marketing,Sales & Marketing,4,0,0,23006.35
2025-02,Growth & Marketing,Sales & Marketing,4,0,0,22706.93
2025-03,Growth & Marketing,Sales & Marketing,4,0,0,23090.93
2025-04,Growth & Marketing,Sales & Marketing,4,0,0,22235.8
2025-05,Growth & Marketing,Sales & Marketing,4,0,0,22993.67
2025-06,Growth & Marketing,Sales & Marketing,4,0,0,22295.99
2025-07,Growth & Marketing,Sales & Marketing,4,0,0,22961.2
2025-08,Growth & Marketing,Sales & Marketing,5,1,0,28619.17
2025-09,Growth & Marketing,Sales & Marketing,5,0,0,27899.16
2025-10,Growth & Marketing,Sales & Marketing,5,0,0,28831.11
2025-11,Growth & Marketing,Sales & Marketing,5,0,0,28549.8
2025-12,Growth & Marketing,Sales & Marketing,5,0,0,28431.74
2026-01,Growth & Marketing,Sales & Marketing,5,0,0,28728.54
2026-02,Growth & Marketing,Sales & Marketing,5,0,0,28914.73
2026-03,Growth & Marketing,Sales & Marketing,5,0,0,28787.05
2026-04,Growth & Marketing,Sales & Marketing,6,1,0,34969.16
2026-05,Growth & Marketing,Sales & Marketing,6,0,0,34516.77
2026-06,Growth & Marketing,Sales & Marketing,6,0,0,35440.28
2026-07,Growth & Marketing,Sales & Marketing,6,0,0,35636.32
2026-08,Growth & Marketing,Sales & Marketing,6,0,0,35230.12
2024-01,Customer Support,Support & Trust,1,0,0,2955.77
2024-02,Customer Support,Support & Trust,1,0,0,2982.06
2024-03,Customer Support,Support & Trust,1,0,0,3010.92
2024-04,Customer Support,Support & Trust,1,0,0,3025.02
2024-05,Customer Support,Support & Trust,1,0,0,3023.51
2024-06,Customer Support,Support & Trust,2,1,0,6091.37
2024-07,Customer Support,Support & Trust,2,0,0,6105.23
2024-08,Customer Support,Support & Trust,2,0,0,5967.08
2024-09,Customer Support,Support & Trust,2,0,0,6024.32
2024-10,Customer Support,Support & Trust,2,0,0,5918.99
2024-11,Customer Support,Support & Trust,2,0,0,6022.31
2024-12,Customer Support,Support & Trust,2,0,0,6080.29
2025-01,Customer Support,Support & Trust,2,0,0,6261.74
2025-02,Customer Support,Support & Trust,2,0,0,6116.07
2025-03,Customer Support,Support & Trust,3,1,0,9399.35
2025-04,Customer Support,Support & Trust,3,0,0,9139.44
2025-05,Customer Support,Support & Trust,3,0,0,9089.77
2025-06,Customer Support,Support & Trust,3,0,0,9363.87
2025-07,Customer Support,Support & Trust,3,0,0,9397.46
2025-08,Customer Support,Support & Trust,3,0,0,9318.19
2025-09,Customer Support,Support & Trust,3,0,0,9332.46
2025-10,Customer Support,Support & Trust,3,0,0,9307.89
2025-11,Customer Support,Support & Trust,3,0,0,9361.43
2025-12,Customer Support,Support & Trust,3,0,0,9326.91
2026-01,Customer Support,Support & Trust,3,0,0,9619.87
2026-02,Customer Support,Support & Trust,3,0,0,9490.73
2026-03,Customer Support,Support & Trust,4,1,0,12832.53
2026-04,Customer Support,Support & Trust,4,0,0,12815.62
2026-05,Customer Support,Support & Trust,4,0,0,12906.34
2026-06,Customer Support,Support & Trust,4,0,0,12502.61
2026-07,Customer Support,Support & Trust,4,0,0,12594.01
2026-08,Customer Support,Support & Trust,4,1,1,12910.62
2024-01,Trust & Safety,Support & Trust,1,0,0,3137.69
2024-02,Trust & Safety,Support & Trust,1,0,0,3239.48
2024-03,Trust & Safety,Support & Trust,1,0,0,3258.79
2024-04,Trust & Safety,Support & Trust,1,0,0,3172.96
2024-05,Trust & Safety,Support & Trust,1,0,0,3243.15
2024-06,Trust & Safety,Support & Trust,2,1,0,6478.13
2024-07,Trust & Safety,Support & Trust,2,0,0,6464.96
2024-08,Trust & Safety,Support & Trust,2,0,0,6446.32
2024-09,Trust & Safety,Support & Trust,2,0,0,6517.83
2024-10,Trust & Safety,Support & Trust,2,0,0,6408.31
2024-11,Trust & Safety,Support & Trust,2,1,1,6339.95
2024-12,Trust & Safety,Support & Trust,2,0,0,6479.24
2025-01,Trust & Safety,Support & Trust,2,0,0,6526.15
2025-02,Trust & Safety,Support & Trust,2,0,0,6703.86
2025-03,Trust & Safety,Support & Trust,3,1,0,9897.01
2025-04,Trust & Safety,Support & Trust,3,0,0,9856.72
2025-05,Trust & Safety,Support & Trust,3,0,0,9891.98
2025-06,Trust & Safety,Support & Trust,3,0,0,10046.6
2025-07,Trust & Safety,Support & Trust,3,0,0,9935.78
2025-08,Trust & Safety,Support & Trust,3,0,0,9798.2
2025-09,Trust & Safety,Support & Trust,3,0,0,9920.23
2025-10,Trust & Safety,Support & Trust,3,0,0,9920.65
2025-11,Trust & Safety,Support & Trust,3,0,0,10077.27
2025-12,Trust & Safety,Support & Trust,3,0,0,9955.41
2026-01,Trust & Safety,Support & Trust,3,0,0,10294.74
2026-02,Trust & Safety,Support & Trust,3,0,0,10229.04
2026-03,Trust & Safety,Support & Trust,4,1,0,13564.92
2026-04,Trust & Safety,Support & Trust,4,0,0,13847.11
2026-05,Trust & Safety,Support & Trust,4,0,0,13736.49
2026-06,Trust & Safety,Support & Trust,4,0,0,13666.68
2026-07,Trust & Safety,Support & Trust,4,0,0,13612.97
2026-08,Trust & Safety,Support & Trust,4,0,0,13497.77
2024-01,Finance & Strategy,G&A,1,0,0,6403.61
2024-02,Finance & Strategy,G&A,1,0,0,6450.07
2024-03,Finance & Strategy,G&A,1,0,0,6434.54
2024-04,Finance & Strategy,G&A,1,0,0,6348.4
2024-05,Finance & Strategy,G&A,1,0,0,6377.94
2024-06,Finance & Strategy,G&A,1,0,0,6503.0
2024-07,Finance & Strategy,G&A,1,0,0,6368.86
2024-08,Finance & Strategy,G&A,2,1,0,12547.4
2024-09,Finance & Strategy,G&A,2,0,0,12620.33
2024-10,Finance & Strategy,G&A,2,0,0,12874.47
2024-11,Finance & Strategy,G&A,2,0,0,12888.2
2024-12,Finance & Strategy,G&A,2,0,0,12876.99
2025-01,Finance & Strategy,G&A,2,0,0,12984.33
2025-02,Finance & Strategy,G&A,2,0,0,13186.59
2025-03,Finance & Strategy,G&A,2,0,0,13325.38
2025-04,Finance & Strategy,G&A,2,0,0,13178.17
2025-05,Finance & Strategy,G&A,2,0,0,13435.41
2025-06,Finance & Strategy,G&A,2,0,0,13313.49
2025-07,Finance & Strategy,G&A,2,0,0,13405.66
2025-08,Finance & Strategy,G&A,2,0,0,13266.8
2025-09,Finance & Strategy,G&A,2,0,0,13406.97
2025-10,Finance & Strategy,G&A,2,0,0,13365.78
2025-11,Finance & Strategy,G&A,2,0,0,13272.29
2025-12,Finance & Strategy,G&A,3,1,0,19792.12
2026-01,Finance & Strategy,G&A,3,0,0,20302.26
2026-02,Finance & Strategy,G&A,3,0,0,20568.39
2026-03,Finance & Strategy,G&A,3,0,0,20188.55
2026-04,Finance & Strategy,G&A,3,0,0,19974.07
2026-05,Finance & Strategy,G&A,3,0,0,20075.5
2026-06,Finance & Strategy,G&A,3,0,0,20736.67
2026-07,Finance & Strategy,G&A,3,0,0,20542.81
2026-08,Finance & Strategy,G&A,3,0,0,20662.3
2024-01,"People, Legal & Admin",G&A,1,0,0,5026.96
2024-02,"People, Legal & Admin",G&A,1,0,0,5011.78
2024-03,"People, Legal & Admin",G&A,1,0,0,5050.54
2024-04,"People, Legal & Admin",G&A,1,0,0,5007.24
2024-05,"People, Legal & Admin",G&A,1,0,0,5056.35
2024-06,"People, Legal & Admin",G&A,1,0,0,5119.09
2024-07,"People, Legal & Admin",G&A,1,0,0,5125.77
2024-08,"People, Legal & Admin",G&A,1,0,0,5153.14
2024-09,"People, Legal & Admin",G&A,1,0,0,5193.87
2024-10,"People, Legal & Admin",G&A,1,0,0,5040.05
2024-11,"People, Legal & Admin",G&A,1,0,0,5126.49
2024-12,"People, Legal & Admin",G&A,1,0,0,5067.38
2025-01,"People, Legal & Admin",G&A,1,0,0,5178.64
2025-02,"People, Legal & Admin",G&A,1,0,0,5218.67
2025-03,"People, Legal & Admin",G&A,2,1,0,10507.31
2025-04,"People, Legal & Admin",G&A,2,0,0,10698.17
2025-05,"People, Legal & Admin",G&A,2,0,0,10711.52
2025-06,"People, Legal & Admin",G&A,2,0,0,10366.24
2025-07,"People, Legal & Admin",G&A,2,0,0,10416.36
2025-08,"People, Legal & Admin",G&A,2,0,0,10622.93
2025-09,"People, Legal & Admin",G&A,2,0,0,10480.04
2025-10,"People, Legal & Admin",G&A,2,0,0,10699.53
2025-11,"People, Legal & Admin",G&A,2,0,0,10301.14
2025-12,"People, Legal & Admin",G&A,2,0,0,10681.76
2026-01,"People, Legal & Admin",G&A,2,0,0,10921.08
2026-02,"People, Legal & Admin",G&A,2,0,0,10712.37
2026-03,"People, Legal & Admin",G&A,2,0,0,10972.46
2026-04,"People, Legal & Admin",G&A,2,0,0,10883.27
2026-05,"People, Legal & Admin",G&A,2,0,0,11014.09
2026-06,"People, Legal & Admin",G&A,2,0,0,10693.68
2026-07,"People, Legal & Admin",G&A,2,0,0,10863.95
2026-08,"People, Legal & Admin",G&A,2,0,0,10936.22
2024-01,Leadership,G&A,2,0,0,26023.85
2024-02,Leadership,G&A,2,0,0,25910.65
2024-03,Leadership,G&A,2,0,0,25691.68
2024-04,Leadership,G&A,2,0,0,25620.81
2024-05,Leadership,G&A,2,0,0,26303.51
2024-06,Leadership,G&A,2,0,0,25763.29
2024-07,Leadership,G&A,2,0,0,25734.65
2024-08,Leadership,G&A,2,0,0,26493.99
2024-09,Leadership,G&A,2,0,0,26114.97
2024-10,Leadership,G&A,2,0,0,26166.98
2024-11,Leadership,G&A,2,0,0,26135.87
2024-12,Leadership,G&A,2,0,0,26114.85
2025-01,Leadership,G&A,2,0,0,27294.86
2025-02,Leadership,G&A,2,0,0,27085.65
2025-03,Leadership,G&A,3,1,0,40412.64
2025-04,Leadership,G&A,3,0,0,40396.1
2025-05,Leadership,G&A,3,0,0,39478.37
2025-06,Leadership,G&A,3,0,0,40927.19
2025-07,Leadership,G&A,3,0,0,40911.45
2025-08,Leadership,G&A,3,0,0,40671.13
2025-09,Leadership,G&A,3,0,0,39719.74
2025-10,Leadership,G&A,3,0,0,40407.07
2025-11,Leadership,G&A,3,0,0,39683.48
2025-12,Leadership,G&A,3,0,0,40186.34
2026-01,Leadership,G&A,3,0,0,41427.73
2026-02,Leadership,G&A,3,0,0,40880.15
2026-03,Leadership,G&A,3,0,0,41613.02
2026-04,Leadership,G&A,3,0,0,40756.02
2026-05,Leadership,G&A,3,0,0,41204.22
2026-06,Leadership,G&A,3,0,0,41107.58
2026-07,Leadership,G&A,3,0,0,41708.16
2026-08,Leadership,G&A,3,0,0,41386.46
