date,feature_id,user_type,active_users,units,tokens_consumed,compute_cost_usd,content_cost_usd,p95_latency_ms,error_rate,cache_hit_rate
2024-04-16,F01,Premium,7292,319438,0,351.38,0.0,1831.0,0.0043,0.0
2024-04-17,F01,Premium,7866,314306,0,345.74,0.0,1702.0,0.0042,0.0
2024-04-18,F01,Premium,7748,321751,0,353.93,0.0,1871.0,0.0025,0.0
2024-04-19,F01,Premium,7948,341407,0,375.55,0.0,1654.0,0.0057,0.0
2024-04-20,F01,Premium,9478,352795,0,388.07,0.0,1787.0,0.0034,0.0
2024-04-21,F01,Premium,8154,333947,0,367.34,0.0,1792.0,0.0052,0.0
2024-04-22,F01,Premium,7214,323430,0,355.77,0.0,1761.0,0.0031,0.0
2024-04-23,F01,Premium,6908,303904,0,334.29,0.0,1966.0,0.0042,0.0
2024-04-24,F01,Premium,7787,328960,0,361.86,0.0,1582.0,0.0065,0.0
2024-04-25,F01,Premium,7824,324495,0,356.95,0.0,1856.0,0.0041,0.0
2024-04-26,F01,Premium,7887,315220,0,346.74,0.0,1821.0,0.005,0.0
2024-04-27,F01,Premium,7623,344086,0,378.49,0.0,1905.0,0.0038,0.0
2024-04-28,F01,Premium,8286,351733,0,386.91,0.0,1875.0,0.004,0.0
2024-04-29,F01,Premium,6968,315482,0,347.03,0.0,1726.0,0.0046,0.0
2024-04-30,F01,Premium,7150,315092,0,346.6,0.0,1802.0,0.0048,0.0
2024-05-01,F01,Premium,8757,354964,0,390.46,0.0,1829.0,0.0046,0.0
2024-05-02,F01,Premium,8461,367313,0,404.04,0.0,1963.0,0.0063,0.0
2024-05-03,F01,Premium,9203,382521,0,420.77,0.0,1885.0,0.0041,0.0
2024-05-04,F01,Premium,9773,407244,0,447.97,0.0,1811.0,0.0037,0.0
2024-05-05,F01,Premium,8926,385808,0,424.39,0.0,1893.0,0.0033,0.0
2024-05-06,F01,Premium,8334,360360,0,396.4,0.0,1699.0,0.0032,0.0
2024-05-07,F01,Premium,8124,342730,0,377.0,0.0,1908.0,0.0035,0.0
2024-05-08,F01,Premium,9112,384584,0,423.04,0.0,1834.0,0.0066,0.0
2024-05-09,F01,Premium,8903,360165,0,396.18,0.0,1702.0,0.0041,0.0
2024-05-10,F01,Premium,9020,397875,0,437.66,0.0,1906.0,0.0043,0.0
2024-05-11,F01,Premium,9576,386820,0,425.5,0.0,1924.0,0.0041,0.0
2024-05-12,F01,Premium,9322,385639,0,424.2,0.0,1780.0,0.005,0.0
2024-05-13,F01,Premium,8897,376464,0,414.11,0.0,1882.0,0.0046,0.0
2024-05-14,F01,Premium,9011,374244,0,411.67,0.0,1729.0,0.0041,0.0
2024-05-15,F01,Premium,8738,361710,0,397.88,0.0,1816.0,0.0062,0.0
2024-05-16,F01,Premium,9187,378790,0,416.67,0.0,2028.0,0.0028,0.0
2024-05-17,F01,Premium,8819,391244,0,430.37,0.0,1926.0,0.0038,0.0
2024-05-18,F01,Premium,9899,401846,0,442.03,0.0,1828.0,0.0047,0.0
2024-05-19,F01,Premium,9200,393914,0,433.31,0.0,1853.0,0.0029,0.0
2024-05-20,F01,Premium,8443,374430,0,411.87,0.0,1790.0,0.004,0.0
2024-05-21,F01,Premium,8342,352027,0,387.23,0.0,1714.0,0.0029,0.0
2024-05-22,F01,Premium,8028,358354,0,394.19,0.0,1730.0,0.0055,0.0
2024-05-23,F01,Premium,9133,372606,0,409.87,0.0,1835.0,0.004,0.0
2024-05-24,F01,Premium,8762,379603,0,417.56,0.0,1773.0,0.0021,0.0
2024-05-25,F01,Premium,9722,400965,0,441.06,0.0,1881.0,0.0037,0.0
2024-05-26,F01,Premium,9418,404222,0,444.64,0.0,2030.0,0.0035,0.0
2024-05-27,F01,Premium,8704,360912,0,397.0,0.0,1795.0,0.0047,0.0
2024-05-28,F01,Premium,9366,367998,0,404.8,0.0,1670.0,0.0028,0.0
2024-05-29,F01,Premium,7806,344302,0,378.73,0.0,2093.0,0.0031,0.0
2024-05-30,F01,Premium,9237,366248,0,402.87,0.0,1785.0,0.0032,0.0
2024-05-31,F01,Premium,7922,355054,0,390.56,0.0,1613.0,0.0044,0.0
2024-06-01,F01,Premium,10938,452448,0,497.69,0.0,1728.0,0.0033,0.0
2024-06-02,F01,Premium,10257,443533,0,487.89,0.0,1843.0,0.0041,0.0
2024-06-03,F01,Premium,9133,408502,0,449.35,0.0,1682.0,0.0035,0.0
2024-06-04,F01,Premium,8567,393740,0,433.11,0.0,1789.0,0.0033,0.0
2024-06-05,F01,Premium,10516,436580,0,480.24,0.0,1945.0,0.0036,0.0
2024-06-06,F01,Premium,10765,432717,0,475.99,0.0,1879.0,0.0054,0.0
2024-06-07,F01,Premium,10261,414213,0,455.63,0.0,1649.0,0.0043,0.0
2024-06-08,F01,Premium,10904,479475,0,527.42,0.0,1788.0,0.0034,0.0
2024-06-09,F01,Premium,10806,438488,0,482.34,0.0,1796.0,0.0062,0.0
2024-06-10,F01,Premium,9087,401142,0,441.26,0.0,1727.0,0.0036,0.0
2024-06-11,F01,Premium,9869,415646,0,457.21,0.0,1675.0,0.0037,0.0
2024-06-12,F01,Premium,9719,411888,0,453.08,0.0,1816.0,0.0032,0.0
2024-06-13,F01,Premium,9389,418477,0,460.32,0.0,1756.0,0.0029,0.0
2024-06-14,F01,Premium,9830,431637,0,474.8,0.0,1680.0,0.0044,0.0
2024-06-15,F01,Premium,10214,462058,0,508.26,0.0,1728.0,0.0032,0.0
2024-06-16,F01,Premium,10214,454710,0,500.18,0.0,1898.0,0.0046,0.0
2024-06-17,F01,Premium,10843,438353,0,482.19,0.0,1725.0,0.0067,0.0
2024-06-18,F01,Premium,10092,433542,0,476.9,0.0,1921.0,0.004,0.0
2024-06-19,F01,Premium,10653,423724,0,466.1,0.0,1816.0,0.0073,0.0
2024-06-20,F01,Premium,10066,424683,0,467.15,0.0,1853.0,0.0051,0.0
2024-06-21,F01,Premium,10194,434694,0,478.16,0.0,1839.0,0.0052,0.0
2024-06-22,F01,Premium,10239,443509,0,487.86,0.0,1866.0,0.0047,0.0
2024-06-23,F01,Premium,10892,471453,0,518.6,0.0,1953.0,0.0042,0.0
2024-06-24,F01,Premium,10378,424257,0,466.68,0.0,1836.0,0.0034,0.0
2024-06-25,F01,Premium,10134,434021,0,477.42,0.0,1732.0,0.0084,0.0
2024-06-26,F01,Premium,9829,413378,0,454.72,0.0,1792.0,0.0039,0.0
2024-06-27,F01,Premium,9439,413489,0,454.84,0.0,1818.0,0.0036,0.0
2024-06-28,F01,Premium,9803,406379,0,447.02,0.0,1932.0,0.0039,0.0
2024-06-29,F01,Premium,10546,422709,0,464.98,0.0,1712.0,0.0064,0.0
2024-06-30,F01,Premium,11246,471274,0,518.4,0.0,1803.0,0.0032,0.0
2024-07-01,F01,Premium,11901,490069,0,539.08,0.0,1985.0,0.0052,0.0
2024-07-02,F01,Premium,11043,470080,0,517.09,0.0,1989.0,0.0065,0.0
2024-07-03,F01,Premium,11949,496776,0,546.45,0.0,2047.0,0.0051,0.0
2024-07-04,F01,Premium,10661,470252,0,517.28,0.0,1908.0,0.006,0.0
2024-07-05,F01,Premium,11008,495463,0,545.01,0.0,2073.0,0.0045,0.0
2024-07-06,F01,Premium,12537,529317,0,582.25,0.0,1950.0,0.0051,0.0
2024-07-07,F01,Premium,12104,512149,0,563.36,0.0,1990.0,0.0031,0.0
2024-07-08,F01,Premium,11149,480762,0,528.84,0.0,2197.0,0.0058,0.0
2024-07-09,F01,Premium,11627,470222,0,517.24,0.0,2009.0,0.0034,0.0
2024-07-10,F01,Premium,10330,460119,0,506.13,0.0,2036.0,0.0037,0.0
2024-07-11,F01,Premium,11115,471882,0,519.07,0.0,1679.0,0.0041,0.0
2024-07-12,F01,Premium,11133,495443,0,544.99,0.0,1850.0,0.0041,0.0
2024-07-13,F01,Premium,10863,493954,0,543.35,0.0,1841.0,0.0055,0.0
2024-07-14,F01,Premium,12038,532672,0,585.94,0.0,1665.0,0.005,0.0
2024-07-15,F01,Premium,11640,473901,0,521.29,0.0,1820.0,0.0049,0.0
2024-07-16,F01,Premium,11295,441863,0,486.05,0.0,1663.0,0.0036,0.0
2024-07-17,F01,Premium,10709,458306,0,504.14,0.0,1783.0,0.0044,0.0
2024-07-18,F01,Premium,11040,476579,0,524.24,0.0,1818.0,0.0042,0.0
2024-07-19,F01,Premium,12078,476005,0,523.61,0.0,1843.0,0.0053,0.0
2024-07-20,F01,Premium,12398,527351,0,580.09,0.0,1801.0,0.004,0.0
2024-07-21,F01,Premium,11149,501493,0,551.64,0.0,1800.0,0.0032,0.0
2024-07-22,F01,Premium,12114,487425,0,536.17,0.0,1738.0,0.0041,0.0
2024-07-23,F01,Premium,11070,452737,0,498.01,0.0,1831.0,0.0046,0.0
2024-07-24,F01,Premium,11291,474899,0,522.39,0.0,1671.0,0.004,0.0
2024-07-25,F01,Premium,12088,489425,0,538.37,0.0,1690.0,0.0049,0.0
2024-07-26,F01,Premium,10562,470088,0,517.1,0.0,1845.0,0.0034,0.0
2024-07-27,F01,Premium,12975,525417,0,577.96,0.0,1762.0,0.0045,0.0
2024-07-28,F01,Premium,11470,484126,0,532.54,0.0,1664.0,0.0042,0.0
2024-07-29,F01,Premium,11409,481938,0,530.13,0.0,1849.0,0.0029,0.0
2024-07-30,F01,Premium,10628,462515,0,508.77,0.0,1762.0,0.0037,0.0
2024-07-31,F01,Premium,11271,470156,0,517.17,0.0,1954.0,0.0034,0.0
2024-08-01,F01,Premium,13452,545106,0,599.62,0.0,1803.0,0.0029,0.0
2024-08-02,F01,Premium,12826,552931,0,608.22,0.0,1817.0,0.0038,0.0
2024-08-03,F01,Premium,12810,562770,0,619.05,0.0,1793.0,0.0029,0.0
2024-08-04,F01,Premium,13044,566818,0,623.5,0.0,1754.0,0.0051,0.0
2024-08-05,F01,Premium,12508,527850,0,580.64,0.0,1743.0,0.0047,0.0
2024-08-06,F01,Premium,12083,527175,0,579.89,0.0,1882.0,0.0045,0.0
2024-08-07,F01,Premium,12724,552590,0,607.85,0.0,1692.0,0.0042,0.0
2024-08-08,F01,Premium,11878,530051,0,583.06,0.0,1638.0,0.0031,0.0
2024-08-09,F01,Premium,13800,552401,0,607.64,0.0,1907.0,0.0066,0.0
2024-08-10,F01,Premium,14194,584747,0,643.22,0.0,1823.0,0.0055,0.0
2024-08-11,F01,Premium,13788,575888,0,633.48,0.0,1723.0,0.0055,0.0
2024-08-12,F01,Premium,12833,545146,0,599.66,0.0,1745.0,0.0027,0.0
2024-08-13,F01,Premium,12375,528194,0,581.01,0.0,1620.0,0.0037,0.0
2024-08-14,F01,Premium,11912,505798,0,556.38,0.0,1763.0,0.0035,0.0
2024-08-15,F01,Premium,13913,583418,0,641.76,0.0,1825.0,0.0033,0.0
2024-08-16,F01,Premium,14067,577156,0,634.87,0.0,1887.0,0.0052,0.0
2024-08-17,F01,Premium,13137,576141,0,633.75,0.0,1634.0,0.0031,0.0
2024-08-18,F01,Premium,13234,595555,0,655.11,0.0,1932.0,0.0027,0.0
2024-08-19,F01,Premium,10947,526092,0,578.7,0.0,1799.0,0.0047,0.0
2024-08-20,F01,Premium,12577,517441,0,569.19,0.0,1838.0,0.0044,0.0
2024-08-21,F01,Premium,11925,522983,0,575.28,0.0,1831.0,0.0048,0.0
2024-08-22,F01,Premium,14169,545428,0,599.97,0.0,1743.0,0.0025,0.0
2024-08-23,F01,Premium,13347,565319,0,621.85,0.0,1799.0,0.0049,0.0
2024-08-24,F01,Premium,13530,596524,0,656.18,0.0,1710.0,0.0041,0.0
2024-08-25,F01,Premium,13103,562484,0,618.73,0.0,1801.0,0.0031,0.0
2024-08-26,F01,Premium,12787,515179,0,566.7,0.0,1737.0,0.0032,0.0
2024-08-27,F01,Premium,11560,496490,0,546.14,0.0,1768.0,0.0035,0.0
2024-08-28,F01,Premium,13495,535807,0,589.39,0.0,1869.0,0.0032,0.0
2024-08-29,F01,Premium,12398,542162,0,596.38,0.0,1798.0,0.0044,0.0
2024-08-30,F01,Premium,13298,549105,0,604.02,0.0,1992.0,0.0033,0.0
2024-08-31,F01,Premium,12069,543576,0,597.93,0.0,1819.0,0.0037,0.0
2024-09-01,F01,Premium,14376,622161,0,684.38,0.0,1786.0,0.0018,0.0
2024-09-02,F01,Premium,13612,567198,0,623.92,0.0,1884.0,0.0054,0.0
2024-09-03,F01,Premium,13043,562513,0,618.76,0.0,1664.0,0.0042,0.0
2024-09-04,F01,Premium,13709,570509,0,627.56,0.0,1738.0,0.0055,0.0
2024-09-05,F01,Premium,14496,603330,0,663.66,0.0,2081.0,0.0031,0.0
2024-09-06,F01,Premium,13845,596867,0,656.55,0.0,1956.0,0.0073,0.0
2024-09-07,F01,Premium,14887,630763,0,693.84,0.0,1965.0,0.0052,0.0
2024-09-08,F01,Premium,15497,637754,0,701.53,0.0,1816.0,0.0059,0.0
2024-09-09,F01,Premium,13257,613336,0,674.67,0.0,1806.0,0.0041,0.0
2024-09-10,F01,Premium,14835,574952,0,632.45,0.0,1879.0,0.004,0.0
2024-09-11,F01,Premium,13500,560778,0,616.86,0.0,1785.0,0.0047,0.0
2024-09-12,F01,Premium,13956,602046,0,662.25,0.0,1924.0,0.0038,0.0
2024-09-13,F01,Premium,13786,596124,0,655.74,0.0,1802.0,0.0037,0.0
2024-09-14,F01,Premium,15418,632391,0,695.63,0.0,1743.0,0.0036,0.0
2024-09-15,F01,Premium,15323,629931,0,692.92,0.0,1705.0,0.0048,0.0
2024-09-16,F01,Premium,12266,564829,0,621.31,0.0,1695.0,0.0038,0.0
2024-09-17,F01,Premium,13815,594029,0,653.43,0.0,1795.0,0.0048,0.0
2024-09-18,F01,Premium,13011,571648,0,628.81,0.0,1639.0,0.0028,0.0
2024-09-19,F01,Premium,13111,584898,0,643.39,0.0,1705.0,0.0084,0.0
2024-09-20,F01,Premium,14073,619164,0,681.08,0.0,1888.0,0.0036,0.0
2024-09-21,F01,Premium,15299,627131,0,689.84,0.0,1806.0,0.0036,0.0
2024-09-22,F01,Premium,14470,631389,0,694.53,0.0,1836.0,0.0033,0.0
2024-09-23,F01,Premium,12453,564741,0,621.22,0.0,1870.0,0.0044,0.0
2024-09-24,F01,Premium,14088,561806,0,617.99,0.0,1770.0,0.0056,0.0
2024-09-25,F01,Premium,12922,570038,0,627.04,0.0,1781.0,0.0023,0.0
2024-09-26,F01,Premium,12923,569349,0,626.28,0.0,1827.0,0.004,0.0
2024-09-27,F01,Premium,14060,595344,0,654.88,0.0,1849.0,0.0034,0.0
2024-09-28,F01,Premium,15864,635396,0,698.94,0.0,1836.0,0.0036,0.0
2024-09-29,F01,Premium,16207,656840,0,722.52,0.0,1803.0,0.0032,0.0
2024-09-30,F01,Premium,14394,592892,0,652.18,0.0,1768.0,0.0049,0.0
2024-10-01,F01,Premium,13855,600938,0,661.03,0.0,1748.0,0.0048,0.0
2024-10-02,F01,Premium,14296,632100,0,695.31,0.0,1712.0,0.003,0.0
2024-10-03,F01,Premium,14442,621415,0,683.56,0.0,1908.0,0.004,0.0
2024-10-04,F01,Premium,15895,663815,0,730.2,0.0,1734.0,0.0046,0.0
2024-10-05,F01,Premium,18245,719678,0,791.65,0.0,1753.0,0.0038,0.0
2024-10-06,F01,Premium,15088,650936,0,716.03,0.0,1765.0,0.0039,0.0
2024-10-07,F01,Premium,14860,651371,0,716.51,0.0,1939.0,0.0044,0.0
2024-10-08,F01,Premium,13862,620040,0,682.04,0.0,1892.0,0.0035,0.0
2024-10-09,F01,Premium,14709,660023,0,726.03,0.0,1859.0,0.0063,0.0
2024-10-10,F01,Premium,14356,626215,0,688.84,0.0,1759.0,0.0028,0.0
2024-10-11,F01,Premium,15215,661889,0,728.08,0.0,1771.0,0.0031,0.0
2024-10-12,F01,Premium,16151,712638,0,783.9,0.0,1675.0,0.0025,0.0
2024-10-13,F01,Premium,14786,668617,0,735.48,0.0,1789.0,0.0037,0.0
2024-10-14,F01,Premium,14467,618308,0,680.14,0.0,1841.0,0.005,0.0
2024-10-15,F01,Premium,14371,615920,0,677.51,0.0,1668.0,0.005,0.0
2024-10-16,F01,Premium,15460,642178,0,706.4,0.0,1855.0,0.0033,0.0
2024-10-17,F01,Premium,15878,657548,0,723.3,0.0,1782.0,0.004,0.0
2024-10-18,F01,Premium,15709,704208,0,774.63,0.0,1896.0,0.0029,0.0
2024-10-19,F01,Premium,17501,699223,0,769.14,0.0,1766.0,0.0047,0.0
2024-10-20,F01,Premium,14532,634972,0,698.47,0.0,1785.0,0.0044,0.0
2024-10-21,F01,Premium,14516,654817,0,720.3,0.0,1823.0,0.0018,0.0
2024-10-22,F01,Premium,15190,641335,0,705.47,0.0,1676.0,0.0033,0.0
2024-10-23,F01,Premium,13523,610784,0,671.86,0.0,1762.0,0.0038,0.0
2024-10-24,F01,Premium,15085,635444,0,698.99,0.0,1724.0,0.0032,0.0
2024-10-25,F01,Premium,16085,685902,0,754.49,0.0,1680.0,0.0051,0.0
2024-10-26,F01,Premium,16012,672044,0,739.25,0.0,1795.0,0.0049,0.0
2024-10-27,F01,Premium,15074,675191,0,742.71,0.0,2222.0,0.0027,0.0
2024-10-28,F01,Premium,13631,619207,0,681.13,0.0,2025.0,0.0034,0.0
2024-10-29,F01,Premium,15681,637066,0,700.77,0.0,2185.0,0.0026,0.0
2024-10-30,F01,Premium,15261,643451,0,707.8,0.0,2117.0,0.0033,0.0
2024-10-31,F01,Premium,15188,638323,0,702.15,0.0,1991.0,0.0036,0.0
2024-11-01,F01,Premium,16768,758961,0,834.86,0.0,1921.0,0.0042,0.0
2024-11-02,F01,Premium,18956,799165,0,879.08,0.0,1932.0,0.0046,0.0
2024-11-03,F01,Premium,19283,801963,0,882.16,0.0,1778.0,0.0046,0.0
2024-11-04,F01,Premium,16704,699765,0,769.74,0.0,1868.0,0.0025,0.0
2024-11-05,F01,Premium,18341,718908,0,790.8,0.0,1843.0,0.0047,0.0
2024-11-06,F01,Premium,15983,732487,0,805.74,0.0,1594.0,0.0035,0.0
2024-11-07,F01,Premium,16471,726416,0,799.06,0.0,1859.0,0.0037,0.0
2024-11-08,F01,Premium,17808,792472,0,871.72,0.0,1871.0,0.0051,0.0
2024-11-09,F01,Premium,17493,766795,0,843.47,0.0,1763.0,0.0051,0.0
2024-11-10,F01,Premium,18459,807086,0,887.8,0.0,1807.0,0.0043,0.0
