cohort_month,months_since_first_payment,calendar_month,channel_id,first_plan_id,market_tier,cohort_size,active_subscribers,mrr_usd,net_revenue_usd,cum_net_revenue_usd,retention_rate,cum_net_revenue_per_sub_usd
2024-01,13,2025-02,CH01,P1M,Tier 2,79,9,67.42,120.67,3817.06,0.1139,48.32
2024-01,14,2025-03,CH01,P1M,Tier 2,79,9,63.94,150.5,3967.57,0.1139,50.22
2024-01,15,2025-04,CH01,P1M,Tier 2,79,9,73.75,36.89,4004.46,0.1139,50.69
2024-01,16,2025-05,CH01,P1M,Tier 2,79,10,85.25,94.56,4099.02,0.1266,51.89
2024-01,17,2025-06,CH01,P1M,Tier 2,79,10,77.61,72.07,4171.09,0.1266,52.8
2024-01,18,2025-07,CH01,P1M,Tier 2,79,10,78.62,36.43,4207.52,0.1266,53.26
2024-01,19,2025-08,CH01,P1M,Tier 2,79,8,63.07,79.2,4286.72,0.1013,54.26
2024-01,20,2025-09,CH01,P1M,Tier 2,79,7,50.06,13.45,4300.17,0.0886,54.43
2024-01,21,2025-10,CH01,P1M,Tier 2,79,8,53.26,56.86,4357.03,0.1013,55.15
2024-01,22,2025-11,CH01,P1M,Tier 2,79,14,107.72,194.93,4551.97,0.1772,57.62
2024-01,23,2025-12,CH01,P1M,Tier 2,79,13,84.13,119.42,4671.39,0.1646,59.13
2024-01,24,2026-01,CH01,P1M,Tier 2,79,13,74.67,83.27,4754.65,0.1646,60.19
2024-01,25,2026-02,CH01,P1M,Tier 2,79,12,66.53,212.2,4966.85,0.1519,62.87
2024-01,26,2026-03,CH01,P1M,Tier 2,79,12,63.65,317.69,5284.55,0.1519,66.89
2024-01,27,2026-04,CH01,P1M,Tier 2,79,13,66.85,67.45,5352.0,0.1646,67.75
2024-01,28,2026-05,CH01,P1M,Tier 2,79,14,80.51,52.16,5404.16,0.1772,68.41
2024-01,29,2026-06,CH01,P1M,Tier 2,79,12,63.83,13.37,5417.53,0.1519,68.58
2024-01,30,2026-07,CH01,P1M,Tier 2,79,14,80.83,82.33,5499.86,0.1772,69.62
2024-01,31,2026-08,CH01,P1M,Tier 2,79,15,93.85,65.26,5565.12,0.1899,70.44
2024-01,0,2024-01,CH01,P1M,Tier 3,109,107,1296.79,1451.87,1451.87,0.9817,13.32
2024-01,1,2024-02,CH01,P1M,Tier 3,109,49,584.89,695.68,2147.55,0.4495,19.7
2024-01,2,2024-03,CH01,P1M,Tier 3,109,30,345.09,498.2,2645.75,0.2752,24.27
2024-01,3,2024-04,CH01,P1M,Tier 3,109,21,228.34,247.19,2892.94,0.1927,26.54
2024-01,4,2024-05,CH01,P1M,Tier 3,109,20,217.15,182.05,3074.99,0.1835,28.21
2024-01,5,2024-06,CH01,P1M,Tier 3,109,14,144.09,109.0,3183.99,0.1284,29.21
2024-01,6,2024-07,CH01,P1M,Tier 3,109,14,145.78,145.59,3329.58,0.1284,30.55
2024-01,7,2024-08,CH01,P1M,Tier 3,109,14,144.09,137.54,3467.12,0.1284,31.81
2024-01,8,2024-09,CH01,P1M,Tier 3,109,11,106.98,71.88,3539.0,0.1009,32.47
2024-01,9,2024-10,CH01,P1M,Tier 3,109,10,94.61,84.91,3623.91,0.0917,33.25
2024-01,10,2024-11,CH01,P1M,Tier 3,109,9,73.56,167.54,3791.45,0.0826,34.78
2024-01,11,2024-12,CH01,P1M,Tier 3,109,10,85.93,57.95,3849.4,0.0917,35.32
2024-01,12,2025-01,CH01,P1M,Tier 3,109,9,77.47,49.49,3898.89,0.0826,35.77
2024-01,13,2025-02,CH01,P1M,Tier 3,109,8,65.1,93.2,3992.09,0.0734,36.62
2024-01,14,2025-03,CH01,P1M,Tier 3,109,7,60.34,106.52,4098.61,0.0642,37.6
2024-01,15,2025-04,CH01,P1M,Tier 3,109,8,72.41,50.13,4148.74,0.0734,38.06
2024-01,16,2025-05,CH01,P1M,Tier 3,109,8,66.69,126.19,4274.93,0.0734,39.22
2024-01,17,2025-06,CH01,P1M,Tier 3,109,9,75.25,73.91,4348.84,0.0826,39.9
2024-01,18,2025-07,CH01,P1M,Tier 3,109,8,61.93,25.38,4374.22,0.0734,40.13
2024-01,19,2025-08,CH01,P1M,Tier 3,109,8,61.93,25.38,4399.61,0.0734,40.36
2024-01,20,2025-09,CH01,P1M,Tier 3,109,7,44.75,78.4,4478.01,0.0642,41.08
2024-01,21,2025-10,CH01,P1M,Tier 3,109,10,55.73,145.1,4623.11,0.0917,42.41
2024-01,22,2025-11,CH01,P1M,Tier 3,109,12,75.35,155.57,4778.68,0.1101,43.84
2024-01,23,2025-12,CH01,P1M,Tier 3,109,13,79.15,72.25,4850.93,0.1193,44.5
2024-01,24,2026-01,CH01,P1M,Tier 3,109,14,73.06,100.2,4951.13,0.1284,45.42
2024-01,25,2026-02,CH01,P1M,Tier 3,109,14,73.06,107.47,5058.6,0.1284,46.41
2024-01,26,2026-03,CH01,P1M,Tier 3,109,15,74.96,104.52,5163.12,0.1376,47.37
2024-01,27,2026-04,CH01,P1M,Tier 3,109,15,70.2,44.71,5207.83,0.1376,47.78
2024-01,28,2026-05,CH01,P1M,Tier 3,109,15,77.82,39.01,5246.84,0.1376,48.14
2024-01,29,2026-06,CH01,P1M,Tier 3,109,15,73.05,284.3,5531.14,0.1376,50.74
2024-01,30,2026-07,CH01,P1M,Tier 3,109,15,68.29,55.11,5586.25,0.1376,51.25
2024-01,31,2026-08,CH01,P1M,Tier 3,109,15,68.29,35.2,5621.45,0.1376,51.57
2024-01,0,2024-01,CH01,P3M,Tier 1,172,166,1559.76,5078.89,5078.89,0.9651,29.53
2024-01,1,2024-02,CH01,P3M,Tier 1,172,165,1546.06,227.66,5306.55,0.9593,30.85
2024-01,2,2024-03,CH01,P3M,Tier 1,172,165,1549.47,287.4,5593.95,0.9593,32.52
2024-01,3,2024-04,CH01,P3M,Tier 1,172,88,821.85,2667.09,8261.04,0.5116,48.03
2024-01,4,2024-05,CH01,P3M,Tier 1,172,88,821.44,76.84,8337.88,0.5116,48.48
2024-01,5,2024-06,CH01,P3M,Tier 1,172,90,837.86,165.98,8503.86,0.5233,49.44
2024-01,6,2024-07,CH01,P3M,Tier 1,172,68,613.87,1972.3,10476.17,0.3953,60.91
2024-01,7,2024-08,CH01,P3M,Tier 1,172,65,579.75,209.11,10685.28,0.3779,62.12
2024-01,8,2024-09,CH01,P3M,Tier 1,172,65,582.52,78.4,10763.67,0.3779,62.58
2024-01,9,2024-10,CH01,P3M,Tier 1,172,53,462.67,1161.6,11925.27,0.3081,69.33
2024-01,10,2024-11,CH01,P3M,Tier 1,172,53,454.3,304.09,12229.37,0.3081,71.1
2024-01,11,2024-12,CH01,P3M,Tier 1,172,53,451.0,129.14,12358.51,0.3081,71.85
2024-01,12,2025-01,CH01,P3M,Tier 1,172,46,397.7,652.27,13010.78,0.2674,75.64
2024-01,13,2025-02,CH01,P3M,Tier 1,172,46,401.48,226.08,13236.86,0.2674,76.96
2024-01,14,2025-03,CH01,P3M,Tier 1,172,45,389.51,282.87,13519.73,0.2616,78.6
2024-01,15,2025-04,CH01,P3M,Tier 1,172,39,345.87,762.73,14282.46,0.2267,83.04
2024-01,16,2025-05,CH01,P3M,Tier 1,172,36,317.72,184.01,14466.48,0.2093,84.11
2024-01,17,2025-06,CH01,P3M,Tier 1,172,33,265.04,241.88,14708.36,0.1919,85.51
2024-01,18,2025-07,CH01,P3M,Tier 1,172,29,236.96,908.58,15616.94,0.1686,90.8
2024-01,19,2025-08,CH01,P3M,Tier 1,172,29,232.37,170.59,15787.53,0.1686,91.79
2024-01,20,2025-09,CH01,P3M,Tier 1,172,28,200.09,200.67,15988.2,0.1628,92.95
2024-01,21,2025-10,CH01,P3M,Tier 1,172,26,182.81,408.89,16397.09,0.1512,95.33
2024-01,22,2025-11,CH01,P3M,Tier 1,172,30,223.22,139.34,16536.44,0.1744,96.14
2024-01,23,2025-12,CH01,P3M,Tier 1,172,33,221.6,390.3,16926.73,0.1919,98.41
2024-01,24,2026-01,CH01,P3M,Tier 1,172,32,208.5,379.29,17306.02,0.186,100.62
2024-01,25,2026-02,CH01,P3M,Tier 1,172,34,217.32,496.88,17802.9,0.1977,103.51
2024-01,26,2026-03,CH01,P3M,Tier 1,172,34,217.34,146.05,17948.94,0.1977,104.35
2024-01,27,2026-04,CH01,P3M,Tier 1,172,34,217.01,378.52,18327.47,0.1977,106.56
2024-01,28,2026-05,CH01,P3M,Tier 1,172,33,196.99,98.46,18425.93,0.1919,107.13
2024-01,29,2026-06,CH01,P3M,Tier 1,172,31,185.04,571.53,18997.46,0.1802,110.45
2024-01,30,2026-07,CH01,P3M,Tier 1,172,30,166.45,411.18,19408.65,0.1744,112.84
2024-01,31,2026-08,CH01,P3M,Tier 1,172,30,171.2,291.5,19700.15,0.1744,114.54
2024-01,0,2024-01,CH01,P3M,Tier 2,17,17,152.76,458.28,458.28,1.0,26.96
2024-01,1,2024-02,CH01,P3M,Tier 2,17,17,151.48,0.0,458.28,1.0,26.96
2024-01,2,2024-03,CH01,P3M,Tier 2,17,17,152.33,17.95,476.23,1.0,28.01
2024-01,3,2024-04,CH01,P3M,Tier 2,17,10,91.33,294.31,770.54,0.5882,45.33
2024-01,4,2024-05,CH01,P3M,Tier 2,17,10,91.72,11.61,782.15,0.5882,46.01
2024-01,5,2024-06,CH01,P3M,Tier 2,17,10,91.34,11.55,793.7,0.5882,46.69
2024-01,6,2024-07,CH01,P3M,Tier 2,17,5,41.08,269.85,1063.55,0.2941,62.56
2024-01,7,2024-08,CH01,P3M,Tier 2,17,6,50.67,207.75,1271.3,0.3529,74.78
2024-01,8,2024-09,CH01,P3M,Tier 2,17,6,51.05,0.0,1271.3,0.3529,74.78
2024-01,9,2024-10,CH01,P3M,Tier 2,17,5,41.17,191.99,1463.3,0.2941,86.08
2024-01,10,2024-11,CH01,P3M,Tier 2,17,3,22.67,-26.78,1436.52,0.1765,84.5
2024-01,11,2024-12,CH01,P3M,Tier 2,17,4,34.16,11.81,1448.33,0.2353,85.2
2024-01,12,2025-01,CH01,P3M,Tier 2,17,4,33.88,62.66,1510.99,0.2353,88.88
2024-01,13,2025-02,CH01,P3M,Tier 2,17,4,34.01,11.81,1522.8,0.2353,89.58
2024-01,14,2025-03,CH01,P3M,Tier 2,17,4,34.86,11.81,1534.61,0.2353,90.27
2024-01,15,2025-04,CH01,P3M,Tier 2,17,3,26.56,39.4,1574.0,0.1765,92.59
2024-01,16,2025-05,CH01,P3M,Tier 2,17,3,27.54,12.72,1586.72,0.1765,93.34
2024-01,17,2025-06,CH01,P3M,Tier 2,17,3,27.87,12.72,1599.44,0.1765,94.08
2024-01,18,2025-07,CH01,P3M,Tier 2,17,5,48.43,154.05,1753.49,0.2941,103.15
2024-01,19,2025-08,CH01,P3M,Tier 2,17,4,35.65,26.08,1779.57,0.2353,104.68
2024-01,20,2025-09,CH01,P3M,Tier 2,17,4,35.81,26.17,1805.74,0.2353,106.22
2024-01,21,2025-10,CH01,P3M,Tier 2,17,4,35.62,26.05,1831.8,0.2353,107.75
2024-01,22,2025-11,CH01,P3M,Tier 2,17,4,26.0,58.09,1889.88,0.2353,111.17
2024-01,23,2025-12,CH01,P3M,Tier 2,17,5,39.6,26.15,1916.03,0.2941,112.71
2024-01,24,2026-01,CH01,P3M,Tier 2,17,5,39.63,26.16,1942.19,0.2941,114.25
2024-01,25,2026-02,CH01,P3M,Tier 2,17,4,26.28,12.72,1954.9,0.2353,114.99
2024-01,26,2026-03,CH01,P3M,Tier 2,17,4,26.07,12.72,1967.62,0.2353,115.74
2024-01,27,2026-04,CH01,P3M,Tier 2,17,4,25.94,12.72,1980.34,0.2353,116.49
2024-01,28,2026-05,CH01,P3M,Tier 2,17,4,26.03,60.56,2040.9,0.2353,120.05
2024-01,29,2026-06,CH01,P3M,Tier 2,17,3,13.4,0.0,2040.9,0.1765,120.05
2024-01,30,2026-07,CH01,P3M,Tier 2,17,2,9.65,69.74,2110.64,0.1176,124.16
2024-01,31,2026-08,CH01,P3M,Tier 2,17,2,9.61,0.0,2110.64,0.1176,124.16
2024-01,0,2024-01,CH01,P3M,Tier 3,42,42,387.9,1211.3,1211.3,1.0,28.84
2024-01,1,2024-02,CH01,P3M,Tier 3,42,41,378.38,-28.54,1182.76,0.9762,28.16
2024-01,2,2024-03,CH01,P3M,Tier 3,42,41,378.38,0.0,1182.76,0.9762,28.16
2024-01,3,2024-04,CH01,P3M,Tier 3,42,21,201.89,536.9,1719.65,0.5,40.94
2024-01,4,2024-05,CH01,P3M,Tier 3,42,21,201.89,224.86,1944.51,0.5,46.3
2024-01,5,2024-06,CH01,P3M,Tier 3,42,22,210.5,60.22,2004.73,0.5238,47.73
2024-01,6,2024-07,CH01,P3M,Tier 3,42,10,90.06,280.97,2285.7,0.2381,54.42
2024-01,7,2024-08,CH01,P3M,Tier 3,42,8,68.04,11.01,2296.71,0.1905,54.68
2024-01,8,2024-09,CH01,P3M,Tier 3,42,8,65.13,79.47,2376.18,0.1905,56.58
2024-01,9,2024-10,CH01,P3M,Tier 3,42,7,55.62,93.49,2469.67,0.1667,58.8
2024-01,10,2024-11,CH01,P3M,Tier 3,42,10,80.35,136.55,2606.22,0.2381,62.05
2024-01,11,2024-12,CH01,P3M,Tier 3,42,10,80.35,34.81,2641.03,0.2381,62.88
2024-01,12,2025-01,CH01,P3M,Tier 3,42,11,92.72,105.86,2746.89,0.2619,65.4
2024-01,13,2025-02,CH01,P3M,Tier 3,42,10,80.35,68.09,2814.99,0.2381,67.02
2024-01,14,2025-03,CH01,P3M,Tier 3,42,9,69.34,0.0,2814.99,0.2143,67.02
2024-01,15,2025-04,CH01,P3M,Tier 3,42,9,69.34,82.48,2897.47,0.2143,68.99
2024-01,16,2025-05,CH01,P3M,Tier 3,42,7,50.31,0.0,2897.47,0.1667,68.99
2024-01,17,2025-06,CH01,P3M,Tier 3,42,7,50.31,0.0,2897.47,0.1667,68.99
2024-01,18,2025-07,CH01,P3M,Tier 3,42,7,44.6,236.46,3133.92,0.1667,74.62
2024-01,19,2025-08,CH01,P3M,Tier 3,42,8,52.22,127.6,3261.52,0.1905,77.66
2024-01,20,2025-09,CH01,P3M,Tier 3,42,7,46.51,0.0,3261.52,0.1667,77.66
2024-01,21,2025-10,CH01,P3M,Tier 3,42,5,28.53,0.0,3261.52,0.119,77.66
2024-01,22,2025-11,CH01,P3M,Tier 3,42,5,34.24,81.78,3343.3,0.119,79.6
2024-01,23,2025-12,CH01,P3M,Tier 3,42,6,41.86,36.18,3379.48,0.1429,80.46
2024-01,24,2026-01,CH01,P3M,Tier 3,42,6,41.86,13.32,3392.81,0.1429,80.78
2024-01,25,2026-02,CH01,P3M,Tier 3,42,5,28.53,0.0,3392.81,0.119,80.78
2024-01,26,2026-03,CH01,P3M,Tier 3,42,5,24.71,45.6,3438.41,0.119,81.87
2024-01,27,2026-04,CH01,P3M,Tier 3,42,5,24.71,0.0,3438.41,0.119,81.87
2024-01,28,2026-05,CH01,P3M,Tier 3,42,5,24.71,0.0,3438.41,0.119,81.87
2024-01,29,2026-06,CH01,P3M,Tier 3,42,5,24.71,0.0,3438.41,0.119,81.87
2024-01,30,2026-07,CH01,P3M,Tier 3,42,4,20.91,136.91,3575.32,0.0952,85.13
2024-01,31,2026-08,CH01,P3M,Tier 3,42,4,20.91,0.0,3575.32,0.0952,85.13
2024-01,0,2024-01,CH01,P12M,Tier 1,242,228,1293.46,15780.11,15780.11,0.9421,65.21
2024-01,1,2024-02,CH01,P12M,Tier 1,242,225,1271.93,257.1,16037.21,0.9298,66.27
2024-01,2,2024-03,CH01,P12M,Tier 1,242,225,1275.6,235.85,16273.06,0.9298,67.24
2024-01,3,2024-04,CH01,P12M,Tier 1,242,225,1268.16,579.2,16852.26,0.9298,69.64
2024-01,4,2024-05,CH01,P12M,Tier 1,242,225,1272.71,341.74,17194.0,0.9298,71.05
2024-01,5,2024-06,CH01,P12M,Tier 1,242,225,1272.09,182.55,17376.55,0.9298,71.8
2024-01,6,2024-07,CH01,P12M,Tier 1,242,225,1276.74,158.5,17535.05,0.9298,72.46
2024-01,7,2024-08,CH01,P12M,Tier 1,242,225,1283.28,292.83,17827.88,0.9298,73.67
2024-01,8,2024-09,CH01,P12M,Tier 1,242,225,1290.38,248.85,18076.72,0.9298,74.7
2024-01,9,2024-10,CH01,P12M,Tier 1,242,225,1281.31,381.13,18457.85,0.9298,76.27
2024-01,10,2024-11,CH01,P12M,Tier 1,242,225,1268.51,783.32,19241.18,0.9298,79.51
2024-01,11,2024-12,CH01,P12M,Tier 1,242,225,1262.33,998.73,20239.91,0.9298,83.64
2024-01,12,2025-01,CH01,P12M,Tier 1,242,78,487.0,4909.11,25149.02,0.3223,103.92
2024-01,13,2025-02,CH01,P12M,Tier 1,242,80,506.56,288.67,25437.69,0.3306,105.11
2024-01,14,2025-03,CH01,P12M,Tier 1,242,78,490.02,199.83,25637.52,0.3223,105.94
2024-01,15,2025-04,CH01,P12M,Tier 1,242,81,523.22,320.13,25957.65,0.3347,107.26
2024-01,16,2025-05,CH01,P12M,Tier 1,242,85,566.69,1161.57,27119.22,0.3512,112.06
2024-01,17,2025-06,CH01,P12M,Tier 1,242,85,562.06,526.24,27645.46,0.3512,114.24
2024-01,18,2025-07,CH01,P12M,Tier 1,242,85,543.01,559.6,28205.06,0.3512,116.55
2024-01,19,2025-08,CH01,P12M,Tier 1,242,86,551.93,170.04,28375.1,0.3554,117.25
2024-01,20,2025-09,CH01,P12M,Tier 1,242,90,578.76,332.26,28707.36,0.3719,118.63
2024-01,21,2025-10,CH01,P12M,Tier 1,242,88,549.87,125.95,28833.31,0.3636,119.15
2024-01,22,2025-11,CH01,P12M,Tier 1,242,92,537.88,688.12,29521.43,0.3802,121.99
2024-01,23,2025-12,CH01,P12M,Tier 1,242,97,560.34,514.9,30036.33,0.4008,124.12
2024-01,24,2026-01,CH01,P12M,Tier 1,242,61,362.27,2606.87,32643.2,0.2521,134.89
2024-01,25,2026-02,CH01,P12M,Tier 1,242,60,353.05,267.65,32910.85,0.2479,136.0
2024-01,26,2026-03,CH01,P12M,Tier 1,242,61,348.36,652.3,33563.15,0.2521,138.69
2024-01,27,2026-04,CH01,P12M,Tier 1,242,61,337.7,833.45,34396.6,0.2521,142.13
2024-01,28,2026-05,CH01,P12M,Tier 1,242,62,336.85,362.77,34759.37,0.2562,143.63
2024-01,29,2026-06,CH01,P12M,Tier 1,242,64,345.34,630.03,35389.4,0.2645,146.24
2024-01,30,2026-07,CH01,P12M,Tier 1,242,65,349.97,517.32,35906.72,0.2686,148.37
2024-01,31,2026-08,CH01,P12M,Tier 1,242,66,352.64,176.23,36082.94,0.2727,149.1
2024-01,0,2024-01,CH01,P12M,Tier 2,37,35,187.98,2255.72,2255.72,0.9459,60.97
2024-01,1,2024-02,CH01,P12M,Tier 2,37,35,186.21,134.75,2390.48,0.9459,64.61
2024-01,2,2024-03,CH01,P12M,Tier 2,37,35,187.39,8.9,2399.38,0.9459,64.85
2024-01,3,2024-04,CH01,P12M,Tier 2,37,35,185.18,22.72,2422.1,0.9459,65.46
2024-01,4,2024-05,CH01,P12M,Tier 2,37,35,186.5,30.81,2452.91,0.9459,66.29
2024-01,5,2024-06,CH01,P12M,Tier 2,37,35,185.77,0.0,2452.91,0.9459,66.29
2024-01,6,2024-07,CH01,P12M,Tier 2,37,35,186.95,111.23,2564.14,0.9459,69.3
2024-01,7,2024-08,CH01,P12M,Tier 2,37,35,189.45,0.0,2564.14,0.9459,69.3
2024-01,8,2024-09,CH01,P12M,Tier 2,37,35,190.92,9.1,2573.24,0.9459,69.55
2024-01,9,2024-10,CH01,P12M,Tier 2,37,35,187.83,40.36,2613.6,0.9459,70.64
2024-01,10,2024-11,CH01,P12M,Tier 2,37,35,183.85,212.4,2826.0,0.9459,76.38
2024-01,11,2024-12,CH01,P12M,Tier 2,37,35,181.64,287.57,3113.57,0.9459,84.15
2024-01,12,2025-01,CH01,P12M,Tier 2,37,18,103.86,1031.32,4144.89,0.4865,112.02
2024-01,13,2025-02,CH01,P12M,Tier 2,37,19,113.02,347.12,4492.01,0.5135,121.41
2024-01,14,2025-03,CH01,P12M,Tier 2,37,19,117.15,155.37,4647.37,0.5135,125.6
2024-01,15,2025-04,CH01,P12M,Tier 2,37,18,109.44,98.91,4746.28,0.4865,128.28
2024-01,16,2025-05,CH01,P12M,Tier 2,37,16,88.48,147.91,4894.19,0.4324,132.28
2024-01,17,2025-06,CH01,P12M,Tier 2,37,16,90.32,33.14,4927.32,0.4324,133.17
2024-01,18,2025-07,CH01,P12M,Tier 2,37,16,91.42,0.0,4927.32,0.4324,133.17
2024-01,19,2025-08,CH01,P12M,Tier 2,37,17,95.01,78.93,5006.26,0.4595,135.3
2024-01,20,2025-09,CH01,P12M,Tier 2,37,19,122.53,411.47,5417.73,0.5135,146.43
2024-01,21,2025-10,CH01,P12M,Tier 2,37,18,108.19,60.79,5478.52,0.4865,148.07
2024-01,22,2025-11,CH01,P12M,Tier 2,37,18,107.58,260.28,5738.79,0.4865,155.1
2024-01,23,2025-12,CH01,P12M,Tier 2,37,18,108.9,13.43,5752.22,0.4865,155.47
2024-01,24,2026-01,CH01,P12M,Tier 2,37,13,80.48,771.92,6524.14,0.3514,176.33
2024-01,25,2026-02,CH01,P12M,Tier 2,37,14,84.92,69.81,6593.94,0.3784,178.21
2024-01,26,2026-03,CH01,P12M,Tier 2,37,14,83.62,13.32,6607.27,0.3784,178.57
2024-01,27,2026-04,CH01,P12M,Tier 2,37,14,82.83,13.2,6620.47,0.3784,178.93
2024-01,28,2026-05,CH01,P12M,Tier 2,37,14,83.34,46.48,6666.95,0.3784,180.19
2024-01,29,2026-06,CH01,P12M,Tier 2,37,14,83.91,85.03,6751.98,0.3784,182.49
2024-01,30,2026-07,CH01,P12M,Tier 2,37,13,71.03,-13.37,6738.61,0.3514,182.12
2024-01,31,2026-08,CH01,P12M,Tier 2,37,12,66.9,285.11,7023.72,0.3243,189.83
2024-01,0,2024-01,CH01,P12M,Tier 3,68,68,376.49,4622.63,4622.63,1.0,67.98
2024-01,1,2024-02,CH01,P12M,Tier 3,68,68,376.49,0.0,4622.63,1.0,67.98
2024-01,2,2024-03,CH01,P12M,Tier 3,68,68,376.49,0.0,4622.63,1.0,67.98
2024-01,3,2024-04,CH01,P12M,Tier 3,68,68,376.49,0.0,4622.63,1.0,67.98
2024-01,4,2024-05,CH01,P12M,Tier 3,68,68,376.49,119.51,4742.15,1.0,69.74
2024-01,5,2024-06,CH01,P12M,Tier 3,68,68,376.49,51.44,4793.59,1.0,70.49
2024-01,6,2024-07,CH01,P12M,Tier 3,68,68,376.49,23.8,4817.39,1.0,70.84
2024-01,7,2024-08,CH01,P12M,Tier 3,68,68,376.49,16.93,4834.32,1.0,71.09
