date,cluster_id,workload,cost_usd,units_served,gpu_hours,avg_utilization
2024-01-23,GC2,Image,44.93,6549,33.3,0.69
2024-01-23,GC2,LLM chat,960.42,870932,711.4,0.624
2024-01-24,GC1,Image,45.39,6617,14.2,0.903
2024-01-24,GC1,LLM chat,641.84,582020,200.6,0.84
2024-01-24,GC1,Speech,37.11,12369,11.6,0.889
2024-01-24,GC2,Image,45.39,6617,33.6,0.736
2024-01-24,GC2,LLM chat,962.76,873029,713.2,0.626
2024-01-25,GC1,Image,45.86,6686,14.3,0.848
2024-01-25,GC1,LLM chat,660.82,599262,206.5,0.901
2024-01-25,GC1,Speech,37.49,12497,11.7,0.867
2024-01-25,GC2,Image,45.86,6686,34.0,0.676
2024-01-25,GC2,LLM chat,991.24,898894,734.2,0.68
2024-01-26,GC1,Image,47.73,6959,14.9,0.924
2024-01-26,GC1,LLM chat,662.41,600645,207.0,0.922
2024-01-26,GC1,Speech,39.02,13007,12.2,0.815
2024-01-26,GC2,Image,47.73,6959,35.4,0.66
2024-01-26,GC2,LLM chat,993.61,900968,736.0,0.667
2024-01-27,GC1,Image,49.61,7232,15.5,0.838
2024-01-27,GC1,LLM chat,710.93,644694,222.2,0.867
2024-01-27,GC1,Speech,40.55,13517,12.7,0.881
2024-01-27,GC2,Image,49.61,7232,36.7,0.713
2024-01-27,GC2,LLM chat,1066.4,967041,789.9,0.668
2024-01-28,GC1,Image,49.14,7163,15.4,0.866
2024-01-28,GC1,LLM chat,674.71,611784,210.8,0.886
2024-01-28,GC1,Speech,40.17,13389,12.6,0.893
2024-01-28,GC2,Image,49.14,7163,36.4,0.699
2024-01-28,GC2,LLM chat,1012.07,917676,749.7,0.699
2024-01-29,GC1,Image,45.39,6617,14.2,0.878
2024-01-29,GC1,LLM chat,647.7,587352,202.4,0.872
2024-01-29,GC1,Speech,37.11,12369,11.6,0.872
2024-01-29,GC2,Image,45.39,6617,33.6,0.678
2024-01-29,GC2,LLM chat,971.56,881028,719.7,0.681
2024-01-30,GC1,Image,44.93,6549,14.0,0.854
2024-01-30,GC1,LLM chat,621.61,563646,194.3,0.89
2024-01-30,GC1,Speech,36.73,12242,11.5,0.867
2024-01-30,GC2,Image,44.93,6549,33.3,0.637
2024-01-30,GC2,LLM chat,932.42,845470,690.7,0.648
2024-01-31,GC1,Image,45.39,6617,14.2,0.874
2024-01-31,GC1,LLM chat,653.86,592949,204.3,0.932
2024-01-31,GC1,Speech,37.11,12369,11.6,0.868
2024-01-31,GC2,Image,45.39,6617,33.6,0.689
2024-01-31,GC2,LLM chat,980.79,889424,726.5,0.673
2024-02-01,GC1,Image,61.89,9022,19.3,0.874
2024-02-01,GC1,LLM chat,646.87,586060,202.1,0.866
2024-02-01,GC1,Speech,50.59,16864,15.8,0.9
2024-02-01,GC2,Image,61.89,9022,45.8,0.701
2024-02-01,GC2,LLM chat,970.31,879089,718.7,0.651
2024-02-02,GC1,Image,64.42,9391,20.1,0.868
2024-02-02,GC1,LLM chat,677.32,613657,211.7,0.779
2024-02-02,GC1,Speech,52.66,17553,16.5,0.822
2024-02-02,GC2,Image,64.42,9391,47.7,0.732
2024-02-02,GC2,LLM chat,1015.98,920486,752.6,0.65
2024-02-03,GC1,Image,66.95,9759,20.9,0.92
2024-02-03,GC1,LLM chat,699.81,634018,218.7,0.872
2024-02-03,GC1,Speech,54.72,18241,17.1,0.822
2024-02-03,GC2,Image,66.95,9759,49.6,0.676
2024-02-03,GC2,LLM chat,1049.71,951027,777.6,0.63
2024-02-04,GC1,Image,66.31,9667,20.7,0.831
2024-02-04,GC1,LLM chat,732.18,663470,228.8,0.856
2024-02-04,GC1,Speech,54.21,18069,16.9,0.849
2024-02-04,GC2,Image,66.31,9667,49.1,0.699
2024-02-04,GC2,LLM chat,1098.27,995205,813.5,0.7
2024-02-05,GC1,Image,61.26,8930,19.1,0.91
2024-02-05,GC1,LLM chat,654.04,592603,204.4,0.888
2024-02-05,GC1,Speech,50.08,16692,15.6,0.882
2024-02-05,GC2,Image,61.26,8930,45.4,0.7
2024-02-05,GC2,LLM chat,981.07,888904,726.7,0.679
2024-02-06,GC1,Image,60.63,8838,18.9,0.884
2024-02-06,GC1,LLM chat,650.95,589808,203.4,0.847
2024-02-06,GC1,Speech,49.56,16520,15.5,0.929
2024-02-06,GC2,Image,60.63,8838,44.9,0.707
2024-02-06,GC2,LLM chat,976.43,884712,723.3,0.684
2024-02-07,GC1,Image,61.26,8930,19.1,0.873
2024-02-07,GC1,LLM chat,656.36,594710,205.1,0.893
2024-02-07,GC1,Speech,50.08,16692,15.6,0.892
2024-02-07,GC2,Image,61.26,8930,45.4,0.686
2024-02-07,GC2,LLM chat,984.55,892065,729.3,0.653
2024-02-08,GC1,Image,61.89,9022,19.3,0.933
2024-02-08,GC1,LLM chat,645.84,585123,201.8,0.912
2024-02-08,GC1,Speech,50.59,16864,15.8,0.841
2024-02-08,GC2,Image,61.89,9022,45.8,0.702
2024-02-08,GC2,LLM chat,968.76,877685,717.6,0.674
2024-02-09,GC1,Image,64.42,9391,20.1,0.879
2024-02-09,GC1,LLM chat,690.14,625313,215.7,0.928
2024-02-09,GC1,Speech,52.66,17553,16.5,0.871
2024-02-09,GC2,Image,64.42,9391,47.7,0.671
2024-02-09,GC2,LLM chat,1035.21,937970,766.8,0.721
2024-02-10,GC1,Image,66.95,9759,20.9,0.871
2024-02-10,GC1,LLM chat,769.87,697710,240.6,0.866
2024-02-10,GC1,Speech,54.72,18241,17.1,0.845
2024-02-10,GC2,Image,66.95,9759,49.6,0.667
2024-02-10,GC2,LLM chat,1154.8,1046565,855.4,0.633
2024-02-11,GC1,Image,66.31,9667,20.7,0.853
2024-02-11,GC1,LLM chat,757.65,686625,236.8,0.862
2024-02-11,GC1,Speech,54.21,18069,16.9,0.885
2024-02-11,GC2,Image,66.31,9667,49.1,0.701
2024-02-11,GC2,LLM chat,1136.48,1029938,841.8,0.621
2024-02-12,GC1,Image,61.26,8930,19.1,0.935
2024-02-12,GC1,LLM chat,714.08,647181,223.2,0.859
2024-02-12,GC1,Speech,50.08,16692,15.6,0.83
2024-02-12,GC2,Image,61.26,8930,45.4,0.685
2024-02-12,GC2,LLM chat,1071.13,970771,793.4,0.725
2024-02-13,GC1,Image,60.63,8838,18.9,0.855
2024-02-13,GC1,LLM chat,695.28,630106,217.3,0.866
2024-02-13,GC1,Speech,49.56,16520,15.5,0.945
2024-02-13,GC2,Image,60.63,8838,44.9,0.709
2024-02-13,GC2,LLM chat,1042.92,945159,772.5,0.667
2024-02-14,GC1,Image,61.26,8930,19.1,0.88
2024-02-14,GC1,LLM chat,734.38,665631,229.5,0.915
2024-02-14,GC1,Speech,50.08,16692,15.6,0.913
2024-02-14,GC2,Image,61.26,8930,45.4,0.681
2024-02-14,GC2,LLM chat,1101.56,998447,816.0,0.654
2024-02-15,GC1,Image,61.89,9022,19.3,0.851
2024-02-15,GC1,LLM chat,716.88,649704,224.0,0.894
2024-02-15,GC1,Speech,50.59,16864,15.8,0.862
2024-02-15,GC2,Image,61.89,9022,45.8,0.689
2024-02-15,GC2,LLM chat,1075.32,974556,796.5,0.673
2024-02-16,GC1,Image,64.42,9391,20.1,0.854
2024-02-16,GC1,LLM chat,756.4,685546,236.4,0.811
2024-02-16,GC1,Speech,52.66,17553,16.5,0.889
2024-02-16,GC2,Image,64.42,9391,47.7,0.693
2024-02-16,GC2,LLM chat,1134.59,1028319,840.4,0.687
2024-02-17,GC1,Image,66.95,9759,20.9,0.873
2024-02-17,GC1,LLM chat,776.95,704151,242.8,0.86
2024-02-17,GC1,Speech,54.72,18241,17.1,0.927
2024-02-17,GC2,Image,66.95,9759,49.6,0.667
2024-02-17,GC2,LLM chat,1165.43,1056226,863.3,0.706
2024-02-18,GC1,Image,66.31,9667,20.7,0.874
2024-02-18,GC1,LLM chat,763.14,691615,238.5,0.859
2024-02-18,GC1,Speech,54.21,18069,16.9,0.872
2024-02-18,GC2,Image,66.31,9667,49.1,0.73
2024-02-18,GC2,LLM chat,1144.71,1037422,847.9,0.7
2024-02-19,GC1,Image,61.26,8930,19.1,0.88
2024-02-19,GC1,LLM chat,712.38,645632,222.6,0.872
2024-02-19,GC1,Speech,50.08,16692,15.6,0.935
2024-02-19,GC2,Image,61.26,8930,45.4,0.657
2024-02-19,GC2,LLM chat,1068.57,968448,791.5,0.656
2024-02-20,GC1,Image,60.63,8838,18.9,0.818
2024-02-20,GC1,LLM chat,687.67,623186,214.9,0.872
2024-02-20,GC1,Speech,49.56,16520,15.5,0.864
2024-02-20,GC2,Image,60.63,8838,44.9,0.704
2024-02-20,GC2,LLM chat,1031.5,934779,764.1,0.703
2024-02-21,GC1,Image,61.26,8930,19.1,0.929
2024-02-21,GC1,LLM chat,715.8,648745,223.7,0.873
2024-02-21,GC1,Speech,50.08,16692,15.6,0.88
2024-02-21,GC2,Image,61.26,8930,45.4,0.662
2024-02-21,GC2,LLM chat,1073.71,973117,795.3,0.671
2024-02-22,GC1,Image,61.89,9022,19.3,0.895
2024-02-22,GC1,LLM chat,743.08,673523,232.2,0.902
2024-02-22,GC1,Speech,50.59,16864,15.8,0.928
2024-02-22,GC2,Image,61.89,9022,45.8,0.639
2024-02-22,GC2,LLM chat,1114.62,1010285,825.6,0.688
2024-02-23,GC1,Image,64.42,9391,20.1,0.895
2024-02-23,GC1,LLM chat,750.91,680557,234.7,0.889
2024-02-23,GC1,Speech,52.66,17553,16.5,0.878
2024-02-23,GC2,Image,64.42,9391,47.7,0.701
2024-02-23,GC2,LLM chat,1126.36,1020836,834.3,0.717
2024-02-24,GC1,Image,66.95,9759,20.9,0.858
2024-02-24,GC1,LLM chat,803.74,728506,251.2,0.872
2024-02-24,GC1,Speech,54.72,18241,17.1,0.841
2024-02-24,GC2,Image,66.95,9759,49.6,0.711
2024-02-24,GC2,LLM chat,1205.61,1092759,893.0,0.679
2024-02-25,GC1,Image,66.31,9667,20.7,0.922
2024-02-25,GC1,LLM chat,780.58,707470,243.9,0.907
2024-02-25,GC1,Speech,54.21,18069,16.9,0.853
2024-02-25,GC2,Image,66.31,9667,49.1,0.698
2024-02-25,GC2,LLM chat,1170.87,1061205,867.3,0.647
2024-02-26,GC1,Image,61.26,8930,19.1,0.877
2024-02-26,GC1,LLM chat,706.84,640594,220.9,0.951
2024-02-26,GC1,Speech,50.08,16692,15.6,0.88
2024-02-26,GC2,Image,61.26,8930,45.4,0.677
2024-02-26,GC2,LLM chat,1060.26,960891,785.4,0.704
2024-02-27,GC1,Image,60.63,8838,18.9,0.863
2024-02-27,GC1,LLM chat,722.94,655252,225.9,0.855
2024-02-27,GC1,Speech,49.56,16520,15.5,0.913
2024-02-27,GC2,Image,60.63,8838,44.9,0.674
2024-02-27,GC2,LLM chat,1084.41,982878,803.3,0.693
2024-02-28,GC1,Image,61.26,8930,19.1,0.843
2024-02-28,GC1,LLM chat,736.11,667205,230.0,0.848
2024-02-28,GC1,Speech,50.08,16692,15.6,0.883
2024-02-28,GC2,Image,61.26,8930,45.4,0.714
2024-02-28,GC2,LLM chat,1104.16,1000808,817.9,0.678
2024-02-29,GC1,Image,61.89,9022,19.3,0.911
2024-02-29,GC1,LLM chat,713.86,646954,223.1,0.879
2024-02-29,GC1,Speech,50.59,16864,15.8,0.882
2024-02-29,GC2,Image,61.89,9022,45.8,0.621
2024-02-29,GC2,LLM chat,1070.79,970431,793.2,0.623
2024-03-01,GC1,Image,73.65,10737,23.0,0.877
2024-03-01,GC1,LLM chat,770.92,698454,240.9,0.853
2024-03-01,GC1,Speech,60.21,20070,18.8,0.898
2024-03-01,GC2,Image,73.65,10737,54.6,0.77
2024-03-01,GC2,LLM chat,1156.38,1047682,856.6,0.632
2024-03-02,GC1,Image,76.55,11159,23.9,0.879
2024-03-02,GC1,LLM chat,818.81,741889,255.9,0.867
2024-03-02,GC1,Speech,62.57,20857,19.6,0.84
2024-03-02,GC2,Image,76.55,11159,56.7,0.721
2024-03-02,GC2,LLM chat,1228.21,1112834,909.8,0.683
2024-03-03,GC1,Image,75.82,11053,23.7,0.881
2024-03-03,GC1,LLM chat,804.58,728984,251.4,0.866
2024-03-03,GC1,Speech,61.98,20660,19.4,0.874
2024-03-03,GC2,Image,75.82,11053,56.2,0.684
2024-03-03,GC2,LLM chat,1206.87,1093476,894.0,0.665
2024-03-04,GC1,Image,62.73,9144,19.6,0.851
2024-03-04,GC1,LLM chat,776.59,703963,242.7,0.929
2024-03-04,GC1,Speech,51.28,17092,16.0,0.909
2024-03-04,GC2,Image,62.73,9144,46.5,0.7
2024-03-04,GC2,LLM chat,1164.89,1055945,862.9,0.706
2024-03-05,GC1,Image,62.08,9050,19.4,0.841
2024-03-05,GC1,LLM chat,733.77,665055,229.3,0.867
2024-03-05,GC1,Speech,50.75,16916,15.9,0.89
2024-03-05,GC2,Image,62.08,9050,46.0,0.663
2024-03-05,GC2,LLM chat,1100.66,997582,815.3,0.692
2024-03-06,GC1,Image,62.73,9144,19.6,0.896
2024-03-06,GC1,LLM chat,769.38,697404,240.4,0.84
2024-03-06,GC1,Speech,51.28,17092,16.0,0.902
2024-03-06,GC2,Image,62.73,9144,46.5,0.644
2024-03-06,GC2,LLM chat,1154.07,1046106,854.9,0.741
2024-03-07,GC1,Image,63.37,9238,19.8,0.861
2024-03-07,GC1,LLM chat,779.58,706660,243.6,0.873
2024-03-07,GC1,Speech,51.8,17268,16.2,0.864
2024-03-07,GC2,Image,63.37,9238,46.9,0.679
2024-03-07,GC2,LLM chat,1169.37,1059991,866.2,0.691
2024-03-08,GC1,Image,65.96,9615,20.6,0.917
2024-03-08,GC1,LLM chat,766.23,694439,239.4,0.835
2024-03-08,GC1,Speech,53.92,17973,16.8,0.94
2024-03-08,GC2,Image,65.96,9615,48.9,0.653
2024-03-08,GC2,LLM chat,1149.35,1041658,851.4,0.716
2024-03-09,GC1,Image,68.54,9993,21.4,0.841
2024-03-09,GC1,LLM chat,804.58,729219,251.4,0.782
2024-03-09,GC1,Speech,56.03,18678,17.5,0.921
2024-03-09,GC2,Image,68.54,9993,50.8,0.662
2024-03-09,GC2,LLM chat,1206.87,1093828,894.0,0.643
2024-03-10,GC1,Image,67.9,9898,21.2,0.856
2024-03-10,GC1,LLM chat,816.53,740102,255.2,0.883
2024-03-10,GC1,Speech,55.5,18501,17.3,0.887
2024-03-10,GC2,Image,67.9,9898,50.3,0.762
2024-03-10,GC2,LLM chat,1224.8,1110152,907.3,0.676
2024-03-11,GC1,Image,62.73,9144,19.6,0.89
2024-03-11,GC1,LLM chat,744.58,674860,232.7,0.856
2024-03-11,GC1,Speech,51.28,17092,16.0,0.932
2024-03-11,GC2,Image,62.73,9144,46.5,0.737
2024-03-11,GC2,LLM chat,1116.87,1012290,827.3,0.704
2024-03-12,GC1,Image,62.08,9050,19.4,0.893
2024-03-12,GC1,LLM chat,755.7,684989,236.2,0.862
2024-03-12,GC1,Speech,50.75,16916,15.9,0.866
2024-03-12,GC2,Image,62.08,9050,46.0,0.692
2024-03-12,GC2,LLM chat,1133.55,1027484,839.7,0.684
2024-03-13,GC1,Image,62.73,9144,19.6,0.859
2024-03-13,GC1,LLM chat,728.02,659800,227.5,0.866
2024-03-13,GC1,Speech,51.28,17092,16.0,0.844
2024-03-13,GC2,Image,62.73,9144,46.5,0.666
2024-03-13,GC2,LLM chat,1092.03,989700,808.9,0.651
2024-03-14,GC1,Image,63.37,9238,19.8,0.869
2024-03-14,GC1,LLM chat,767.07,695289,239.7,0.904
2024-03-14,GC1,Speech,51.8,17268,16.2,0.873
2024-03-14,GC2,Image,63.37,9238,46.9,0.664
2024-03-14,GC2,LLM chat,1150.61,1042934,852.3,0.657
2024-03-15,GC1,Image,65.96,9615,20.6,0.874
2024-03-15,GC1,LLM chat,738.4,669136,230.8,0.867
2024-03-15,GC1,Speech,53.92,17973,16.8,0.874
2024-03-15,GC2,Image,65.96,9615,48.9,0.691
2024-03-15,GC2,LLM chat,1107.6,1003703,820.4,0.691
2024-03-16,GC1,Image,68.54,9993,21.4,0.859
2024-03-16,GC1,LLM chat,766.21,694327,239.4,0.844
2024-03-16,GC1,Speech,56.03,18678,17.5,0.91
2024-03-16,GC2,Image,68.54,9993,50.8,0.681
2024-03-16,GC2,LLM chat,1149.31,1041491,851.3,0.673
2024-03-17,GC1,Image,67.9,9898,21.2,0.951
2024-03-17,GC1,LLM chat,772.82,700363,241.5,0.903
2024-03-17,GC1,Speech,55.5,18501,17.3,0.806
2024-03-17,GC2,Image,67.9,9898,50.3,0.645
2024-03-17,GC2,LLM chat,1159.23,1050545,858.7,0.679
2024-03-18,GC1,Image,62.73,9144,19.6,0.884
2024-03-18,GC1,LLM chat,747.09,677133,233.5,0.847
2024-03-18,GC1,Speech,51.28,17092,16.0,0.84
2024-03-18,GC2,Image,62.73,9144,46.5,0.666
2024-03-18,GC2,LLM chat,1120.63,1015700,830.1,0.683
2024-03-19,GC1,Image,62.08,9050,19.4,0.903
2024-03-19,GC1,LLM chat,713.65,646761,223.0,0.97
2024-03-19,GC1,Speech,50.75,16916,15.9,0.912
2024-03-19,GC2,Image,62.08,9050,46.0,0.66
2024-03-19,GC2,LLM chat,1070.48,970142,792.9,0.649
2024-03-20,GC1,Image,62.73,9144,19.6,0.872
2024-03-20,GC1,LLM chat,727.09,658953,227.2,0.865
2024-03-20,GC1,Speech,51.28,17092,16.0,0.925
2024-03-20,GC2,Image,62.73,9144,46.5,0.653
2024-03-20,GC2,LLM chat,1090.63,988430,807.9,0.633
2024-03-21,GC1,Image,63.37,9238,19.8,0.875
2024-03-21,GC1,LLM chat,730.75,662264,228.4,0.851
2024-03-21,GC1,Speech,51.8,17268,16.2,0.875
2024-03-21,GC2,Image,63.37,9238,46.9,0.676
2024-03-21,GC2,LLM chat,1096.13,993396,811.9,0.68
2024-03-22,GC1,Image,65.96,9615,20.6,0.917
2024-03-22,GC1,LLM chat,712.49,645586,222.7,0.874
2024-03-22,GC1,Speech,53.92,17973,16.8,0.908
2024-03-22,GC2,Image,65.96,9615,48.9,0.689
2024-03-22,GC2,LLM chat,1068.74,968379,791.7,0.659
2024-03-23,GC1,Image,68.54,9993,21.4,0.905
2024-03-23,GC1,LLM chat,796.71,722063,249.0,0.819
2024-03-23,GC1,Speech,56.03,18678,17.5,0.891
2024-03-23,GC2,Image,68.54,9993,50.8,0.637
2024-03-23,GC2,LLM chat,1195.07,1083094,885.2,0.65
2024-03-24,GC1,Image,67.9,9898,21.2,0.843
2024-03-24,GC1,LLM chat,819.73,743006,256.2,0.887
2024-03-24,GC1,Speech,55.5,18501,17.3,0.855
2024-03-24,GC2,Image,67.9,9898,50.3,0.651
2024-03-24,GC2,LLM chat,1229.59,1114508,910.8,0.752
2024-03-25,GC1,Image,62.73,9144,19.6,0.899
2024-03-25,GC1,LLM chat,735.78,666854,229.9,0.884
2024-03-25,GC1,Speech,51.28,17092,16.0,0.858
2024-03-25,GC2,Image,62.73,9144,46.5,0.657
2024-03-25,GC2,LLM chat,1103.67,1000281,817.5,0.688
2024-03-26,GC1,Image,62.08,9050,19.4,0.888
2024-03-26,GC1,LLM chat,735.63,666740,229.9,0.856
2024-03-26,GC1,Speech,50.75,16916,15.9,0.84
2024-03-26,GC2,Image,62.08,9050,46.0,0.696
2024-03-26,GC2,LLM chat,1103.44,1000110,817.4,0.705
2024-03-27,GC1,Image,62.73,9144,19.6,0.898
2024-03-27,GC1,LLM chat,704.41,638341,220.1,0.938
2024-03-27,GC1,Speech,51.28,17092,16.0,0.847
2024-03-27,GC2,Image,62.73,9144,46.5,0.737
2024-03-27,GC2,LLM chat,1056.61,957511,782.7,0.633
2024-03-28,GC1,Image,63.37,9238,19.8,0.882
2024-03-28,GC1,LLM chat,738.09,668940,230.7,0.837
2024-03-28,GC1,Speech,51.8,17268,16.2,0.898
2024-03-28,GC2,Image,63.37,9238,46.9,0.725
2024-03-28,GC2,LLM chat,1107.14,1003410,820.1,0.692
2024-03-29,GC1,Image,65.96,9615,20.6,0.892
2024-03-29,GC1,LLM chat,766.15,694368,239.4,0.89
2024-03-29,GC1,Speech,53.92,17973,16.8,0.911
2024-03-29,GC2,Image,65.96,9615,48.9,0.638
2024-03-29,GC2,LLM chat,1149.23,1041551,851.3,0.717
2024-03-30,GC1,Image,68.54,9993,21.4,0.806
2024-03-30,GC1,LLM chat,801.89,726766,250.6,0.874
2024-03-30,GC1,Speech,56.03,18678,17.5,0.866
2024-03-30,GC2,Image,68.54,9993,50.8,0.705
2024-03-30,GC2,LLM chat,1202.83,1090149,891.0,0.691
2024-03-31,GC1,Image,67.9,9898,21.2,0.895
2024-03-31,GC1,LLM chat,783.04,709658,244.7,0.88
2024-03-31,GC1,Speech,55.5,18501,17.3,0.917
2024-03-31,GC2,Image,67.9,9898,50.3,0.672
2024-03-31,GC2,LLM chat,1174.57,1064487,870.0,0.701
